Date,IWF,IWM,MTUM,SPY,VLRS,VLUE,VXX
2018-09-24,-1.1865060240963854,-2.1220883534136545,-0.15469879518072288,-1.8683534136546185,1.0,-1.700562248995984,0.0
2018-09-25,-1.1867760617760619,-2.126850064350064,-0.15259009009009009,-1.8723455598455598,1.0,-1.7051158301158302,0.0
2018-09-26,-1.192003869095599,-2.1346122843785262,-0.15935837497984845,-1.8745768176688697,1.0,-1.699983878768338,0.0
2018-09-27,-1.197358885578549,-2.1180449311538774,-0.16394234640470248,-1.8740639342942267,1.0,-1.6987680167485304,0.0
2018-09-28,-1.2160253287871408,-2.130703036207177,-0.16764085078746552,-1.8902419223899984,1.0,-1.7136710504952102,0.0
2018-10-01,-1.286283148352114,-2.225535880708295,-0.1798695246971109,-1.9853427094806406,1.0,-1.7953910022875539,0.0
2018-10-02,-1.2863678725747691,-2.225705329153605,-0.18130983648225027,-1.9843260188087775,1.0,-1.7947979327289674,0.0
2018-10-03,-1.28635593220339,-2.206864406779661,-0.17915254237288136,-1.9930508474576272,1.0,-1.8091525423728814,0.0
2018-10-04,-1.2876364559532876,-2.1974274350511975,-0.18084116103918085,-1.9933993399339933,1.0,-1.803080308030803,0.0
2018-10-05,-1.2618767836159142,-2.178109786805439,-0.14839684404901798,-1.9975658888702368,1.0,-1.807537351015612,0.0
2018-10-08,-1.2547430004178854,-2.166151274550773,-0.14057668198913498,-1.9954868366067697,1.0,-1.800668616798997,0.0
2018-10-09,-1.2534631852909075,-2.1794139870707747,-0.12358324238099237,-2.01494416925531,1.0,-1.8241961212324742,0.0
2018-10-10,-1.2840095465393795,-2.209682918513468,-0.13987384930105695,-2.052761677463348,1.0,-1.8373678827139448,0.0
2018-10-11,-1.1187861036530793,-2.167602310633797,-0.0,-1.997071027581157,1.0,-1.852575054918233,0.0
2018-10-12,-1.1045533872759004,-2.1167697921624624,-0.0,-1.9322544819927017,1.0,-1.7791527843883865,0.0
2018-10-15,-1.060833201830519,-2.140839513965599,-0.0,-1.917311030456052,1.0,-1.771185103361212,0.0
2018-10-16,-1.0533417501775426,-2.153554801546595,-0.0,-1.9148583602935372,1.0,-1.7690365343643966,0.0
2018-10-17,-0.9893345699049386,-2.046062292294613,-0.0,-1.9020017002859573,1.0,-1.7912512558930365,0.0
2018-10-18,-0.9900224301956843,-2.0495784670121435,-0.0,-1.9023126305205353,1.0,-1.7925593626730607,0.0
2018-10-19,-0.9572094444868955,-2.019026514862077,-0.0,-1.8895086727286623,1.0,-1.7754259952624745,0.0
2018-10-22,-0.9569399908382958,-2.004733547106428,-0.0,-1.8936478851733087,1.0,-1.7794319743472284,0.0
