Date,BMA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.243935309973046,-4.235100329439952,-0.6293800539083557,-3.5148247978436657,-3.351302785265049,0.0
2018-09-25,1.0,-2.2427460364941667,-4.228686808256057,-0.6307209093628477,-3.50942267424469,-3.3450493568650908,0.0
2018-09-26,1.0,-2.244763614602035,-4.231448234590067,-0.633901855176541,-3.509575104727708,-3.3415619389587072,0.0
2018-09-27,1.0,-2.2605243445692884,-4.211535580524344,-0.6438951310861423,-3.5177528089887637,-3.347565543071161,0.0
2018-09-28,1.0,-2.2821097431220547,-4.291837665298678,-0.6554187566499468,-3.571211430308557,-3.3991488068095452,0.0
2018-10-01,1.0,-2.307598039215686,-4.320925245098039,-0.6591605392156862,-3.604319852941176,-3.4266237745098036,0.0
2018-10-02,1.0,-2.318084126496776,-4.292600552655817,-0.6750076757752533,-3.6215842800122813,-3.4441203561559717,0.0
2018-10-03,1.0,-2.3594506009052596,-4.320742937412206,-0.6753550803808335,-3.7100046823786483,-3.5422194474793196,0.0
2018-10-04,1.0,-2.3732042473454094,-4.302935665209245,-0.6800437226733291,-3.726420986883198,-3.532792004996877,0.0
2018-10-05,1.0,-2.301443488943489,-4.232340294840295,-0.6148648648648649,-3.6980958230958234,-3.509674447174447,0.0
2018-10-08,1.0,-2.303417487684729,-4.23753078817734,-0.5975985221674877,-3.7310652709359604,-3.524630541871921,0.0
2018-10-09,1.0,-2.300246609124538,-4.24537607891492,-0.5823057953144267,-3.743988902589396,-3.540998766954378,0.0
2018-10-10,1.0,-2.3038170298253746,-4.262556019162417,-0.5751815793540411,-3.756451862154226,-3.5555555555555554,0.0
2018-10-11,1.0,-1.9796939796939796,-4.063492063492063,-0.23609323609323607,-3.549406549406549,-3.471185471185471,0.0
2018-10-12,1.0,-2.0208362863217575,-4.059532246633593,-0.206094968107725,-3.492416725726435,-3.395322466335932,0.0
2018-10-15,1.0,-1.987751654230607,-4.0675770801069975,-0.16049556525411798,-3.4789525552583416,-3.3836407151907646,0.0
2018-10-16,1.0,-1.98170045045045,-4.0886824324324325,-0.14470720720720717,-3.478603603603603,-3.3830236486486482,0.0
2018-10-17,1.0,-1.9236343366778148,-3.967391304347826,-0.05211817168338907,-3.516583054626533,-3.4757525083612038,0.0
2018-10-18,1.0,-1.926339285714286,-3.975027901785715,-0.04882812500000001,-3.5202287946428577,-3.4804687500000004,0.0
2018-10-19,1.0,-1.856142759094029,-3.9007549759780367,-0.0,-3.5096774193548392,-3.4602608098833225,0.0
2018-10-22,1.0,-1.8670256835128418,-3.8898094449047225,-0.0,-3.5513670256835126,-3.500138083402375,0.0
2018-10-23,1.0,-1.8840298920564629,-3.9006365900913367,-0.0,-3.5510655964572373,-3.5033213396069742,0.0
2018-10-24,1.0,-1.8785111387851112,-3.887781928877819,-0.0,-3.5568008855680087,-3.513767815137678,0.0
2018-10-25,1.0,-1.7749200611705827,-3.8434589183928822,-0.0,-3.7561518142638675,-3.527874322257751,0.0
2018-10-26,1.0,-1.6496057730856608,-3.674729386609649,-0.0,-3.6514766804757453,-3.3879460109581725,0.0
2018-10-29,1.0,-1.5660831217426168,-3.7360684217559803,-0.0,-3.6319657891220105,-3.4295068822664714,0.0
2018-10-30,1.0,-1.5388822195544887,-3.7298919567827133,-0.0,-3.6265172735760975,-3.4433773509403762,0.0
2018-10-31,1.0,-1.5262400209396676,-3.605549011909436,-0.0,-3.5744012563800545,-3.3812328229289355,0.0
2018-11-01,1.0,-1.4750390015600625,-3.6133645345813834,-0.0,-3.5505720228809152,-3.3615444617784713,0.0
2018-11-02,1.0,-1.449223721048613,-3.4829473148383814,-0.0,-3.5035632476457117,-3.290022906592008,0.0
2018-11-05,1.0,-1.4380722278738554,-3.5105544252288907,-0.0,-3.5021617497456763,-3.265386571719227,0.0
2018-11-06,1.0,-1.461214595560092,-3.538785404439908,-0.0,-3.5017861699413113,-3.2565705537126814,0.0
