Date,FAST,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.40929210793796517,-0.6956621528574708,-0.12124987704514903,-0.561100363946359,-0.49149152431227255,0.0
2018-09-25,1.0,-0.40807661927330174,-0.7019813059505003,-0.11644286466561349,-0.566515271195366,-0.4982227488151658,0.0
2018-09-26,1.0,-0.4089008854801014,-0.703018532538925,-0.1181737384377366,-0.5661147503209454,-0.49550676454129494,0.0
2018-09-27,1.0,-0.4102884583758182,-0.6984837022662237,-0.11946189520770975,-0.5658323191790283,-0.495115613590764,0.0
2018-09-28,1.0,-0.4104141311141081,-0.698299398046117,-0.11976579717772441,-0.5657708628005658,-0.495148185914937,0.0
2018-10-01,1.0,-0.41092105263157896,-0.6976315789473684,-0.11980263157894737,-0.5659868421052632,-0.49509868421052633,0.0
2018-10-02,1.0,-0.41126751299085706,-0.6933499967111755,-0.12155495625863316,-0.5666315858712097,-0.4960205222653424,0.0
2018-10-03,1.0,-0.4108346208211433,-0.6874198744288486,-0.12083757930377043,-0.5685217448473094,-0.4995562276059301,0.0
2018-10-04,1.0,-0.41226139238426923,-0.6841344416335382,-0.12136544337483984,-0.5701941715675002,-0.4975523211880277,0.0
2018-10-05,1.0,-0.4096365783258987,-0.6838756231960116,-0.11598005772763055,-0.5720283390186303,-0.4984256100760956,0.0
2018-10-08,1.0,-0.40813987754166525,-0.6810844438623489,-0.11309387380897809,-0.5742772011394518,-0.49772437051831964,0.0
2018-10-09,1.0,-0.40651817884048475,-0.6819849328529315,-0.10838519489027186,-0.577104487389453,-0.5014739600393057,0.0
2018-10-10,1.0,-0.40597799310231564,-0.6868779766792577,-0.10540318607324684,-0.5788471013302677,-0.5074724913778945,0.0
2018-10-11,1.0,-0.4041053218349346,-0.6899695051972324,-0.09663245565137554,-0.5809423877758467,-0.5073941699183525,0.0
2018-10-12,1.0,-0.4146910977784985,-0.6843521971785309,-0.09404897032592834,-0.5639695151613426,-0.4860061618290903,0.0
2018-10-15,1.0,-0.40862582567024996,-0.6938220437767129,-0.08463929542805336,-0.5639813495661183,-0.4868540344514959,0.0
2018-10-16,1.0,-0.4058168598045898,-0.7121758042003441,-0.07235368585061837,-0.5668841497062356,-0.4887525562372188,0.0
2018-10-17,1.0,-0.3919035866534184,-0.6787717555049843,-0.0546491874739575,-0.572422193019007,-0.5074842142376358,0.0
2018-10-18,1.0,-0.3920569285508222,-0.6791037599769207,-0.05436420168605955,-0.5723627271853062,-0.5075488027694971,0.0
2018-10-19,1.0,-0.38210734319224887,-0.6700344212136665,-0.04232534421213667,-0.5811129525752168,-0.5116012238653749,0.0
2018-10-22,1.0,-0.382067954357111,-0.6700133868808568,-0.04322050105182635,-0.5806400203990565,-0.5114107222540958,0.0
2018-10-23,1.0,-0.38163265306122446,-0.6706313775510204,-0.041741071428571426,-0.5822704081632654,-0.5125000000000001,0.0
2018-10-24,1.0,-0.3814656546973659,-0.6717265131704827,-0.0402768033675617,-0.5829772306907328,-0.5125007972447222,0.0
2018-10-25,1.0,-0.3594080338266385,-0.6377938067404552,-0.03665588857107325,-0.5864009451560751,-0.4888384529287403,0.0
2018-10-26,1.0,-0.3500847849545244,-0.6297518113149375,-0.02395560351472175,-0.5948204100508709,-0.48447664559889003,0.0
2018-10-29,1.0,-0.3351372959011101,-0.64490636819286,-0.008517573260354848,-0.5907259924356569,-0.49564896528397034,0.0
2018-10-30,1.0,-0.32890569750638005,-0.6459736186698644,-0.004212403529809673,-0.5924115241521385,-0.5032438581926637,0.0
2018-10-31,1.0,-0.3287557091717072,-0.6528206394272312,-0.0029934575978274288,-0.5951425749907419,-0.5063572398469325,0.0
