Date,IWF,IWM,MTUM,RUTH,SPY,VLUE,VXX
2018-09-24,-0.48716053944208393,-1.4140033253279143,-0.0,1.0,-0.8961758728985775,-0.8211712543875855,0.0
2018-09-25,-0.4889227360841872,-1.4123049939998154,-0.0,1.0,-0.8950429243976739,-0.8192559771069879,0.0
2018-09-26,-0.4890386301749204,-1.4125167305118382,-0.0,1.0,-0.8949554622236581,-0.8188027876494208,0.0
2018-09-27,-0.4955470444372664,-1.4018734714595542,-0.0,1.0,-0.897005214341747,-0.8200359928014397,0.0
2018-09-28,-0.5012956964368348,-1.4025913928736695,-0.0,1.0,-0.9005552984729293,-0.823091161499306,0.0
2018-10-01,-0.5016658954187877,-1.4021286441462286,-0.0,1.0,-0.9006015733456733,-0.823091161499306,0.0
2018-10-02,-0.5016911458092017,-1.410137608302831,-0.0,1.0,-0.8994579066858176,-0.8220358615577075,0.0
2018-10-03,-0.504015225363227,-1.4166086431787588,-0.0,1.0,-0.9000139256370979,-0.8212412384533259,0.0
2018-10-04,-0.5083503432918909,-1.408842085730191,-0.0,1.0,-0.9050844312488402,-0.8168027463351272,0.0
2018-10-05,-0.48221781447483736,-1.3973891784676413,-0.0,1.0,-0.9093592877900272,-0.8238387379491674,0.0
2018-10-08,-0.4778130316825309,-1.3914562928219985,-0.0,1.0,-0.9087690256127282,-0.8203890191750587,0.0
2018-10-09,-0.4760218860637271,-1.3915122534369397,-0.0,1.0,-0.909191227182859,-0.821233160145294,0.0
2018-10-10,-0.47903062632208226,-1.3906925411569946,-0.0,1.0,-0.9113860020233607,-0.817437689690058,0.0
2018-10-11,-0.3632348394505543,-1.37114085066914,-0.0,1.0,-0.8646261207543836,-0.8178084006890155,0.0
2018-10-12,-0.36115924449835385,-1.3561774389187318,-0.0,1.0,-0.8326979726217294,-0.7819701958066193,0.0
2018-10-15,-0.33147740515343777,-1.3802926323967368,-0.0,1.0,-0.8247226898010273,-0.7796624800379818,0.0
2018-10-16,-0.32542870718327505,-1.3918189279080817,-0.0,1.0,-0.8236361280290267,-0.778584078441536,0.0
2018-10-17,-0.29462592202318233,-1.3334457323498419,-0.0,1.0,-0.8077976817702845,-0.7790937829293995,0.0
2018-10-18,-0.2936862513698053,-1.3318300598499535,-0.0,1.0,-0.8098288797100228,-0.7794402764899268,0.0
2018-10-19,-0.26989287649535243,-1.3167854612146221,-0.0,1.0,-0.8076778792047017,-0.7738735359092992,0.0
2018-10-22,-0.27485846089326904,-1.3347032920947788,-0.0,1.0,-0.8087230027259384,-0.7754665548332984,0.0
2018-10-23,-0.27823899371069183,-1.3347169811320756,-0.0,1.0,-0.8059538784067086,-0.7739203354297693,0.0
2018-10-24,-0.2752743110813301,-1.333780048580283,-0.0,1.0,-0.8053857106960383,-0.773557249350867,0.0
2018-10-25,-0.22162379421221867,-1.2654742765273312,-0.0,1.0,-0.8088022508038585,-0.7233922829581994,0.0
2018-10-26,-0.1972484339069067,-1.2445484101181508,-0.0,1.0,-0.8136150979303782,-0.7093806993894219,0.0
2018-10-29,-0.1839166633784477,-1.2476423469991715,-0.0,1.0,-0.8066921832458668,-0.7076510278972498,0.0
