Date,IWF,IWM,MTUM,SPY,STFC,VLUE,VXX
2018-09-24,-0.28287864833105725,-0.8637532950106394,-0.0005081462190745388,-0.5297106742465144,1.0,-0.49903134626988915,0.0
2018-09-25,-0.2824415353329944,-0.8645462633451957,-0.0,-0.5304079816980173,1.0,-0.500063548551093,0.0
2018-09-26,-0.28639739870572856,-0.8706366157671587,-0.004718033727565431,-0.5317670311453984,1.0,-0.4943734259938155,0.0
2018-09-27,-0.2861229869169694,-0.8887460220514964,-0.0015751068822527244,-0.537818637693272,1.0,-0.5002410877881,0.0
2018-09-28,-0.28412489147561015,-0.8907360365285057,-0.002250876233962507,-0.5378951091674974,1.0,-0.5005305636837197,0.0
2018-10-01,-0.28425351297469376,-0.8904144827807968,-0.0024759638573587576,-0.5378629537927265,1.0,-0.5005305636837197,0.0
2018-10-02,-0.28387492335990194,-0.9085804640356254,-0.0,-0.536157991545387,1.0,-0.4983703894930459,0.0
2018-10-03,-0.2832677546281365,-0.9024059859382055,-0.0,-0.5377991356511643,1.0,-0.5017093465780816,0.0
2018-10-04,-0.28535972150593086,-0.8984012377514183,-0.0,-0.5401302217637958,1.0,-0.4994198040226921,0.0
2018-10-05,-0.2595615975022766,-0.8968713412254457,-0.0,-0.5661506439443217,1.0,-0.5296604657213478,0.0
2018-10-08,-0.25621825758562317,-0.8947454095585363,-0.0,-0.5738702956114078,1.0,-0.5307982810261753,0.0
2018-10-09,-0.2541589347918091,-0.8947162808868054,-0.0,-0.5745352736269818,1.0,-0.532115766513657,0.0
2018-10-10,-0.2716265837440868,-0.9074398756161302,-0.0,-0.5951569684739819,1.0,-0.5338912964371961,0.0
2018-10-11,-0.2195443722247249,-0.896357551966021,-0.0,-0.572205418624107,1.0,-0.5296351116545466,0.0
2018-10-12,-0.22617647993390738,-0.892694861936386,-0.0,-0.5526357599059452,1.0,-0.5060214165422134,0.0
2018-10-15,-0.18187061424589063,-0.9523534877759621,-0.0,-0.5531417219391843,1.0,-0.5168380915761479,0.0
2018-10-16,-0.19278001611603546,-0.9451410153102335,-0.0,-0.560934730056406,1.0,-0.524351329572925,0.0
2018-10-17,-0.17424794750689448,-0.9114337337940217,-0.0,-0.5549497575046756,1.0,-0.5292420832408787,0.0
2018-10-18,-0.17336715282181356,-0.9098287888395687,-0.0,-0.5575459733671528,1.0,-0.529866835764109,0.0
2018-10-19,-0.16546034956857045,-0.9102689718385536,-0.0,-0.556970827143715,1.0,-0.5279560036663611,0.0
2018-10-22,-0.1656399077496604,-0.9046535873376932,-0.0,-0.5590307395823461,1.0,-0.529933971503491,0.0
2018-10-23,-0.17537964049075866,-0.9090447959927718,-0.0,-0.5560346194084266,1.0,-0.5298481438036966,0.0
2018-10-24,-0.17421425620491307,-0.9053929513458543,-0.0,-0.5609686338068453,1.0,-0.5373565957987733,0.0
2018-10-25,-0.1350941762286209,-0.8644109733090032,-0.0,-0.5828719883710141,1.0,-0.5104382519407417,0.0
2018-10-26,-0.12066221923006304,-0.8515821041679418,-0.0,-0.585990574698574,1.0,-0.5019279025644164,0.0
2018-10-29,-0.09961627482031918,-0.8617980265562188,-0.0,-0.5770191253502254,1.0,-0.5070045072481423,0.0
2018-10-30,-0.0752043096323957,-0.868262373358636,-0.0,-0.584034770897738,1.0,-0.5333170089681981,0.0
