Date,GURU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.20128746907227782,-0.3181887850058024,-0.12990738105143307,-0.26907665695955857,-0.2711129600840796,0.0
2018-09-25,1.0,-0.20133126053732128,-0.31816688927328063,-0.12997306824899826,-0.26905476122703686,-0.2710691686190361,0.0
2018-09-26,1.0,-0.20091134138059458,-0.3178741209718054,-0.12842026858282035,-0.26983153328805837,-0.2736872083598046,0.0
2018-09-27,1.0,-0.20306135855997898,-0.3129461743967065,-0.12987780843515964,-0.2701572285726799,-0.27377042000613144,0.0
2018-09-28,1.0,-0.20157704523053335,-0.3144452962435659,-0.13015003833096045,-0.2702004161647136,-0.2739239951812507,0.0
2018-10-01,1.0,-0.20165158916171994,-0.3144152629619083,-0.13019954877006987,-0.27023415766762315,-0.27393599544389197,0.0
2018-10-02,1.0,-0.20152099587972297,-0.31807223634610327,-0.12917506794073813,-0.2696370649601122,-0.27320943280441834,0.0
2018-10-03,1.0,-0.2015121630506246,-0.31748849441157134,-0.12914749068595224,-0.2698444006136314,-0.27357001972386585,0.0
2018-10-04,1.0,-0.20264230314184306,-0.31541124402962184,-0.12935454186933087,-0.2712852197537356,-0.2722492441172604,0.0
2018-10-05,1.0,-0.2013036725944397,-0.3146750661679462,-0.12789553120283484,-0.27121202178620646,-0.2722619594461579,0.0
2018-10-08,1.0,-0.2008348996809022,-0.31387419679153733,-0.12718013725575905,-0.27169209249464527,-0.27201993268348124,0.0
2018-10-09,1.0,-0.2005113859871498,-0.313912321342716,-0.12642598015647538,-0.2720180077800603,-0.27252065212640414,0.0
2018-10-10,1.0,-0.20037150349650348,-0.31400786713286716,-0.12622377622377623,-0.2719842657342657,-0.27270541958041955,0.0
2018-10-11,1.0,-0.18726567550096962,-0.3115276879982762,-0.11077354018530489,-0.2680241327300151,-0.2771170006464124,0.0
2018-10-12,1.0,-0.18689080681866976,-0.3101678904203701,-0.10957962986817811,-0.26564043110481345,-0.27463609429344327,0.0
2018-10-15,1.0,-0.18695540198308797,-0.3096106794866292,-0.10956346310683777,-0.2655706743357514,-0.27449886251448685,0.0
2018-10-16,1.0,-0.18574096734720164,-0.3150426139413065,-0.10555806015328138,-0.265945342521629,-0.2745110667439514,0.0
2018-10-17,1.0,-0.18219452861593616,-0.3064529896291238,-0.10255644232000341,-0.26560966241304257,-0.2771328581793351,0.0
2018-10-18,1.0,-0.1816416668444748,-0.3055881537115668,-0.10299357757057205,-0.2663281199991465,-0.27714596624490584,0.0
2018-10-19,1.0,-0.17915018501977795,-0.30304963634043636,-0.10103781208795881,-0.2665135468504104,-0.2769342010122921,0.0
2018-10-22,1.0,-0.17949808592088473,-0.30231816248404936,-0.10036154827732881,-0.26714164185453,-0.2774351339855381,0.0
2018-10-23,1.0,-0.17919972771171477,-0.30255908443064095,-0.09951285923972006,-0.26801250824310235,-0.2779893211938139,0.0
2018-10-24,1.0,-0.17909305440397982,-0.3019963007844888,-0.09860322724663562,-0.2680868252652167,-0.27820651827284903,0.0
2018-10-25,1.0,-0.1788386328855637,-0.3026483591225982,-0.09747491923142322,-0.2679603808876041,-0.2785453154225472,0.0
2018-10-26,1.0,-0.17729142808669465,-0.30101369979217035,-0.09558043856300631,-0.2692666581838232,-0.27755863765534206,0.0
2018-10-29,1.0,-0.17415409357343886,-0.3025583511437459,-0.09312906024504307,-0.2674947626806611,-0.2787523541485918,0.0
2018-10-30,1.0,-0.1810666440562998,-0.30278107512294383,-0.09701967101916228,-0.26700016957775136,-0.27187552993047315,0.0
2018-10-31,1.0,-0.18078400577286333,-0.3048368953880765,-0.09663178895090944,-0.2675255215739542,-0.27257677695948385,0.0
2018-11-01,1.0,-0.19105127275054942,-0.2956024494847121,-0.10563936245119167,-0.268333795634455,-0.27307060404975786,0.0
2018-11-02,1.0,-0.19199539671376512,-0.2922660528951687,-0.10510836903011317,-0.2693135562517316,-0.2724676597830488,0.0
2018-11-05,1.0,-0.19107683129501002,-0.29464780329824863,-0.10512634763710743,-0.26944219542336045,-0.2703583755912558,0.0
