Date,IBTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.19436969571517282,-0.7578732590117396,-0.11018126977555667,-0.41130200786586624,-0.48336635420054996,0.0
2018-09-25,1.0,-0.19440501537733618,-0.757836527087769,-0.11021409983439791,-0.41131417080671867,-0.48338064821386323,0.0
2018-09-26,1.0,-0.1947894487816418,-0.7583392476933996,-0.11118996924532766,-0.41101845280340665,-0.4818133427963094,0.0
2018-09-27,1.0,-0.19576782125546754,-0.7552606691098238,-0.11204043031091146,-0.4108346140205698,-0.4815285494739331,0.0
2018-09-28,1.0,-0.19303591503461334,-0.7589195905567717,-0.11262647180640199,-0.41151411159103013,-0.4823087391278623,0.0
2018-10-01,1.0,-0.1929461194780602,-0.7592389857087907,-0.11287984140604197,-0.4114270497381425,-0.48238009290765455,0.0
2018-10-02,1.0,-0.19301829809912951,-0.7644637887132113,-0.111505892106354,-0.41061171315212885,-0.4812873808254871,0.0
2018-10-03,1.0,-0.1928199360719782,-0.7601811293950516,-0.11101574523499468,-0.41192139221025215,-0.483692435184089,0.0
2018-10-04,1.0,-0.19123778889683107,-0.7733797950917323,-0.11046580891112699,-0.4103824160114367,-0.4928222539909459,0.0
2018-10-05,1.0,-0.17581567039771376,-0.769409383186473,-0.0957073112645868,-0.42489283162657776,-0.5110740652536319,0.0
2018-10-08,1.0,-0.1743007460690188,-0.767381030229171,-0.09330321314983801,-0.42674553398924,-0.5106560057069821,0.0
2018-10-09,1.0,-0.17219941697899935,-0.768754833720031,-0.08730442025105599,-0.4305431614016301,-0.5157951097626272,0.0
2018-10-10,1.0,-0.17398548137569916,-0.7675830060692611,-0.08934309175294539,-0.4317803165536119,-0.5124062834701892,0.0
2018-10-11,1.0,-0.1392674120661542,-0.7717214069415327,-0.04999417656650361,-0.4241497787095271,-0.526583973911018,0.0
2018-10-12,1.0,-0.13707345286292655,-0.7721226142278774,-0.0465587044534413,-0.41631000578369,-0.5197513013302487,0.0
2018-10-15,1.0,-0.11609758927794378,-0.8176728264338139,-0.013373560384090976,-0.4222679933857445,-0.5315482579559629,0.0
2018-10-16,1.0,-0.11500188575241523,-0.8224491572137284,-0.009776900983492414,-0.4224955757347182,-0.5314630537584496,0.0
2018-10-17,1.0,-0.10113486559293863,-0.7948071301656445,-0.0,-0.4246861924686193,-0.5451940161632373,0.0
2018-10-18,1.0,-0.10039262889404751,-0.7934542744963172,-0.0,-0.4265038833003754,-0.5455535494225202,0.0
2018-10-19,1.0,-0.09764367816091955,-0.8015517241379312,-0.0,-0.4267241379310345,-0.5476149425287357,0.0
2018-10-22,1.0,-0.09927886703930029,-0.8217440412406962,-0.00628457238842712,-0.42367285470184485,-0.545135972660662,0.0
2018-10-23,1.0,-0.09231863864101272,-0.8439714209480893,-0.0,-0.4573537695295129,-0.5709584655065074,0.0
2018-10-24,1.0,-0.09041859362030119,-0.8400628483339263,-0.0,-0.45900035574528636,-0.5750622554251157,0.0
2018-10-25,1.0,-0.0834882142962504,-0.8371242292828275,-0.0,-0.45773962297548454,-0.5717615128182435,0.0
2018-10-26,1.0,-0.08722391413618757,-0.8381774637059815,-0.0,-0.458176872357411,-0.573164601874575,0.0
2018-10-29,1.0,-0.0653365554638689,-0.8510550512790286,-0.0,-0.4491630319462454,-0.581515973122716,0.0
2018-10-30,1.0,-0.04081089079609352,-0.856407221071323,-0.0,-0.4553418171056526,-0.6068955312222551,0.0
2018-10-31,1.0,-0.042275943396226416,-0.847995283018868,-0.0,-0.45356721698113206,-0.6042747641509434,0.0
2018-11-01,1.0,-0.030920548913363568,-0.8565875493256376,-0.0,-0.4529713175098652,-0.6043053183344131,0.0
2018-11-02,1.0,-0.033303013409230954,-0.8437545846659429,-0.0,-0.45567911739678996,-0.6014494879845075,0.0
