Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WEX
2018-09-24,-0.40329450081423024,-0.7379431291494426,-0.18764875360140298,-0.46755605662031813,-0.33521232619316044,0.0,1.0
2018-09-25,-0.4088285122670515,-0.7367133086528205,-0.1943904122482274,-0.4661165840496957,-0.3312731379807994,0.0,1.0
2018-09-26,-0.4113894214148779,-0.7405009585467803,-0.1984348973883529,-0.46635657940224395,-0.3260630440931519,0.0,1.0
2018-09-27,-0.41061478893191045,-0.7453646866244845,-0.19740611326219032,-0.4673403217175056,-0.32719488777662353,0.0,1.0
2018-09-28,-0.4110128136511034,-0.7449233384755847,-0.19755690583383181,-0.4674306583131316,-0.32739350816988316,0.0,1.0
2018-10-01,-0.41045998739760553,-0.7466288594833018,-0.19792060491493382,-0.4674228103339634,-0.3281348456206679,0.0,1.0
2018-10-02,-0.4104543449492722,-0.7465183691473943,-0.1981536328691159,-0.46735774150860165,-0.3283130632049909,0.0,1.0
2018-10-03,-0.4117795673456498,-0.754744986578241,-0.19924206537186168,-0.4665719248381494,-0.3257224064424443,0.0,1.0
2018-10-04,-0.4137626262626262,-0.7505681818181817,-0.1996843434343434,-0.4691603535353535,-0.3233901515151515,0.0,1.0
2018-10-05,-0.4050824003019247,-0.7464460938482828,-0.19087306579443955,-0.474399295508869,-0.3282802868285319,0.0,1.0
2018-10-08,-0.40384977705206304,-0.7443006971048168,-0.18872071845757707,-0.4758839414683162,-0.3273566538968787,0.0,1.0
2018-10-09,-0.41273905484431794,-0.7504030346135608,-0.2017385806859491,-0.4744428639165481,-0.3217322585743638,0.0,1.0
2018-10-10,-0.4129823341655342,-0.7500869070568531,-0.20200360269253864,-0.47448092785134155,-0.32070284107069497,0.0,1.0
2018-10-11,-0.39970055210705263,-0.7506472441436103,-0.18378614429645343,-0.46819925761876546,-0.31691568670264203,0.0,1.0
2018-10-12,-0.4098062206862504,-0.7473771908170823,-0.18328807701802025,-0.4510614663046162,-0.29412490743026415,0.0,1.0
2018-10-15,-0.41567196487104957,-0.7423773888304781,-0.18838518152019296,-0.45274908776052947,-0.2931226420928938,0.0,1.0
2018-10-16,-0.41387204553891843,-0.7505877985397846,-0.18243410469001362,-0.4534092315307511,-0.293373344883059,0.0,1.0
2018-10-17,-0.4078220858895706,-0.7359815950920245,-0.17809815950920244,-0.45088957055214723,-0.2946932515337423,0.0,1.0
