Date,IWF,IWM,LEO,MTUM,SPY,VLUE,VXX
2018-09-24,-0.13117470150732052,-0.3031208917862739,1.0,-0.0,-0.20976426731977887,-0.15680095085450846,0.0
2018-09-25,-0.13103622183396674,-0.30326554873106504,1.0,-0.0,-0.2098921090077271,-0.1570093121273798,0.0
2018-09-26,-0.13043478260869565,-0.30294239535847495,1.0,-0.0,-0.21011189390799836,-0.15836321375159912,0.0
2018-09-27,-0.13639814881770193,-0.2970026755369152,1.0,-0.0,-0.21348253669824283,-0.16091185190541618,0.0
2018-09-28,-0.13712084215095774,-0.2967605404525476,1.0,-0.0,-0.21372112793242537,-0.16115904281295784,0.0
2018-10-01,-0.13677690440830226,-0.2985293584960336,1.0,-0.0,-0.21393124932082444,-0.16187923352772848,0.0
2018-10-02,-0.1364715691783429,-0.3014555275607678,1.0,-0.0,-0.21336257680944007,-0.16134060795011693,0.0
2018-10-03,-0.1362096145831446,-0.29891097541087575,1.0,-0.0,-0.21409027488357768,-0.16281008208454892,0.0
2018-10-04,-0.13884105780210618,-0.2953544434576136,1.0,-0.0,-0.2176505772960432,-0.16070036794692863,0.0
2018-10-05,-0.13604766633565046,-0.29345490656314893,1.0,-0.0,-0.21670127290782706,-0.15933917125575517,0.0
2018-10-08,-0.13550027958657263,-0.2927541983080503,1.0,-0.0,-0.216670574866069,-0.15887732462706758,0.0
2018-10-09,-0.14321749387532892,-0.2973051447237093,1.0,-0.0,-0.21743943380818434,-0.1567552853643045,0.0
2018-10-10,-0.14548491946759637,-0.29679867807012766,1.0,-0.0,-0.21911713969239707,-0.1544369995097238,0.0
2018-10-11,-0.12234287129063065,-0.28794256003961377,1.0,-0.0,-0.20687581791815515,-0.1513104375198953,0.0
2018-10-12,-0.12352540240130029,-0.2832975060731575,1.0,-0.0,-0.19904227616700748,-0.14180604344710673,0.0
2018-10-15,-0.12717571940872913,-0.28031137934050554,1.0,-0.0,-0.2002099186565206,-0.1416426134872737,0.0
