Date,CSII,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7921668418432263,-1.596614482491564,-0.15627593074072027,-1.0632295181722633,-0.9236045804060409,0.0
2018-09-25,1.0,-0.7969450439980076,-1.5942221484310144,-0.16293098677292603,-1.0610991200398474,-0.9190879406718689,0.0
2018-09-26,1.0,-0.8010537992235164,-1.6003882418191901,-0.16838602329450916,-1.0626178591236828,-0.9139212423738216,0.0
2018-09-27,1.0,-0.8031352129839916,-1.5912590705145961,-0.17060876308646764,-1.0615410181133331,-0.9126460976015066,0.0
2018-09-28,1.0,-0.8153331474770003,-1.5962642877056035,-0.1717312517424031,-1.0710900473933649,-0.921271257318093,0.0
2018-10-01,1.0,-0.8167317345231455,-1.594924707194646,-0.17183491355270497,-1.0721137757947576,-0.9215281650864473,0.0
2018-10-02,1.0,-0.8170036867389118,-1.607418165568093,-0.16970170930622275,-1.07122109261535,-0.9206792537146686,0.0
2018-10-03,1.0,-0.8165373234325275,-1.6035397241918377,-0.16983976327396572,-1.0714086315671933,-0.921835743397912,0.0
2018-10-04,1.0,-0.8180398281921124,-1.5977575723768618,-0.17080381547386622,-1.0729625704244992,-0.9185028169799743,0.0
2018-10-05,1.0,-0.7977834707061706,-1.5930051236355538,-0.14385163733570952,-1.0934506571619513,-0.9410781911338828,0.0
2018-10-08,1.0,-0.7943577497639807,-1.5873826845115786,-0.13927916921197311,-1.094241128450047,-0.9381351696562448,0.0
2018-10-09,1.0,-0.8076105204252938,-1.5993844432008955,-0.15523223279238949,-1.0974258533855625,-0.9362618914381644,0.0
2018-10-10,1.0,-0.8088046092744867,-1.5978631761481232,-0.15645801868322423,-1.097891145046708,-0.9327068300050343,0.0
2018-10-11,1.0,-0.7355123105042469,-1.583539404365122,-0.059348457155144606,-1.0652617998064724,-0.9321040748306634,0.0
2018-10-12,1.0,-0.75280063711176,-1.5806211839660207,-0.04804884523493497,-1.0352004247411732,-0.8925935757897531,0.0
2018-10-15,1.0,-0.7302924348378893,-1.6207883026064842,-0.012608603517694427,-1.036024581479127,-0.8980716253443526,0.0
2018-10-16,1.0,-0.7242318995458188,-1.6651883515896337,-0.0,-1.0463264760886988,-0.907560780122896,0.0
2018-10-17,1.0,-0.6860191432606307,-1.5984099586798473,-0.0,-1.032376170301794,-0.91359380720749,0.0
2018-10-18,1.0,-0.685127990368005,-1.5965555148406008,-0.0,-1.037585719520494,-0.9155106527770507,0.0
2018-10-19,1.0,-0.658014950166113,-1.580409053156146,-0.0,-1.0403343023255813,-0.9123235049833887,0.0
2018-10-22,1.0,-0.6593258193528281,-1.5822988625149328,-0.0,-1.0399418272477017,-0.9124292318080298,0.0
2018-10-23,1.0,-0.6605047253089625,-1.58199189947035,-0.0,-1.0385813687818048,-0.9115172915152144,0.0
2018-10-24,1.0,-0.6587355187282457,-1.577120889396852,-0.0,-1.0420801080575615,-0.9171385526520859,0.0
2018-10-25,1.0,-0.6093913563630925,-1.5001246199092766,-0.0,-1.0190917701011915,-0.8561387767309706,0.0
2018-10-26,1.0,-0.577672537121997,-1.4800947165902028,-0.0,-1.0315721967342508,-0.8438162892802527,0.0
2018-10-29,1.0,-0.5499068536130993,-1.490783410138249,-0.0,-1.0163741543288558,-0.8453769977448771,0.0
