Date,IWF,IWM,MTUM,PFE,SPY,VLUE,VXX
2018-09-24,-0.2150840801530561,-0.3474473869700937,-0.03312858725203907,1.0,-0.4534034840398751,-0.468281139865069,0.0
2018-09-25,-0.21532846715328469,-0.34714321671281145,-0.03360181223256985,1.0,-0.45308331235841937,-0.4678328718852253,0.0
2018-09-26,-0.21511466908340254,-0.3469526470810361,-0.032827329255091506,1.0,-0.4534652468343277,-0.46907333282984665,0.0
2018-09-27,-0.2157666951839364,-0.34487444013889584,-0.03346585476322279,1.0,-0.4532987771123748,-0.4688490765437069,0.0
2018-09-28,-0.2160706646198757,-0.344792007448977,-0.03367138938520774,1.0,-0.4532299871656139,-0.46878224324936457,0.0
2018-10-01,-0.21595227907679143,-0.34519644610002265,-0.03387782839596285,1.0,-0.4530970778485314,-0.46880269814502534,0.0
2018-10-02,-0.21661549302864042,-0.33965873055821205,-0.03606483112699451,1.0,-0.45424573413197766,-0.47012634016207777,0.0
2018-10-03,-0.21651066827697263,-0.3378371578099839,-0.03595511272141707,1.0,-0.4547101449275362,-0.4710899758454106,0.0
2018-10-04,-0.2155800297386527,-0.341792887925603,-0.03598881020187001,1.0,-0.4533632400010081,-0.47349983618538777,0.0
2018-10-05,-0.2083061316727766,-0.33616230603123587,-0.028724953547933512,1.0,-0.4581178124843067,-0.4796113091949983,0.0
2018-10-08,-0.20705829236480386,-0.3339018761914317,-0.025358683656065015,1.0,-0.46199959867562956,-0.4799588642520317,0.0
2018-10-09,-0.20522603479002985,-0.33494816636963776,-0.02005572429026833,1.0,-0.46537312683551296,-0.4845001129546424,0.0
2018-10-10,-0.20637470197013424,-0.333743255113565,-0.021357761325134898,1.0,-0.4661312586271803,-0.48214330530806876,0.0
2018-10-11,-0.182010582010582,-0.32575366063738154,-0.0,1.0,-0.46201550387596896,-0.49117755629383536,0.0
2018-10-12,-0.175830157866086,-0.3288959271539566,-0.0,1.0,-0.46998564853763547,-0.4996783292918296,0.0
2018-10-15,-0.18083128857164102,-0.32403896200461,-0.0,1.0,-0.47267454829355343,-0.5009542221230823,0.0
2018-10-16,-0.1863509887707443,-0.3184686475206201,-0.0,1.0,-0.47567822716883634,-0.503850740335884,0.0
2018-10-17,-0.17782534878570902,-0.302256342117566,-0.0,1.0,-0.47351197067001305,-0.5069757141802613,0.0
2018-10-18,-0.17683904219378066,-0.3007570713422604,-0.0,1.0,-0.4792730142289956,-0.5091859633547878,0.0
2018-10-19,-0.16966454810924883,-0.29380874088979414,-0.0,1.0,-0.4804790066501436,-0.5099752153321391,0.0
2018-10-22,-0.16954022988505746,-0.28536693191865603,-0.0,1.0,-0.48612339129580506,-0.5150309460654288,0.0
2018-10-23,-0.16970381649393387,-0.2853283560096272,-0.0,1.0,-0.48597671791345354,-0.5149319711184243,0.0
2018-10-24,-0.1685895232952035,-0.28432912759585643,-0.0,1.0,-0.4863272620158083,-0.5154401296087191,0.0
2018-10-25,-0.15951456310679613,-0.2714077669902913,-0.0,1.0,-0.4870631067961165,-0.5091747572815534,0.0
2018-10-26,-0.15575593482570227,-0.2680220470918145,-0.0,1.0,-0.48745346419765023,-0.506188657351448,0.0
2018-10-29,-0.15267783841213114,-0.26693871637610467,-0.0,1.0,-0.4877094702274593,-0.5072922200222147,0.0
2018-10-30,-0.13533397870280733,-0.26991771539206194,-0.0,1.0,-0.49090029041626326,-0.5239835430784124,0.0
2018-10-31,-0.14158950617283952,-0.2531346450617284,-0.0,1.0,-0.4935860339506173,-0.5229552469135802,0.0
2018-11-01,-0.1320968324701915,-0.26048416235095745,-0.0,1.0,-0.4931470552812236,-0.5230639527881489,0.0
2018-11-02,-0.13357036467592368,-0.252726661221352,-0.0,1.0,-0.4947628885792533,-0.5212847739393648,0.0
2018-11-05,-0.13648180242634317,-0.2467263624109378,-0.0,1.0,-0.4954506065857886,-0.5284276911226652,0.0
2018-11-06,-0.13430533799252922,-0.2454994577659959,-0.0,1.0,-0.4980841065188577,-0.5320159055307869,0.0
2018-11-07,-0.13352807686736518,-0.24878084109893295,-0.0,1.0,-0.498285935010381,-0.5335811887402829,0.0
2018-11-08,-0.13466466805280208,-0.24868236545621583,-0.0,1.0,-0.5001934142449591,-0.5341134374546685,0.0
2018-11-09,-0.1351083381698588,-0.24893596440317278,-0.0,1.0,-0.5,-0.534218417488876,0.0
2018-11-12,-0.13527211294799082,-0.2343670809701943,-0.0,1.0,-0.5098588150114638,-0.5339447327138892,0.0
2018-11-13,-0.11949384077074246,-0.22889804917797055,-0.0,1.0,-0.5135886497627378,-0.5346306859032737,0.0
2018-11-14,-0.11816697089057546,-0.23172254779517723,-0.0,1.0,-0.5151551541934863,-0.5367230281487174,0.0
2018-11-15,-0.11755659153169605,-0.2315326572788004,-0.0,1.0,-0.515355409237276,-0.5385927812755322,0.0
2018-11-16,-0.11625842669673489,-0.22786267783029052,-0.0,1.0,-0.5145023150924838,-0.5404361490295805,0.0
2018-11-19,-0.11538000047995008,-0.22836025053394443,-0.0,1.0,-0.5152264164526889,-0.5407837584891171,0.0
2018-11-20,-0.07143199463241637,-0.2235215182593693,-0.0,1.0,-0.5284913256014568,-0.5727978529665484,0.0
2018-11-21,-0.07244995233555768,-0.21892278360343184,-0.0,1.0,-0.5279790276453765,-0.5638703527168732,0.0
2018-11-23,-0.07415971394517283,-0.20636471990464839,-0.0,1.0,-0.5362574493444577,-0.5670083432657926,0.0
2018-11-26,-0.07361597674030648,-0.2092419151116513,-0.0,1.0,-0.5348061295012035,-0.5654774671718977,0.0
2018-11-27,-0.06778735427499584,-0.21105491844148444,-0.0,1.0,-0.5324453308640217,-0.5630268062777501,0.0
2018-11-28,-0.0707981444034733,-0.20180801712858332,-0.0,1.0,-0.5390983704056144,-0.5672653740930177,0.0
2018-11-29,-0.061536278497776944,-0.19756882035758208,-0.0,1.0,-0.5374373285403462,-0.5684419638633998,0.0
2018-11-30,-0.06225717805363404,-0.19970624466976217,-0.0,1.0,-0.5414574054771155,-0.5655974604377901,0.0
2018-12-03,-0.06333617990321663,-0.20018502704241392,-0.0,1.0,-0.5422241199354778,-0.5663962425277541,0.0
2018-12-04,-0.05546867595488579,-0.2058572647142451,-0.0,1.0,-0.5410387640981896,-0.5670789498625722,0.0
2018-12-06,-0.050774887141062035,-0.1733606366640294,-0.0,1.0,-0.5443756690091683,-0.5584539488993345,0.0
2018-12-07,-0.04979871081842087,-0.17327158913736532,-0.0,1.0,-0.5447606636725386,-0.5592115979801271,0.0
2018-12-10,-0.0428101242351196,-0.17131003152234378,-0.0,1.0,-0.5460782495827925,-0.5575978119784907,0.0
2018-12-11,-0.051873332560027845,-0.16909871244635194,-0.0,1.0,-0.5494490198352859,-0.5494954181649461,0.0
2018-12-12,-0.05022873464459048,-0.17035506118942012,-0.0,1.0,-0.5495669135917145,-0.5520284234725866,0.0
2018-12-13,-0.0501717256103221,-0.16854636591478694,-0.0,1.0,-0.5510999721526036,-0.5507982920263622,0.0
2018-12-14,-0.05423280423280422,-0.15770908753364896,-0.0,1.0,-0.5578529657477025,-0.5508214981899192,0.0
2018-12-17,-0.0521799628942486,-0.15663265306122448,-0.0,1.0,-0.5581632653061225,-0.5521567717996289,0.0
2018-12-18,-0.048029585114989025,-0.15194730151392583,-0.0,1.0,-0.5579105512539004,-0.553449670634462,0.0
2018-12-19,-0.039067934152562024,-0.15682819383259913,-0.0,1.0,-0.5652214236030605,-0.5574773939253419,0.0
2018-12-20,-0.03886345771489342,-0.15214777824016276,-0.0,1.0,-0.5660979331391317,-0.5548157395847783,0.0
