Date,HALO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5021681864235056,-1.0149949341438704,-0.22006079027355624,-0.6806889564336372,-0.6347720364741641,0.0
2018-09-25,1.0,-0.5112448655903046,-1.0150067103176217,-0.22998088576192607,-0.6802228638822237,-0.6304038391150515,0.0
2018-09-26,1.0,-0.5111436473076297,-1.0150073206442167,-0.22958353668456158,-0.6803725394501383,-0.6309581909874736,0.0
2018-09-27,1.0,-0.5155519414515145,-1.0052043098190688,-0.2325675950396422,-0.6812360235820288,-0.6313071762553364,0.0
2018-09-28,1.0,-0.5149408464446884,-1.0053258527462698,-0.232995893808188,-0.681058665690938,-0.6312558442086433,0.0
2018-10-01,1.0,-0.5143810259956877,-1.0072006834547007,-0.23351368943492942,-0.6810544729669257,-0.6319921890891338,0.0
2018-10-02,1.0,-0.5202873703975834,-0.9795085313086783,-0.24455057555718834,-0.6930769858763981,-0.6445015919666912,0.0
2018-10-03,1.0,-0.5204752378230515,-0.9805250479728902,-0.2449271220348671,-0.6928101906667211,-0.6440207406197689,0.0
2018-10-04,1.0,-0.519506011286497,-0.9855238406804612,-0.24515416700744255,-0.6915433057986423,-0.6476241105749571,0.0
2018-10-05,1.0,-0.5089649551752241,-0.9810105949470252,-0.2339445802770986,-0.6969437652811735,-0.6541157294213529,0.0
2018-10-08,1.0,-0.5069178806869049,-0.9776593147228778,-0.22902254415235615,-0.7017986489785953,-0.6539431919915358,0.0
2018-10-09,1.0,-0.521562178828366,-0.9898458376156218,-0.247934224049332,-0.7028982528263104,-0.6487564234326825,0.0
2018-10-10,1.0,-0.5251203555116652,-0.9886433773608198,-0.25132699666707814,-0.7056741966012428,-0.643953421388306,0.0
2018-10-11,1.0,-0.47670222150934316,-0.9904563317026225,-0.18618173069211646,-0.694843211163686,-0.6617611676958859,0.0
2018-10-12,1.0,-0.4857697796099572,-0.9848184556841605,-0.18293166323133025,-0.6736562549548121,-0.636633898842556,0.0
2018-10-15,1.0,-0.47564787339268055,-1.0008308605341247,-0.1684272997032641,-0.6732739861523245,-0.6382987141444115,0.0
2018-10-16,1.0,-0.47305057225456415,-1.014494475466318,-0.15884519424973267,-0.6747851570234843,-0.6391034018454714,0.0
2018-10-17,1.0,-0.46266494381142564,-0.9904459845726145,-0.1516895728102118,-0.6698774423430831,-0.6409021496534711,0.0
2018-10-18,1.0,-0.46262578801049375,-0.990641763577274,-0.1514937938055523,-0.6699165981440149,-0.6409021496534711,0.0
2018-10-19,1.0,-0.45178356089780985,-0.9824950402614074,-0.14050647683510326,-0.6738631501147546,-0.6413428249115026,0.0
2018-10-22,1.0,-0.45442225676591336,-1.041173422615489,-0.16760333213759016,-0.6761528956913389,-0.6464187492526605,0.0
