Date,ENPH,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-1.0682442025556083,-0.0,-0.26796024609559865,-0.0,-2.216658778987222,-0.0,-0.7024136299100805,-0.7115002366303834,-0.0,-0.06389020350212968,-0.0,-0.0,-0.9001419782300049,-0.0,-2.534311405584477,-0.0,-0.0
2019-01-03,1.0,-0.0,-1.1261491801724954,-0.0,-0.08757463747512084,-0.0,-1.9624680125106624,-0.0,-0.7549047483650838,-0.8158468391621647,-0.0,-0.18159416169083498,-0.0,-0.0,-0.9932707800208511,-0.0,-2.5519855937825797,-0.0,-0.00398066533977822
2019-01-04,1.0,-0.0,-1.1763103513056548,-0.0,-0.10670674431711441,-0.0,-1.873003945143716,-0.0,-0.6495397332331393,-0.8503663347736239,-0.0,-0.13995866992297576,-0.0,-0.0,-1.0297764418560962,-0.0,-2.567631035130565,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.9052927236022118,-0.0,-0.40200122882471695,-0.0,-2.0507329061704556,-0.0,-0.3818133941894145,-0.5836917405424383,-0.0,-0.07065742122355832,-0.0,-0.0,-0.8710611779162643,-0.0,-2.260159747213201,-0.0,-0.2519968401650136
2019-01-08,1.0,-0.0,-0.9206808809335789,-0.0,-0.3946652627884531,-0.0,-2.0544002807756425,-0.0,-0.37571290690532594,-0.5755023251732911,-0.0,-0.06141967184346758,-0.0,-0.0,-0.8671580240414144,-0.0,-2.259366499956129,-0.0,-0.26542072475212775
2019-01-09,1.0,-0.0,-0.8021483021483021,-0.0,-0.29902979902979904,-0.0,-2.135914760914761,-0.0,-0.36373873873873874,-0.483974358974359,-0.0,-0.19611919611919612,-0.0,-0.0,-0.8644317394317395,-0.0,-2.174029799029799,-0.0,-0.3431219681219681
2019-01-10,1.0,-0.0,-0.882296231375986,-0.0,-0.3453111305872042,-0.0,-2.2039439088518846,-0.0,-0.3317265556529361,-0.45039439088518846,-0.0,-0.23663453111305874,-0.0,-0.0,-0.7672217353198949,-0.0,-2.220771253286591,-0.0,-0.32585451358457496
2019-01-11,1.0,-0.0,-0.8052431216473438,-0.0,-0.3300744073369095,-0.0,-2.1197439003287766,-0.0,-0.26864509430697353,-0.4318221145526908,-0.0,-0.2919190171309915,-0.0,-0.0,-0.7948607025436926,-0.0,-2.152621560823672,-0.0,-0.45708600103824193
2019-01-14,1.0,-0.0,-0.8109534521543519,-0.0,-0.3251427582626752,-0.0,-2.1227721059006748,-0.0,-0.26198304204879735,-0.42143969544903964,-0.0,-0.29806194843398515,-0.0,-0.0,-0.8068004845128914,-0.0,-2.1435369441079772,-0.0,-0.4614120089980966
2019-01-15,1.0,-0.0,-0.6323963213604026,-0.0,-0.5144889814332813,-0.0,-2.1818497310428593,-0.0,-0.16310949158424431,-0.44829082075307997,-0.0,-0.4914974839493319,-0.0,-0.0,-0.9164497657470068,-0.0,-1.911330904043033,-0.0,-0.41671004685059865
2019-01-16,1.0,-0.0,-0.6138605369242645,-0.0,-0.520885153100609,-0.0,-2.1515567372845013,-0.0,-0.2239471652800412,-0.3978042713783343,-0.0,-0.4640192126254396,-0.0,-0.0,-0.8946736426794751,-0.0,-1.8647396860794236,-0.0,-0.4454927523801355
2019-01-17,1.0,-0.0,-0.7100806809114283,-0.0,-0.5412713893075627,-0.0,-2.1856547566273603,-0.0,-0.21367142477169962,-0.35987232910719036,-0.0,-0.6704495079351007,-0.0,-0.0,-0.8111534710523983,-0.0,-2.031829062860183,-0.0,-0.3421402606614061
2019-01-18,1.0,-0.0,-0.6930544523872563,-0.0,-0.5442591121701528,-0.0,-2.1704174388844764,-0.0,-0.14888359368105197,-0.38425558203159477,-0.0,-0.6919954108198747,-0.0,-0.0,-0.8129909098932133,-0.0,-2.0244462095137234,-0.0,-0.3552201923925514
2019-01-22,1.0,-0.0,-0.837971439033321,-0.0,-0.3539912120102527,-0.0,-2.2435920908092273,-0.0,-0.12651043573782497,-0.5324972537532039,-0.0,-0.6632186012449652,-0.0,-0.0,-0.8175576711827169,-0.0,-2.3387953130721346,-0.0,-0.24002196997436837
2019-01-23,1.0,-0.0,-0.8365561694290976,-0.0,-0.3170349907918969,-0.0,-2.3377532228360955,-0.0,-0.12605893186003683,-0.47817679558011045,-0.0,-0.6841620626151014,-0.0,-0.0,-0.7670349907918969,-0.0,-2.409852670349908,-0.0,-0.2512891344383057
2019-01-24,1.0,-0.0,-0.8395323144908856,-0.0,-0.38473577610016574,-0.0,-2.288252623826183,-0.0,-0.190480574479838,-0.5263303259068312,-0.0,-0.6717915669305836,-0.0,-0.0,-0.6774995396796171,-0.0,-2.4266249309519425,-0.0,-0.2010679432885288
2019-01-25,1.0,-0.0,-0.852922227335481,-0.0,-0.376806258628624,-0.0,-2.275103543488265,-0.0,-0.18177634606534745,-0.5306028531983433,-0.0,-0.6805338242061667,-0.0,-0.0,-0.6499769903359411,-0.0,-2.4500690289921767,-0.0,-0.20607455131155086
2019-01-28,1.0,-0.0,-0.8539480949751518,-0.0,-0.3740106755015645,-0.0,-2.2784833425363518,-0.0,-0.18286397938523832,-0.530369961347322,-0.0,-0.680287134180011,-0.0,-0.0,-0.6487207804159764,-0.0,-2.4494754279403645,-0.0,-0.20495122400147248
2019-01-29,1.0,-0.0,-0.8684063893016345,-0.0,-0.3560549777117385,-0.0,-2.321136701337296,-0.0,-0.2072808320950966,-0.5029717682020802,-0.0,-0.6769130757800891,-0.0,-0.0,-0.7467496285289748,-0.0,-2.427284546805349,-0.0,-0.17979197622585438
2019-01-30,1.0,-0.0,-0.8721776450830379,-0.0,-0.3766560925545811,-0.0,-2.345773465198731,-0.0,-0.23987684269453258,-0.483392423959694,-0.0,-0.6629035267773838,-0.0,-0.0,-0.7533121851091622,-0.0,-2.432263481992909,-0.0,-0.16374323567829818
2019-01-31,1.0,-0.0,-0.8743323025021085,-0.0,-0.57895230062787,-0.0,-2.327804329491144,-0.0,-0.20054352919126603,-0.504170180864024,-0.0,-0.6975916034111143,-0.0,-0.0,-0.7530690656920627,-0.0,-2.4008059225939458,-0.0,-0.033923718489363694
2019-02-01,1.0,-0.0,-0.8504793510324484,-0.0,-0.4743731563421829,-0.0,-2.549041297935103,-0.0,-0.4734513274336284,-0.021570796460176993,-0.0,-0.7659476401179941,-0.0,-0.0,-0.6015855457227139,-0.0,-2.25202802359882,-0.0,-0.22971976401179944
2019-02-04,1.0,-0.0,-0.8095766315400259,-0.0,-0.4702347938620817,-0.0,-2.4747642817526345,-0.0,-0.46940284710667407,-0.008042151968940654,-0.0,-0.752357182473655,-0.0,-0.0,-0.6279349232760215,-0.0,-2.2910889258643,-0.0,-0.34063597707524496
2019-02-05,1.0,-0.0,-0.7320800148175587,-0.0,-0.45202815336173363,-0.0,-2.446656788294128,-0.0,-0.5352843119096128,-0.008242267086497498,-0.0,-0.770235228746064,-0.0,-0.0,-0.6095573254306353,-0.0,-2.333765512131876,-0.0,-0.3732172624560104
2019-02-06,1.0,-0.0,-0.708085501858736,-0.0,-0.466449814126394,-0.0,-2.455483271375465,-0.0,-0.5524163568773234,-0.022397769516728623,-0.0,-0.7552973977695167,-0.0,-0.0,-0.5989776951672862,-0.004275092936802974,-2.3477695167286248,-0.0,-0.3825278810408922
2019-02-07,1.0,-0.0,-0.724028990893886,-0.0,-0.46181007247723477,-0.0,-2.4580932912098126,-0.0,-0.5467385244378369,-0.0,-0.0,-0.7577587808957443,-0.0,-0.0,-0.6073220590968222,-0.0,-2.3455677383385987,-0.0,-0.3904478721427244
2019-02-08,1.0,-0.0,-0.725619988812232,-0.0,-0.49151594256945746,-0.0,-2.4598172664553424,-0.0,-0.5338429983218348,-0.0,-0.0,-0.7539623345142644,-0.0,-0.0,-0.5966809621480516,-0.0,-2.372179750139847,-0.0,-0.38952079060227485
2019-02-11,1.0,-0.0,-0.6930167597765363,-0.0,-0.5174115456238362,-0.0,-2.4114525139664806,-0.0,-0.5308193668528864,-0.0,-0.0,-0.7790502793296089,-0.0,-0.0,-0.5721601489757915,-0.016108007448789572,-2.3711359404096837,-0.0,-0.41973929236499075
2019-02-12,1.0,-0.0,-0.7257687634358351,-0.0,-0.5323862043181605,-0.0,-2.3999439199925225,-0.0,-0.526965136928685,-0.0,-0.0,-0.7797925039723339,-0.0,-0.0,-0.5856622114216281,-0.01747826899710253,-2.3785400504720067,-0.0,-0.40013085335078047
2019-02-13,1.0,-0.0,-0.7720595204246044,-0.0,-0.48128139512842383,-0.0,-2.5829779167851386,-0.0,-0.4303857454269737,-0.0,-0.0,-0.7912046251540138,-0.0,-0.0,-0.5407070419865415,-0.19363093545635485,-2.3664107667519665,-0.0,-0.31911667140555394
2019-02-14,1.0,-0.0,-0.7743127962085308,-0.0,-0.4776303317535545,-0.0,-2.583127962085308,-0.0,-0.43194312796208534,-0.0,-0.0,-0.7914691943127963,-0.0,-0.0,-0.5418009478672986,-0.1909004739336493,-2.3703317535545025,-0.0,-0.3173459715639811
2019-02-15,1.0,-0.0,-0.8134568134568135,-0.0,-0.458986958986959,-0.0,-2.584955584955585,-0.0,-0.43384993384993387,-0.0,-0.0,-0.7649782649782649,-0.0,-0.0,-0.49962199962199966,-0.21782271782271784,-2.3694008694008697,-0.0,-0.30693630693630697
2019-02-19,1.0,-0.0,-0.7043330501274426,-0.0,-0.4758802983102049,-0.0,-2.5633909185311055,-0.0,-0.45114698385726426,-0.05059945246861135,-0.0,-0.6619465684886247,-0.0,-0.0,-0.4725762295855754,-0.22543188898329083,-2.4261304635136414,-0.0,-0.408854904182007
2019-02-20,1.0,-0.0,-0.6968175790869483,-0.0,-0.48882364084106844,-0.0,-2.618867209698807,-0.0,-0.4274483803750711,-0.06364841826103429,-0.0,-0.6796741807160448,-0.0,-0.0,-0.4522636863042243,-0.25137336616783484,-2.4099261223716613,-0.0,-0.3827429437393446
2019-02-21,1.0,-0.0,-0.6106109940624401,-0.0,-0.5290174296111856,-0.0,-2.707527293621912,-0.0,-0.34227159547979313,-0.1405860946178893,-0.0,-0.7235203983911129,-0.0,-0.0,-0.506990997893124,-0.33020494158207236,-2.330588009959778,-0.0,-0.35539168741620375
2019-02-22,1.0,-0.0,-0.5944661025007132,-0.0,-0.5446420081772368,-0.0,-2.661975848626034,-0.0,-0.35171626889797475,-0.16677759817438434,-0.0,-0.7059047256822287,-0.0,-0.0,-0.5489207949034896,-0.23495293334601122,-2.3467718931254162,-0.0,-0.35238185794428073
2019-02-25,1.0,-0.0,-0.602616751026645,-0.0,-0.5576353738897908,-0.0,-2.690000955018623,-0.0,-0.35583993887880816,-0.17314487632508835,-0.0,-0.6963040779295196,-0.0,-0.0,-0.5234457071912902,-0.2356985961226244,-2.3719797536051956,-0.0,-0.34352019864387356
2019-02-26,1.0,-0.0,-0.7245536535983802,-0.0,-0.4635560463832136,-0.0,-2.542702006258052,-0.0,-0.31078593778759434,-0.16593042517945886,-0.0,-0.6869133075648812,-0.0,-0.0,-0.48647156267255653,-0.17697404748757592,-2.3117062396466044,-0.0,-0.3333333333333333
2019-02-27,1.0,-0.0,-0.6654765174402637,-0.0,-0.45353840520003663,-0.0,-2.48539778449144,-0.0,-0.3291220360706766,-0.2359241966492722,-0.0,-0.6975189966126522,-0.0,-0.0,-0.48429918520552967,-0.15252220086056947,-2.3332417833928405,-0.0,-0.3179529433305868
2019-02-28,1.0,-0.0,-0.7015097605538995,-0.0,-0.5891912683911914,-0.0,-2.649966342917588,-0.0,-0.3081065487066064,-0.18944129243196461,-0.0,-0.7795941917492067,-0.0,-0.0,-0.5064910087508414,-0.08798922973362823,-2.520626983363785,-0.0,-0.28339263390710645
2019-03-01,1.0,-0.0,-0.7583688952110005,-0.0,-0.7156946420104314,-0.0,-2.4530109056424845,-0.0,-0.3814129919393077,-0.11455666192508299,-0.0,-0.7251778093883356,-0.0,-0.0,-0.6092935040303461,-0.04770033191085822,-2.497202465623518,-0.0,-0.18074917022285444
2019-03-04,1.0,-0.0,-0.6645951035781544,-0.0,-0.7032956685499059,-0.0,-2.5332391713747646,-0.0,-0.4498116760828625,-0.0768361581920904,-0.0,-0.6661016949152542,-0.0,-0.0,-0.6168549905838041,-0.06563088512241054,-2.4396421845574388,-0.0,-0.2002824858757062
2019-03-05,1.0,-0.0,-0.6835599505562422,-0.0,-0.6853665493962157,-0.0,-2.591043073119711,-0.0,-0.46924027764571646,-0.05067985166872682,-0.0,-0.6744318722069031,-0.0,-0.0,-0.5770657031472853,-0.09850717885328515,-2.4958638394979555,-0.0,-0.18256156698678327
2019-03-06,1.0,-0.0,-0.6795674445076835,-0.0,-0.702523240371846,-0.0,-2.5640295959021056,-0.0,-0.4659457408461392,-0.04676531967368621,-0.0,-0.6579396698918611,-0.0,-0.0,-0.5744640485676342,-0.10121419085562512,-2.4916524378675775,-0.0,-0.20176437108708026
2019-03-07,1.0,-0.0,-0.7138376734461129,-0.0,-0.7077551796236456,-0.0,-2.5747956662231517,-0.0,-0.454476335297472,-0.03373883292149782,-0.0,-0.6568142938604828,-0.0,-0.0,-0.5817335107394032,-0.09779509598935565,-2.49543812963315,-0.0,-0.18751187987074702
2019-03-08,1.0,-0.0,-0.7229704097116844,-0.0,-0.7011570561456751,-0.0,-2.5851669195751135,-0.0,-0.4620637329286798,-0.0215288315629742,-0.0,-0.6105842185128983,-0.0,-0.0,-0.6286039453717754,-0.08725341426403642,-2.4728755690440063,-0.0,-0.19186267071320182
2019-03-11,1.0,-0.0,-0.6494695801976607,-0.0,-0.7157493879771512,-0.0,-2.531779853114516,-0.0,-0.4543476289781485,-0.09039804152688367,-0.0,-0.5385801069906611,-0.0,-0.0,-0.3844410191313809,-0.12086317889201197,-2.3800888566506484,-0.0,-0.20110617463051952
2019-03-12,1.0,-0.0,-0.6123269316659223,-0.0,-0.7447074586869138,-0.0,-2.5361322018758377,-0.0,-0.41277355962483253,-0.06413577489950871,-0.0,-0.5690040196516303,-0.0,-0.0,-0.3205002233139795,-0.06672621706118803,-2.3682894149173737,-0.0,-0.23796337650736937
2019-03-13,1.0,-0.0,-0.5992885726989774,-0.0,-0.7234326367274345,-0.0,-2.5260115606936417,-0.0,-0.45166740773677194,-0.05967096487327701,-0.0,-0.557581147176523,-0.0,-0.0,-0.3550022232103157,-0.09319697643397065,-2.3244997776789686,-0.0,-0.20240106714095155
2019-03-14,1.0,-0.0,-0.6925975548484341,-0.0,-0.6171495561882432,-0.0,-2.2658683637581643,-0.0,-0.4654999162619327,-0.07352202311170658,-0.0,-0.48978395578630046,-0.0,-0.0,-0.40102160442136997,-0.1997152905710936,-2.083654329258081,-0.0,-0.08507787640261263
2019-03-15,1.0,-0.0,-0.7213984835720303,-0.0,-0.6328559393428813,-0.0,-2.3057287278854255,-0.0,-0.44928390901432186,-0.06680707666385846,-0.0,-0.4569502948609941,-0.0,-0.0,-0.3828138163437237,-0.1931760741364785,-2.1312552653748944,-0.0,-0.08424599831508003
2019-03-18,1.0,-0.0,-0.7123722847085087,-0.0,-0.6858418476860995,-0.0,-2.3515068257920495,-0.0,-0.498239890100455,-0.1199450502275264,-0.0,-0.4259465956898772,-0.0,-0.0,-0.35734523911736926,-0.2794711084399416,-2.155318966257405,-0.0,-0.0
2019-03-19,1.0,-0.0,-0.7256134835385556,-0.0,-0.8027246528687451,-0.0,-2.400576368876081,-0.0,-0.4661601606846563,-0.013972578814077374,-0.0,-0.46153174395249325,-0.0,-0.0,-0.39184350711728233,-0.21465374203126367,-2.1896777574011006,-0.0,-0.06619509213169156
2019-03-20,1.0,-0.0,-0.7168957871396896,-0.0,-0.8042572062084257,-0.0,-2.4221729490022175,-0.0,-0.5021729490022172,-0.002039911308203991,-0.0,-0.48478935698447895,-0.0,-0.0,-0.4212860310421286,-0.2503769401330377,-2.2268736141906875,-0.0,-0.038226164079822614
2019-03-21,1.0,-0.0,-0.6853988961364776,-0.0,-0.7134136143167753,-0.0,-2.015638066566315,-0.0,-0.5474995818698779,-0.07158387690249206,-0.0,-0.480431510286001,-0.0,-0.0,-0.3615153035624686,-0.1543736410771032,-2.2719518314099343,-0.0,-0.060796119752466966
2019-03-22,1.0,-0.0,-0.6830651213207706,-0.0,-0.6369548903527058,-0.0,-1.9357124989577255,-0.0,-0.5539898273993162,-0.0645376469607271,-0.0,-0.6549653964812807,-0.0,-0.0,-0.2803301926123572,-0.16342866672225465,-2.3431168181439173,-0.0,-0.022179604769448847
