Date,IWF,IWM,MTUM,NAVI,SPY,VLUE,VXX
2018-09-24,-0.22016467935358228,-0.8131811814547815,-0.0021524479825070896,1.0,-0.6336738528818887,-0.7474119375448427,0.0
2018-09-25,-0.2179777594728171,-0.8202224052718287,-0.0,1.0,-0.6393808347062054,-0.754599121361889,0.0
2018-09-26,-0.21862987369577158,-0.820840197693575,-0.0,1.0,-0.6393465129049972,-0.7533635365183965,0.0
2018-09-27,-0.21709867807959135,-0.8348117212577227,-0.0,1.0,-0.6428053705173782,-0.7567735477858697,0.0
2018-09-28,-0.21469531573856568,-0.8387453364653861,-0.0,1.0,-0.6435332320022109,-0.7575307447837502,0.0
2018-10-01,-0.21517894155036615,-0.8382962553544285,-0.0,1.0,-0.6436023214038966,-0.7573925659803785,0.0
2018-10-02,-0.2191151054268925,-0.8228136882129278,-0.002143104044244729,1.0,-0.6493950916004149,-0.7631870031109574,0.0
2018-10-03,-0.21882881326653997,-0.8179651062359647,-0.001727414061150458,1.0,-0.6506477802729315,-0.7656244601831059,0.0
2018-10-04,-0.21889687586397563,-0.8186342272601603,-0.002211777716339508,1.0,-0.6501589715233619,-0.7660008294166437,0.0
2018-10-05,-0.20437880822059276,-0.8126269406864263,-0.0,1.0,-0.6531722262384246,-0.7723157423663465,0.0
2018-10-08,-0.20285468615649183,-0.8114187446259673,-0.0,1.0,-0.6532416165090283,-0.771865864144454,0.0
2018-10-09,-0.1985822924193937,-0.8114999483844328,-0.0,1.0,-0.6553456522487183,-0.7756099239530643,0.0
2018-10-10,-0.19665055248618782,-0.817092541436464,-0.0,1.0,-0.6568024861878452,-0.7824585635359115,0.0
2018-10-11,-0.1245967741935484,-0.805981182795699,-0.0,1.0,-0.6342069892473119,-0.7954301075268818,0.0
2018-10-12,-0.12049875311720698,-0.7999334995843723,-0.0,1.0,-0.6207813798836243,-0.7838403990024937,0.0
2018-10-15,-0.08323064113238966,-0.841232306411324,-0.0,1.0,-0.6169525395503747,-0.7891423813488759,0.0
2018-10-16,-0.07734106744007734,-0.8525519218588525,-0.0,1.0,-0.6158949228256159,-0.7878787878787878,0.0
2018-10-17,-0.05973189643842818,-0.8217571297148113,-0.0,1.0,-0.6106584308056249,-0.7934354054409252,0.0
2018-10-18,-0.05936658124712531,-0.8215060122215652,-0.0,1.0,-0.6109468427623366,-0.7935475392601354,0.0
2018-10-19,-0.04204860544772468,-0.8124612624367966,-0.0,1.0,-0.6120045669548198,-0.7955635296036536,0.0
2018-10-22,-0.04233305046021281,-0.801977935896599,-0.0,1.0,-0.6184803185586527,-0.801129316535022,0.0
2018-10-23,-0.04369391417849568,-0.8018600097895252,-0.0,1.0,-0.6172295643661283,-0.8004242127590145,0.0
2018-10-24,-0.04085425497228562,-0.8006521030322792,-0.0,1.0,-0.6172807303553962,-0.8017280730355397,0.0
2018-10-25,-0.015733987323629645,-0.770455776029557,-0.0,1.0,-0.6161098194094977,-0.7827180940854221,0.0
2018-10-26,-0.0,-0.7588775606830592,-0.0,1.0,-0.6230232631545721,-0.7745651968056564,0.0
2018-10-29,-0.0,-0.7587780015101938,-0.0,1.0,-0.613390385099421,-0.7740687138182734,0.0
2018-10-30,-0.0022740193291642978,-0.7656812582906954,-0.0,1.0,-0.6217232013138778,-0.7686817004611206,0.0
2018-10-31,-0.0058378581965412265,-0.7488465522111672,-0.0,1.0,-0.61956624085873,-0.7643827877342205,0.0
2018-11-01,-0.0,-0.7564186965108625,-0.0,1.0,-0.6160381203172512,-0.7624376939715979,0.0
2018-11-02,-0.0,-0.7603453689167975,-0.0,1.0,-0.6158241758241758,-0.7635478806907378,0.0
2018-11-05,-0.0,-0.7585513710462669,-0.0,1.0,-0.6163897352137451,-0.7660583597700789,0.0
2018-11-06,-0.0,-0.755705965685503,-0.0,1.0,-0.62039981111286,-0.7720132220997954,0.0
2018-11-07,-0.0,-0.7561029388603648,-0.0,1.0,-0.6212870507449523,-0.7725139383248811,0.0
2018-11-08,-0.0,-0.7526895210613807,-0.0,1.0,-0.612897155223787,-0.7708810337797573,0.0
2018-11-09,-0.0,-0.7524618955027286,-0.0,1.0,-0.6133412783039579,-0.7704008028601895,0.0
2018-11-12,-0.0,-0.7354632987370264,-0.0,1.0,-0.6219832437163937,-0.7687257721645617,0.0
2018-11-13,-0.0,-0.7265447999751715,-0.0,1.0,-0.6145991744514447,-0.762422022904317,0.0
2018-11-14,-0.0,-0.7282517351925052,-0.0,1.0,-0.6195648790812038,-0.7646363098758131,0.0
2018-11-15,-0.0,-0.7282024183270648,-0.0,1.0,-0.6203723850672966,-0.7598147399832147,0.0
2018-11-16,-0.0,-0.7209093164619774,-0.0,1.0,-0.618161518422032,-0.7622813546706364,0.0
2018-11-19,-0.0,-0.7389013346795823,-0.0,1.0,-0.6365127946234184,-0.7798251979932478,0.0
2018-11-20,-0.0,-0.7253209454157381,-0.0,1.0,-0.6265733387739728,-0.786936187576509,0.0
2018-11-21,-0.0,-0.775316979508061,-0.0,1.0,-0.671400668719171,-0.8638064024894891,0.0
2018-11-23,-0.0,-0.8021052631578947,-0.0,1.0,-0.6713784461152882,-0.868203842940685,0.0
2018-11-26,-0.0,-0.803981827899519,-0.0,1.0,-0.6697955638695884,-0.8666822554783539,0.0
2018-11-27,-0.0,-0.8029884521947487,-0.0,1.0,-0.663116909048554,-0.8617924057372959,0.0
2018-11-28,-0.0,-0.8209194404567155,-0.0,1.0,-0.6582980002003138,-0.8593129235802758,0.0
