Date,ADNT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5278194682675815,-1.4001929674099485,-0.0,-1.167238421955403,-1.264954974271012,0.0
2018-09-25,1.0,-0.5278224509488582,-1.4003966977591937,-0.0,-1.167417175940817,-1.2651978128015438,0.0
2018-09-26,1.0,-0.5344319546000218,-1.423551238677289,-0.0,-1.1934410127687438,-1.3052493724762633,0.0
2018-09-27,1.0,-0.5374638984251539,-1.4146912974769768,-0.0,-1.1928505258569015,-1.3042885946269958,0.0
2018-09-28,1.0,-0.5346680486607386,-1.4205989853254049,-0.0,-1.1942065353772298,-1.3058207408215592,0.0
2018-10-01,1.0,-0.5370380479283804,-1.4195097985697909,-0.0,-1.1959713958185492,-1.3062940116818604,0.0
2018-10-02,1.0,-0.5371638275729858,-1.442022238045681,-0.0,-1.1942816453962863,-1.3038286684559346,0.0
2018-10-03,1.0,-0.5363651288786735,-1.4351775844141628,-0.0,-1.1949871394954303,-1.3060800087560882,0.0
2018-10-04,1.0,-0.5490174552640246,-1.426720825557141,-0.0,-1.2116039082226369,-1.3017345482489844,0.0
2018-10-05,1.0,-0.529787931788369,-1.4191626585045911,-0.0,-1.2117402710975076,-1.3049846961084388,0.0
2018-10-08,1.0,-0.5300005469561888,-1.4209921785265,-0.0,-1.212437783733523,-1.3060766832576711,0.0
2018-10-09,1.0,-0.5237651954878983,-1.422188150257365,-0.0,-1.2167889606833862,-1.3130544299638593,0.0
2018-10-10,1.0,-0.5225502030066937,-1.4269724569296607,-0.0,-1.2185888291451772,-1.3185010424668056,0.0
2018-10-11,1.0,-0.4050239612407183,-1.3845384169782504,-0.0,-1.1640423403022802,-1.3125493706882931,0.0
2018-10-12,1.0,-0.4260141324260665,-1.388013609002879,-0.0,-1.1382360638576288,-1.2820204135043183,0.0
2018-10-15,1.0,-0.3618936045582832,-1.500665637147878,-0.0,-1.1508600031950582,-1.311731189094201,0.0
2018-10-16,1.0,-0.3514816620618668,-1.5705076114632428,-0.0,-1.1682106289614822,-1.3272658323852862,0.0
2018-10-17,1.0,-0.3080274132709982,-1.4979546299739679,-0.0,-1.1607076449025129,-1.3459597301174095,0.0
2018-10-18,1.0,-0.311284046692607,-1.507542241884761,-0.0,-1.1613986461276051,-1.3499280422152335,0.0
2018-10-19,1.0,-0.2804048711054879,-1.4872159839738521,-0.0,-1.157572882070747,-1.3465654488902947,0.0
2018-10-22,1.0,-0.2825327972915785,-1.4709585272958101,-0.0,-1.174513330512061,-1.3618810833685993,0.0
2018-10-23,1.0,-0.29837337869445035,-1.4803848607271954,-0.0,-1.1729746970019135,-1.36402296406549,0.0
2018-10-24,1.0,-0.30441105186621426,-1.4880163731351324,-0.0,-1.1984704044810686,-1.3950557440620455,0.0
2018-10-25,1.0,-0.2633298755186722,-1.4135373443983403,-0.0,-1.1693464730290457,-1.3405601659751039,0.0
2018-10-26,1.0,-0.24110611326927006,-1.3864751584543038,-0.0,-1.1638724187282765,-1.3199754651400533,0.0
2018-10-29,1.0,-0.19814304662789511,-1.4129170492806855,-0.0,-1.150851953882257,-1.3396082032445669,0.0
2018-10-30,1.0,-0.1536863966770509,-1.4448598130841124,-0.0,-1.1827622014537902,-1.410747663551402,0.0
2018-10-31,1.0,-0.16085680448998507,-1.407394057978477,-0.0,-1.1790844961639462,-1.401730085989393,0.0
2018-11-01,1.0,-0.11889486754966887,-1.4548323675496688,-0.0,-1.1878621688741722,-1.412251655629139,0.0
2018-11-02,1.0,-0.12204214777610936,-1.4561176409672243,-0.0,-1.1875938487029463,-1.4121058354476261,0.0
2018-11-05,1.0,-0.11761966364812419,-1.4673221216041397,-0.0,-1.1876843467011642,-1.4020698576972834,0.0
2018-11-06,1.0,-0.1565176022835395,-1.5256898192197907,-0.0,-1.203192726503859,-1.4005708848715508,0.0
2018-11-07,1.0,-0.1557884707003335,-1.5307289185326345,-0.0,-1.2038007516806946,-1.403260812026891,0.0
2018-11-08,1.0,-0.10622480498403224,-1.5314381445997591,-0.0,-1.1856970839223075,-1.4119679597926809,0.0
2018-11-09,1.0,-0.11027095148078135,-1.535969334173493,-0.0,-1.188458307078345,-1.4163516068052933,0.0
2018-11-12,1.0,-0.3524996819743035,-1.8916804477801807,-0.0,-1.4483526268922529,-1.6679811728787683,0.0
2018-11-13,1.0,-0.29296850143175307,-1.9081769010499523,-0.0,-1.4765510658606427,-1.6856506522430799,0.0
2018-11-14,1.0,-0.35632416396979505,-2.010180690399137,-0.0,-1.5940533980582523,-1.781620819848975,0.0
2018-11-15,1.0,-0.3526641550053822,-2.010696986006459,-0.0,-1.5966765339074276,-1.767626480086114,0.0
2018-11-16,1.0,-0.34485081161177344,-1.995689364854853,-0.0,-1.6043645180844617,-1.790462719741362,0.0
2018-11-19,1.0,-0.34334995283654496,-1.9969680636032878,-0.0,-1.605713515698693,-1.791537528634955,0.0
2018-11-20,1.0,-0.2458520857123665,-1.9891180224356821,-0.0,-1.6273930274736348,-1.854906965809095,0.0
