Date,GOF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.09591304520932453,-0.3724245018215117,-0.0,-0.26486572571815337,-0.2575199570003782,0.0
2018-09-25,1.0,-0.09713432835820897,-0.3718407960199005,-0.0,-0.26443781094527363,-0.256636815920398,0.0
2018-09-26,1.0,-0.09589317005377752,-0.37636206167294406,-0.0,-0.27126427521198815,-0.2706398920421358,0.0
2018-09-27,1.0,-0.09472194135490394,-0.3828513650151668,-0.0,-0.272618806875632,-0.2720525783619818,0.0
2018-09-28,1.0,-0.09807302231237322,-0.3826977687626775,-0.0,-0.27427991886409736,-0.2733468559837728,0.0
2018-10-01,1.0,-0.0977971238533043,-0.3862457539206314,-0.0,-0.27508492158737263,-0.2749018570876472,0.0
2018-10-02,1.0,-0.10367933972093404,-0.37112096263457883,-0.0,-0.28425504096100024,-0.2838873112831723,0.0
2018-10-03,1.0,-0.10325086894295646,-0.3637292987119199,-0.0,-0.28783479860969124,-0.2897771416888162,0.0
2018-10-04,1.0,-0.10802007579637407,-0.35906995800471164,-0.0,-0.2944381849841237,-0.2870019461231179,0.0
2018-10-05,1.0,-0.1126238388498692,-0.3665423987147536,-0.0,-0.29486519330188876,-0.28567897674610204,0.0
2018-10-08,1.0,-0.11632737847943499,-0.3740548400498546,-0.0,-0.29700872455338595,-0.2898836726215206,0.0
2018-10-09,1.0,-0.12336171633692296,-0.37816178312046084,-0.0,-0.2976250104349278,-0.2878370481676267,0.0
2018-10-10,1.0,-0.12695524884985362,-0.37823086574654957,-0.0,-0.3007737348389795,-0.28519447929736513,0.0
2018-10-11,1.0,-0.1124410292330195,-0.37238623019715295,-0.0,-0.2934426567231825,-0.2818648153107682,0.0
2018-10-12,1.0,-0.1099425016881177,-0.3697489308587915,-0.0,-0.2893536043870598,-0.27715823289885616,0.0
2018-10-15,1.0,-0.1346390248984269,-0.3606417335139077,-0.0,-0.30332326283987915,-0.28494634857797685,0.0
2018-10-16,1.0,-0.13048284492647827,-0.3684430076128898,-0.0,-0.30263843987902805,-0.28417978934195437,0.0
2018-10-17,1.0,-0.11991447895894579,-0.34802540961700557,-0.0,-0.29973480254096174,-0.2880990070513743,0.0
2018-10-18,1.0,-0.11943182518963143,-0.3470923181285588,-0.0,-0.30084075071432975,-0.28826032437765947,0.0
2018-10-19,1.0,-0.1183571898650872,-0.34904573872984535,-0.0,-0.30100361961171435,-0.2881910167818361,0.0
2018-10-22,1.0,-0.11823379401118789,-0.3440070746956236,-0.0,-0.30369776242184926,-0.2906383678841724,0.0
2018-10-23,1.0,-0.11479776185658538,-0.34645799351681705,-0.0,-0.30908677967501497,-0.29436541201247085,0.0
2018-10-24,1.0,-0.11398621600429201,-0.34635384424910237,-0.0,-0.3089843588791218,-0.29412735751723,0.0
2018-10-25,1.0,-0.09567275864144281,-0.3202800569743414,-0.0,-0.3132184484522639,-0.2769474592252292,0.0
2018-10-26,1.0,-0.0874313678682263,-0.313778149120713,-0.0,-0.3156680194159306,-0.2724596164557969,0.0
2018-10-29,1.0,-0.08452102108063043,-0.31368851482790105,-0.0,-0.31470086148715704,-0.272083052125928,0.0
2018-10-30,1.0,-0.08138196539133195,-0.31368074297507537,-0.0,-0.31477218606127955,-0.2746070804889665,0.0
2018-10-31,1.0,-0.08547244638241619,-0.3002190083459937,-0.0,-0.3149379476353018,-0.27239902926030424,0.0
