Date,IWF,IWM,MTUM,SIGA,SPY,VLUE,VXX
2018-09-24,-1.1916331593806142,-2.5733595688253916,-0.07092137907434341,1.0,-1.8980237830438875,-1.8211138677389,0.0
2018-09-25,-1.1927875576824476,-2.568108015723808,-0.07528627585028201,1.0,-1.8936933857460263,-1.8156725346094684,0.0
2018-09-26,-1.1938190223439773,-2.57126958308364,-0.07182604229089976,1.0,-1.8988100333875524,-1.82518619981166,0.0
2018-09-27,-1.203288234286693,-2.5530912827538965,-0.07818119541017297,1.0,-1.9017811269052922,-1.8267682822401097,0.0
2018-09-28,-1.1999485111130181,-2.563974942075002,-0.08083755256157213,1.0,-1.9056037071998628,-1.8311164506993907,0.0
2018-10-01,-1.2050025786487881,-2.564466219700877,-0.08148530170190821,1.0,-1.910520887055183,-1.8340209730101427,0.0
2018-10-02,-1.2204600906239107,-2.640815615196933,-0.07581038689438828,1.0,-1.92784942488672,-1.8489020564656675,0.0
2018-10-03,-1.276809106513687,-2.7690848315114285,-0.10389375734031982,1.0,-1.9893395970729064,-1.8950221338874333,0.0
2018-10-04,-1.3710240679565833,-2.8493629070316184,-0.12345445965077866,1.0,-2.1275129778197264,-1.9669655497876357,0.0
2018-10-05,-1.3435092724679032,-2.8636233951497863,-0.07199239182120781,1.0,-2.193342843556824,-2.0377555872563007,0.0
2018-10-08,-1.3446203739030904,-2.867989317054559,-0.05694391453643647,1.0,-2.219858832506677,-2.048931705455933,0.0
2018-10-09,-1.342203147353362,-2.8689556509299,-0.05073915116833572,1.0,-2.222699093943729,-2.052837386742966,0.0
2018-10-10,-1.3421730420681102,-2.870456930268053,-0.04931794333683106,1.0,-2.2235047219307447,-2.053801392731088,0.0
2018-10-11,-1.096613634343614,-2.73904541818505,-0.0,1.0,-2.067016265220869,-1.9854235179095192,0.0
2018-10-12,-1.1199367366663737,-2.733327475617257,-0.0,1.0,-2.0140585185836044,-1.9192513838854233,0.0
2018-10-15,-1.0608361700270577,-2.7678275290215586,-0.0,1.0,-1.991882691804137,-1.9077419917954088,0.0
2018-10-16,-1.0574020762453111,-2.771089592602286,-0.0,1.0,-1.989618773444997,-1.9056093518276194,0.0
2018-10-17,-0.973717462724286,-2.6187347316990985,-0.0,1.0,-1.9390110352960999,-1.8924269227529273,0.0
2018-10-18,-0.9728796428872231,-2.6177882590752124,-0.0,1.0,-1.9395266571211995,-1.8922765939526658,0.0
2018-10-19,-0.9182540997184031,-2.568908398211032,-0.0,1.0,-1.9240516812986581,-1.871045221136326,0.0
2018-10-22,-0.9179419306807842,-2.5520721316899664,-0.0,1.0,-1.9277028703780297,-1.874348581354951,0.0
2018-10-23,-0.9270755732141379,-2.554507077228706,-0.0,1.0,-1.9231851667908284,-1.872609883287807,0.0
2018-10-24,-0.9216010585511082,-2.5454019186238837,-0.0,1.0,-1.925157128680119,-1.8777704267284157,0.0
2018-10-25,-0.7999526515151515,-2.3915719696969697,-0.0,1.0,-1.9298453282828283,-1.7701231060606062,0.0
2018-10-26,-0.7433470401117231,-2.3438591046628905,-0.0,1.0,-1.9348281480332066,-1.7364419272247653,0.0
2018-10-29,-0.6818005733323003,-2.3857596652979005,-0.0,1.0,-1.9176415898349735,-1.7626094367397538,0.0
2018-10-30,-0.7070565302144249,-2.399610136452242,-0.0,1.0,-1.9305263157894736,-1.7601559454191031,0.0
2018-10-31,-0.715497301464919,-2.335080956052429,-0.0,1.0,-1.9193523515805704,-1.7401696222050886,0.0
2018-11-01,-0.6653521997989639,-2.388695584937756,-0.0,1.0,-1.9270084280522695,-1.7511791541019097,0.0
2018-11-02,-0.6803284979660758,-2.30585616701205,-0.0,1.0,-1.9514928237009748,-1.7375086345843889,0.0
2018-11-05,-0.6738730450781969,-2.3197638761116224,-0.0,1.0,-1.9500153327200243,-1.7226310947562098,0.0
2018-11-06,-0.6865935077891182,-2.3316706315708693,-0.0,1.0,-1.9439797406185249,-1.7117642544701097,0.0
2018-11-07,-0.6835937499999999,-2.3289675245098036,-0.0,1.0,-1.9386488970588234,-1.7081035539215685,0.0
2018-11-08,-0.6316263027667391,-2.294519007273,-0.0,1.0,-1.8895553722726253,-1.6822373847192025,0.0
2018-11-09,-0.6315273905508251,-2.3064576896993443,-0.0,1.0,-1.9053575465300279,-1.6920352648632357,0.0
2018-11-12,-0.6259427974012397,-2.271675005600777,-0.0,1.0,-1.8959749085206483,-1.6741094765140765,0.0
2018-11-13,-0.557524075571565,-2.2525178269499375,-0.0,1.0,-1.8889215614202748,-1.6523560979195764,0.0
2018-11-14,-0.5894225662038092,-2.3181576750891573,-0.0,1.0,-1.9647165945822902,-1.7154564079216938,0.0
2018-11-15,-0.5939245542887749,-2.3486112173846507,-0.0,1.0,-2.0023720254036266,-1.706787053332313,0.0
2018-11-16,-0.5835045271247051,-2.32001826067108,-0.0,1.0,-1.9926196454386367,-1.712394430495321,0.0
2018-11-19,-0.5904660371611331,-2.3201340237587575,-0.0,1.0,-1.9913950654888823,-1.7130673164788304,0.0
2018-11-20,-0.46784248137448686,-2.313896913486392,-0.0,1.0,-2.025543560894025,-1.794967310323856,0.0
2018-11-21,-0.46869409660107336,-2.2760137149672035,-0.0,1.0,-1.993366129994037,-1.7157871198568873,0.0
2018-11-23,-0.4695303210463733,-2.253121284185493,-0.0,1.0,-1.9956153388822828,-1.7132877526753862,0.0
2018-11-26,-0.4699323570950717,-2.25302906414926,-0.0,1.0,-1.996283356872073,-1.713967144874749,0.0
2018-11-27,-0.44771842163274306,-2.2413108972003823,-0.0,1.0,-1.970460724520538,-1.6886619149092512,0.0
2018-11-28,-0.4537487111503903,-2.2287523935778464,-0.0,1.0,-1.9838709677419353,-1.698482839888054,0.0
2018-11-29,-0.41200143729787997,-2.1702479338842973,-0.0,1.0,-1.9358965145526412,-1.6683435141933165,0.0
2018-11-30,-0.4108939350388042,-2.1706668582926127,-0.0,1.0,-1.9364041391204367,-1.6680799080195459,0.0
2018-12-03,-0.4071894955872857,-2.1691181746430366,-0.0,1.0,-1.9337016574585637,-1.6651359690033725,0.0
2018-12-04,-0.38281362264693203,-2.194568185084064,-0.0,1.0,-1.935910331944245,-1.67164822531973,0.0
