Date,IWF,IWM,MTUM,NI,SPY,VLUE,VXX
2018-09-24,-0.39461898975872245,-0.7857316438118384,-0.0,1.0,-0.7457733032459644,-0.5454955736851241,0.0
2018-09-25,-0.39425514917856275,-0.7864610468549199,-0.0,1.0,-0.746274877565906,-0.5463165572574763,0.0
2018-09-26,-0.3931585187251552,-0.7885138433642513,-0.0,1.0,-0.7501569147081386,-0.5551642373945185,0.0
2018-09-27,-0.39317729952213193,-0.7892148313509365,-0.0,1.0,-0.750252886392968,-0.5554431616031253,0.0
2018-09-28,-0.3948130824810639,-0.7889280603162413,-0.0,1.0,-0.7507417361862543,-0.5560403504485322,0.0
2018-10-01,-0.3947414365026712,-0.7898320472083523,-0.0,1.0,-0.7507245364712456,-0.5564440099165474,0.0
2018-10-02,-0.3951742440114533,-0.7893707661149522,-0.0,1.0,-0.7506110761924715,-0.556707870661359,0.0
2018-10-03,-0.3950738226856063,-0.7775872927017003,-0.0,1.0,-0.7579245679098733,-0.5681197956756,0.0
2018-10-04,-0.4020047665778774,-0.7710290200476657,-0.0,1.0,-0.767278844805832,-0.5644889948128418,0.0
2018-10-05,-0.37878310765893425,-0.7604352541898464,-0.0,1.0,-0.7806234911304712,-0.5790210279556348,0.0
2018-10-08,-0.3750305229008965,-0.755154009837095,-0.0,1.0,-0.7816304461576028,-0.5765165521331148,0.0
2018-10-09,-0.37218714021560895,-0.7550849527265115,-0.0,1.0,-0.7828908348742281,-0.5786205212294596,0.0
2018-10-10,-0.37278147773632275,-0.7540360542557272,-0.0,1.0,-0.7832560410056139,-0.5767983541964504,0.0
2018-10-11,-0.28107634796079883,-0.7386589431852625,-0.0,1.0,-0.7587310140437139,-0.5893644966827197,0.0
2018-10-12,-0.28087327013904945,-0.7218020279420022,-0.0,1.0,-0.7375895894573439,-0.5625722495623742,0.0
2018-10-15,-0.2433820362455687,-0.7654640029155485,-0.0,1.0,-0.7360103369446377,-0.5683000364443561,0.0
2018-10-16,-0.2350176654889674,-0.7895806946203586,-0.0,1.0,-0.7382507832811146,-0.5702953136457569,0.0
2018-10-17,-0.21279432808637963,-0.7439183036295044,-0.0,1.0,-0.7258358267204371,-0.5697281123975544,0.0
2018-10-18,-0.2127500406570174,-0.7442836233533908,-0.0,1.0,-0.725776549032363,-0.5697511790535046,0.0
2018-10-19,-0.19130238118316048,-0.7309295337791993,-0.0,1.0,-0.7356143581790572,-0.5730671060708862,0.0
2018-10-22,-0.1914027149321267,-0.7216548157724628,-0.0,1.0,-0.7408532643826762,-0.5781835811247575,0.0
2018-10-23,-0.19070714909302552,-0.722022827949688,-0.0,1.0,-0.7418436964464707,-0.5788469622013128,0.0
2018-10-24,-0.18845917740945364,-0.7170042971147944,-0.0,1.0,-0.7437885690284644,-0.5816613356595909,0.0
2018-10-25,-0.14373286013873204,-0.6927891595418616,-0.0,1.0,-0.8141313115018551,-0.575673495725117,0.0
2018-10-26,-0.11904685750839598,-0.6811130657284504,-0.0,1.0,-0.829457860227091,-0.5688469534623382,0.0
2018-10-29,-0.10633361934725266,-0.6807131280388979,-0.0,1.0,-0.8236883083865636,-0.5671973813836718,0.0
2018-10-30,-0.08683866441304972,-0.685652326434289,-0.0,1.0,-0.8288420448384731,-0.5877794431865293,0.0
2018-10-31,-0.09024121078354091,-0.6620211256503232,-0.0,1.0,-0.822008513321772,-0.5788112880340534,0.0
2018-11-01,-0.05844052723519136,-0.6986183897093854,-0.0,1.0,-0.8306495156423693,-0.58840717802128,0.0
2018-11-02,-0.06487780297304106,-0.6643990929705215,-0.0,1.0,-0.8387818090199042,-0.5813492063492063,0.0
2018-11-05,-0.06144934835988163,-0.6736762576339482,-0.0,1.0,-0.8393565447333626,-0.5735062645595921,0.0
2018-11-06,-0.05857264714245096,-0.6735222569740625,-0.0,1.0,-0.8456070514643163,-0.5815562505923609,0.0
2018-11-07,-0.05803458722544812,-0.6729045695531432,-0.0,1.0,-0.8441050239838425,-0.5807245645039131,0.0
2018-11-08,-0.027863487611033192,-0.6713417484805984,-0.0,1.0,-0.8328190743338008,-0.5847280660744896,0.0
2018-11-09,-0.028657852064363228,-0.671760009978795,-0.0,1.0,-0.8326992640638642,-0.5852563302981165,0.0
2018-11-12,-0.028114321217769495,-0.6513824168996583,-0.0,1.0,-0.8439888164026094,-0.5830382106244175,0.0
2018-11-13,-0.0,-0.6427585783937935,-0.0,1.0,-0.8476587654472417,-0.57603262702769,0.0
2018-11-14,-0.0,-0.6429601005918975,-0.0,1.0,-0.8477014138068512,-0.5761952954886986,0.0
2018-11-15,-0.0,-0.6422946097508657,-0.0,1.0,-0.8477614684521803,-0.574326601906046,0.0
2018-11-16,-0.0,-0.6313015230915388,-0.0,1.0,-0.8480279488829642,-0.5852410284698599,0.0
2018-11-19,-0.0,-0.633750038394201,-0.0,1.0,-0.8507540621064594,-0.5870319746905427,0.0
2018-11-20,-0.0,-0.6122367898291617,-0.0,1.0,-0.8408361602640506,-0.6030683658812384,0.0
2018-11-21,-0.0,-0.602206946454414,-0.0,1.0,-0.8376447178002896,-0.5751025084418717,0.0
2018-11-23,-0.0,-0.5878221552373776,-0.0,1.0,-0.8474453654860588,-0.5790504898266767,0.0
2018-11-26,-0.0,-0.5928203273352021,-0.0,1.0,-0.844892546040932,-0.5764234258673177,0.0
2018-11-27,-0.0,-0.5906044284859365,-0.0,1.0,-0.8347097546379413,-0.5669060442848594,0.0
