Date,ACH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7442621069543264,-1.3173054854257518,-0.23422079412439756,-1.253098462244664,-1.1889488179940326,0.0
2018-09-25,1.0,-0.744550252409362,-1.3164869206057825,-0.23502753556677375,-1.2523519963285912,-1.1880449747590638,0.0
2018-09-26,1.0,-0.7456110154905334,-1.3178427997705104,-0.23729202524383247,-1.2518646012621917,-1.184681583476764,0.0
2018-09-27,1.0,-0.7456819877202043,-1.3183565731336433,-0.2375624031674987,-1.2519079589143283,-1.1847707580191655,0.0
2018-09-28,1.0,-0.7440619621342512,-1.3191623637406769,-0.23838209982788292,-1.251233505450373,-1.1843947217441193,0.0
2018-10-01,1.0,-0.746878612716763,-1.338612716763006,-0.24057803468208092,-1.259421965317919,-1.194913294797688,0.0
2018-10-02,1.0,-0.7486563023753107,-1.322891984049009,-0.2465468415881639,-1.262613419638213,-1.1986360746691327,0.0
2018-10-03,1.0,-0.747848686110309,-1.3115218019058619,-0.24527866012128213,-1.2657811146404851,-1.2049090384060064,0.0
2018-10-04,1.0,-0.7539239315736875,-1.361707130680148,-0.24654635236023748,-1.2767620951149254,-1.2396684498265829,0.0
2018-10-05,1.0,-0.7298185874478953,-1.351787706217343,-0.21892796336523215,-1.301649738742441,-1.268772383021194,0.0
2018-10-08,1.0,-0.731826764219967,-1.356679254189285,-0.20698607505310362,-1.3255251357092281,-1.279324994099599,0.0
2018-10-09,1.0,-0.8161179052994668,-1.468673565380997,-0.26842270304170585,-1.3938538726873628,-1.3244904358733143,0.0
2018-10-10,1.0,-0.8193451260820475,-1.4666290302346003,-0.2716723121314766,-1.396123447497177,-1.319031489148162,0.0
2018-10-11,1.0,-0.7277338324980376,-1.44320995108991,-0.15856530402753455,-1.3693013706901755,-1.3394722540909365,0.0
2018-10-12,1.0,-0.7553758610362384,-1.441749026654687,-0.14956573824498354,-1.3410601976639713,-1.3021263851452531,0.0
2018-10-15,1.0,-0.7278598337618848,-1.488249715960055,-0.10829396639358968,-1.3438976260240387,-1.3114871733540632,0.0
