Date,IWF,IWM,LOB,MTUM,SPY,VLUE,VXX
2018-09-24,-0.32684283727399166,-0.9730245496005433,1.0,-0.08031180256816639,-0.45502474366853185,-0.3992948863085034,0.0
2018-09-25,-0.3268645482213568,-0.9896259449553294,1.0,-0.07068756749680924,-0.46951598651700094,-0.4158457963805347,0.0
2018-09-26,-0.32767085624509035,-0.9906716417910447,1.0,-0.0724011521340665,-0.46913459020686044,-0.41322990311599894,0.0
2018-09-27,-0.3275596738810124,-0.9915523394780785,1.0,-0.07232900036017156,-0.4693690448904751,-0.4135097082610262,0.0
2018-09-28,-0.3238533618280454,-1.0008219628472794,1.0,-0.07315469340785796,-0.47285878678283744,-0.41716258425119185,0.0
2018-10-01,-0.32500164441228707,-0.9997040057883313,1.0,-0.07304479379069921,-0.4736894034072222,-0.41735183845293694,0.0
2018-10-02,-0.3251359815394758,-1.0132849843415197,1.0,-0.06955661776825449,-0.47262238338552826,-0.4159551672985,0.0
2018-10-03,-0.32923996017258544,-1.0317955526053766,1.0,-0.071622967142383,-0.4734483903086624,-0.4128443411881845,0.0
2018-10-04,-0.32889919043300075,-1.0546205784540965,1.0,-0.07084551043031341,-0.4750915381772985,-0.42967516544055895,0.0
2018-10-05,-0.31539311175820867,-1.0513773136526425,1.0,-0.057234662114670154,-0.4833818656491616,-0.43966931084111527,0.0
2018-10-08,-0.31479127642493976,-1.051143965747926,1.0,-0.05636205512443136,-0.48344260101685843,-0.43915573989831413,0.0
2018-10-09,-0.31368744982606367,-1.0517460529836766,1.0,-0.053585763981803584,-0.4848140219427349,-0.44106234947819106,0.0
2018-10-10,-0.3151065181766496,-1.0506672017658272,1.0,-0.05518210093307917,-0.4855690445135615,-0.4378448881308318,0.0
2018-10-11,-0.2710122300286235,-1.0584179026801979,1.0,-0.0,-0.4730353890189956,-0.4502016653655998,0.0
2018-10-12,-0.26626299258491726,-1.0625910695204481,1.0,-0.0,-0.4665673671599262,-0.4426059644464592,0.0
2018-10-15,-0.2439914717663781,-1.08357022871172,1.0,-0.0,-0.46107378214239564,-0.44175604083214887,0.0
2018-10-16,-0.24299095607235144,-1.0849806201550387,1.0,-0.0,-0.4606589147286822,-0.44137596899224807,0.0
2018-10-17,-0.222024301800369,-1.049176156244036,1.0,-0.0,-0.4576945098288695,-0.451968954768115,0.0
2018-10-18,-0.22262541380188441,-1.051311433664375,1.0,-0.0,-0.456869111280876,-0.4522854596384008,0.0
2018-10-19,-0.21344186488455327,-1.0508979191080987,1.0,-0.0,-0.45431222880309124,-0.44864282773255626,0.0
2018-10-22,-0.21803310115662342,-1.0733593200843505,1.0,-0.0,-0.45443798325771617,-0.44929388459326475,0.0
2018-10-23,-0.21315316471947618,-1.077577352676852,1.0,-0.0,-0.46324945435871107,-0.4556425728591604,0.0
2018-10-24,-0.21128747795414463,-1.0775372775372776,1.0,-0.0,-0.46256212922879586,-0.45528298861632194,0.0
2018-10-25,-0.20937910696541334,-1.0795589319485845,1.0,-0.0,-0.4620316056031028,-0.4544667756515049,0.0
2018-10-26,-0.17743522466382422,-1.0975401771072482,1.0,-0.0,-0.5276812069530994,-0.47710724827812395,0.0
2018-10-29,-0.1710974332111053,-1.1018203247773704,1.0,-0.0,-0.5252095337873233,-0.47583813514929285,0.0
2018-10-30,-0.17167086866834744,-1.1018630693166562,1.0,-0.0,-0.525261124390164,-0.47545921875511604,0.0
2018-10-31,-0.1808034985803335,-1.0780327012825952,1.0,-0.0,-0.530041447733429,-0.4746907737998107,0.0
2018-11-01,-0.17307128190085067,-1.0831133274665101,1.0,-0.0,-0.5289918842280238,-0.47420227502363027,0.0
2018-11-02,-0.17224218054777363,-1.1070828252199991,1.0,-0.0,-0.5318875449062325,-0.4846247651692429,0.0
