Date,IWF,IWM,LMAT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5682317877558998,-1.563199296428397,1.0,-0.0,-0.9017931304050424,-0.8526896956075635,0.0
2018-09-25,-0.571763441910436,-1.5612638570103041,1.0,-0.0,-0.9005225374810764,-0.8499291888460223,0.0
2018-09-26,-0.5822200392927309,-1.575,1.0,-0.0,-0.9077111984282907,-0.8466601178781925,0.0
2018-09-27,-0.5915125885129818,-1.563729346970889,1.0,-0.0,-0.9122246262785209,-0.849921321793863,0.0
2018-09-28,-0.6157231446289257,-1.5803160632126425,1.0,-0.0,-0.9349369873974795,-0.8700240048009603,0.0
2018-10-01,-0.6194123872398327,-1.5965831779468829,1.0,-0.0,-0.9433553394144031,-0.8802096457188934,0.0
2018-10-02,-0.62062661859544,-1.6325597928197837,1.0,-0.0,-0.9443457065962525,-0.8804143604326411,0.0
2018-10-03,-0.6200334906378444,-1.6275942558481757,1.0,-0.0,-0.9447404475567058,-0.8819201299030802,0.0
2018-10-04,-0.6258562078238369,-1.6188543305089047,1.0,-0.0,-0.9520016236237252,-0.8771627175402101,0.0
2018-10-05,-0.602844032071,-1.609248146840805,1.0,-0.0,-0.9515405173717917,-0.8789773586808532,0.0
2018-10-08,-0.8618766824766056,-1.9843609793616204,1.0,-0.07325983848224586,-1.2761825406999103,-1.2138187411870274,0.0
2018-10-09,-0.8607319105300263,-1.9851951547779274,1.0,-0.0700506312888547,-1.277510735115042,-1.2155995641863744,0.0
2018-10-10,-0.8717765042979941,-2.021620213597291,1.0,-0.06505600416775202,-1.3022271424850222,-1.251432664756447,0.0
2018-10-11,-0.7373606429867773,-2.090225563909774,1.0,-0.0,-1.3126782473424943,-1.3414570910033705,0.0
2018-10-12,-0.7727272727272727,-2.1177272727272727,1.0,-0.0,-1.292012987012987,-1.310974025974026,0.0
2018-10-15,-0.7325408618127786,-2.145745849215065,1.0,-0.0,-1.2775373086116675,-1.3045416370566574,0.0
2018-10-16,-0.7288989344526962,-2.15027445915402,1.0,-0.0,-1.2757507265095254,-1.302873748789151,0.0
2018-10-17,-0.6746874411007099,-2.0556637557328643,1.0,-0.0,-1.2492932085191932,-1.3030093610605014,0.0
2018-10-18,-0.6735142605855008,-2.0537127779871844,1.0,-0.0,-1.251601960045232,-1.3033672571931147,0.0
2018-10-19,-0.6363072726145452,-2.027714055428111,1.0,-0.0,-1.2434124868249739,-1.2925785851571705,0.0
2018-10-22,-0.6363636363636364,-2.014500836586726,1.0,-0.0,-1.2486831505236413,-1.297329119415009,0.0
2018-10-23,-0.640480763273651,-2.0144352890155504,1.0,-0.0,-1.2452140511740288,-1.295272907502633,0.0
2018-10-24,-0.6360205407411991,-2.008538018932129,1.0,-0.0,-1.2449421518282497,-1.2974695291715648,0.0
2018-10-25,-0.5523928869793531,-1.9168158491466762,1.0,-0.0,-1.2642916815849146,-1.233798782670963,0.0
2018-10-26,-0.515286400374839,-1.877591659833665,1.0,-0.0,-1.2586388661122174,-1.2053414548436219,0.0
2018-10-29,-0.476503049665989,-1.8890502468777228,1.0,-0.0,-1.2363636363636363,-1.20697066511763,0.0
2018-10-30,-0.45840594864645057,-1.890205646566748,1.0,-0.0,-1.23794585802254,-1.2226675961426745,0.0
2018-10-31,-0.46850643727267477,-1.8494890595231224,1.0,-0.0,-1.2391316898562437,-1.2161538017435483,0.0
2018-11-01,-0.41925647941831823,-1.9298111879910873,1.0,-0.0,-1.267855048668934,-1.246804268793245,0.0
2018-11-02,-0.4281644281644281,-1.8707482993197277,1.0,-0.0,-1.280830280830281,-1.234548520262806,0.0
2018-11-05,-0.4219095243632981,-1.8898127689266195,1.0,-0.0,-1.2823584137690431,-1.2205489010350041,0.0
2018-11-06,-0.4213375240090798,-1.8888306850590768,1.0,-0.0,-1.2855479890576802,-1.2246667830743265,0.0
2018-11-07,-0.4199023482910951,-1.887235526621716,1.0,-0.0,-1.2826668216693793,-1.2227388979307137,0.0
2018-11-08,-0.3551613841232917,-1.9184646699621986,1.0,-0.0,-1.2832800232625763,-1.2587380052340797,0.0
2018-11-09,-0.3543884138893736,-1.9183388588378991,1.0,-0.0,-1.2849415459780142,-1.258593613679986,0.0
2018-11-12,-0.350063459097727,-1.8876197069343488,1.0,-0.0,-1.284527518172378,-1.2467982000692281,0.0
2018-11-13,-0.2942049671709963,-1.8864972880388238,1.0,-0.0,-1.2886097630602342,-1.2400799314872966,0.0
2018-11-14,-0.29402695294655096,-1.886991777067154,1.0,-0.0,-1.2888876199177706,-1.2404065783462768,0.0
2018-11-15,-0.29095257074531683,-1.88572567329044,1.0,-0.0,-1.2885042418721175,-1.2286055912998917,0.0
2018-11-16,-0.2893841442667574,-1.873142792332993,1.0,-0.0,-1.2817851877055688,-1.2265509810593174,0.0
2018-11-19,-0.28724733136497843,-1.876277538042244,1.0,-0.0,-1.2853168294344763,-1.2290483761071997,0.0
2018-11-20,-0.20504002706054797,-1.8649227646859847,1.0,-0.0,-1.295805615063705,-1.271845754876536,0.0
2018-11-21,-0.21165524541757202,-1.8535851579475178,1.0,-0.0,-1.2878154771853585,-1.2183408546437127,0.0
2018-11-23,-0.2139201068209636,-1.831923890063425,1.0,-0.0,-1.2968732613775453,-1.2208189607210413,0.0
2018-11-26,-0.2126391982182628,-1.84326280623608,1.0,-0.0,-1.2943207126948775,-1.2177060133630289,0.0
2018-11-27,-0.19501158812493105,-1.8415737777287278,1.0,-0.0,-1.2788875400066217,-1.2026818231983225,0.0
2018-11-28,-0.19333924415382908,-1.8651778787542945,1.0,-0.0,-1.2783442314086224,-1.2045328604676937,0.0
2018-11-29,-0.15652645861601086,-1.8276255088195386,1.0,-0.0,-1.2521031207598372,-1.1912075983717776,0.0
2018-11-30,-0.15561584373304396,-1.8279978296256103,1.0,-0.0,-1.252306022788931,-1.1900162778079217,0.0
2018-12-03,-0.1511123168746609,-1.8307650569723277,1.0,-0.0,-1.2536082474226804,-1.1904503526858383,0.0
2018-12-04,-0.1296286167477985,-1.866105124979489,1.0,-0.0,-1.266969315757808,-1.2068588306076684,0.0
2018-12-06,-0.10279583531525818,-1.7555626023994506,1.0,-0.0,-1.2716029808149676,-1.1551715025632894,0.0
2018-12-07,-0.0974809483488569,-1.7591024555461472,1.0,-0.0,-1.2748729889923793,-1.1607218458933108,0.0
2018-12-10,-0.04678545378764197,-1.7650828383869959,1.0,-0.0,-1.2695113056163385,-1.1285297488798582,0.0
2018-12-11,-0.062369519832985394,-1.762212943632568,1.0,-0.0,-1.2767745302713986,-1.1178496868475993,0.0
2018-12-12,-0.0641018948687164,-1.7618103043273998,1.0,-0.0,-1.2773398757634287,-1.1167719371509108,0.0
2018-12-13,-0.06364015427916189,-1.7540394037318878,1.0,-0.0,-1.281663713124153,-1.1127384551235275,0.0
2018-12-14,-0.07197956843531741,-1.7324090482643595,1.0,-0.0,-1.2942249556968624,-1.113572396539143,0.0
2018-12-17,-0.06236369301069685,-1.729982344999481,1.0,-0.0,-1.285855228995742,-1.1143940180704122,0.0
2018-12-18,-0.040385898291168475,-1.7086775799250784,1.0,-0.0,-1.2727459331862268,-1.1098681172063427,0.0
2018-12-19,-0.03905768835967973,-1.7092486142475876,1.0,-0.0,-1.2736604393348387,-1.1104495996715253,0.0
2018-12-20,-0.036729918095335,-1.6831663020806837,1.0,-0.0,-1.2712010988451952,-1.0961998270336268,0.0
2018-12-21,-0.027746947835738067,-1.678892140046413,1.0,-0.0,-1.265059025325396,-1.0732014932902836,0.0
2018-12-24,-0.0,-1.6440449438202247,1.0,-0.0,-1.2529338327091135,-1.0967790262172283,0.0
2018-12-26,-0.0,-1.6546404455616346,1.0,-0.0,-1.207452314061807,-1.0666863817832324,0.0
2018-12-27,-0.0,-1.5608016779305525,1.0,-0.0,-1.0589606152412026,-1.0411559077138197,0.0
2018-12-28,-0.0,-1.5608460678345135,1.0,-0.0,-1.0580506895266493,-1.0400670890793888,0.0
2018-12-31,-0.0,-1.5635312762188869,1.0,-0.0,-1.0578446909667194,-1.039759485410646,0.0
2019-01-02,-0.0,-1.5613830975428145,1.0,-0.0,-1.0528201787043932,-1.0395104244229338,0.0
2019-01-03,-0.0,-1.5617637472645156,1.0,-0.0,-1.0708199469199609,-1.0236066489733204,0.0
2019-01-04,-0.0,-1.5575821943110455,1.0,-0.0,-1.0442371629109717,-1.0158385666789804,0.0
2019-01-07,-0.0,-1.5038665587627011,1.0,-0.0,-1.0187483140005396,-0.9733836885172197,0.0
2019-01-08,-0.0,-1.47882177815869,1.0,-0.0,-1.0534981280165998,-0.9785285759393748,0.0
2019-01-09,-0.0,-1.4625045012603528,1.0,-0.0,-1.0522146200936262,-0.9865862441483616,0.0
2019-01-10,-0.0,-1.4602617730400755,1.0,-0.0,-1.0524895425718528,-0.9851122205730221,0.0
2019-01-11,-0.0,-1.46658538788043,1.0,-0.0,-1.0583852614467624,-0.990517474939041,0.0
2019-01-14,-0.0,-1.4855306931595498,1.0,-0.0,-1.0915098208996037,-0.9801759103130839,0.0
2019-01-15,-0.0,-1.4732310510648043,1.0,-0.0,-1.0970002289901535,-1.0095717884130984,0.0
2019-01-16,-0.0,-1.4693700283441529,1.0,-0.0,-1.088964066928774,-1.0133034653012711,0.0
2019-01-17,-0.0,-1.4585885364292897,1.0,-0.0,-1.0939299753176706,-1.0182374988572995,0.0
