Date,ISEE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6460533787620669,-1.6193072118114709,-0.0,-1.2040885860306645,-1.2091993185689949,0.0
2018-09-25,1.0,-0.6745429458433942,-1.6379211222260548,-0.0,-1.220018397148442,-1.216683913993331,0.0
2018-09-26,1.0,-0.6736654394845836,-1.6380004601932812,-0.0,-1.2210078232857802,-1.2197998159226875,0.0
2018-09-27,1.0,-0.6803288112209703,-1.6253161646355483,-0.0,-1.2224649344676937,-1.2203954932168313,0.0
2018-09-28,1.0,-0.677690228331512,-1.6293782711221028,-0.0,-1.2230977166848795,-1.2213147754069134,0.0
2018-10-01,1.0,-0.678341384863124,-1.6284219001610305,-0.0,-1.2231999079825167,-1.2211295146077754,0.0
2018-10-02,1.0,-0.6840227834992233,-1.610091479201427,-0.0,-1.2306541625913354,-1.2286980035671136,0.0
2018-10-03,1.0,-0.6931811564665464,-1.5987887963663894,-0.0,-1.2626215570954404,-1.2685028824317244,0.0
2018-10-04,1.0,-0.6942530078261885,-1.6078729120429855,-0.0,-1.2632285947903281,-1.2750846863684147,0.0
2018-10-05,1.0,-0.6605110336817653,-1.5904761904761906,-0.0,-1.2694541231126597,-1.2867595818815332,0.0
2018-10-08,1.0,-0.6606831648658069,-1.5914372022772165,-0.0,-1.2698385035436275,-1.2873242709422563,0.0
2018-10-09,1.0,-0.6704744142673971,-1.5987877374985429,-0.0,-1.2724676535726773,-1.2864552978202588,0.0
2018-10-10,1.0,-0.6704340227206526,-1.5979609670841828,-0.0,-1.2724730556364696,-1.2849402854646084,0.0
2018-10-11,1.0,-0.514052838673412,-1.577796514896009,-0.0,-1.2223721191680719,-1.3069139966273187,0.0
2018-10-12,1.0,-0.5368644304292013,-1.5816263883462636,-0.0,-1.1923313054640843,-1.270469386616063,0.0
2018-10-15,1.0,-0.492934238344275,-1.6186157783465005,-0.0,-1.1820963614109268,-1.270001112718371,0.0
