Date,IWF,IWM,MTUM,PLXS,SPY,VLUE,VXX
2018-09-24,-0.24256598730370862,-0.820885095525924,-0.0,1.0,-0.4341341919023175,-0.5398049995443914,0.0
2018-09-25,-0.24547552532491193,-0.8197801530426333,-0.0,1.0,-0.43343860075306695,-0.5378962711040932,0.0
2018-09-26,-0.24346977963363714,-0.8205675272029017,-0.0,1.0,-0.43673991892468533,-0.5471669359017344,0.0
2018-09-27,-0.2433231707317073,-0.821341463414634,-0.0,1.0,-0.43685975609756095,-0.5472865853658536,0.0
2018-09-28,-0.24012353228962818,-0.8286142367906066,-0.0,1.0,-0.43933463796477495,-0.5496881115459883,0.0
2018-10-01,-0.24081095957433798,-0.8278086967157973,-0.0,1.0,-0.43969787780563885,-0.5495994128799462,0.0
2018-10-02,-0.23990076873602645,-0.8374628648433432,-0.0,1.0,-0.4379038926832256,-0.5474258062540198,0.0
2018-10-03,-0.23933141492683524,-0.8310475723994367,-0.0,1.0,-0.4398763240066124,-0.551062266576869,0.0
2018-10-04,-0.23996816748798627,-0.830002142572924,-0.0,1.0,-0.44032934406660335,-0.5505188087294542,0.0
2018-10-05,-0.23321727444872029,-0.8303096939710464,-0.0,1.0,-0.4391912528251176,-0.551462952782359,0.0
2018-10-08,-0.23560963648623795,-0.835376693434684,-0.0,1.0,-0.43998651382333115,-0.5540673082817384,0.0
2018-10-09,-0.24482259900913933,-0.8406314429024218,-0.0,1.0,-0.44053297227436383,-0.5512201126257809,0.0
2018-10-10,-0.2469075020001231,-0.8398055264939381,-0.0,1.0,-0.4418733460520648,-0.5485260631423472,0.0
2018-10-11,-0.205400686374857,-0.8344572219880788,-0.0,1.0,-0.42145824552953226,-0.5490998856041905,0.0
2018-10-12,-0.21629841667412109,-0.8346005903927005,-0.0,1.0,-0.4019143036049736,-0.5289680054864776,0.0
2018-10-15,-0.21768707482993196,-0.8340792457333811,-0.0,1.0,-0.40240482157775387,-0.5294486215538847,0.0
2018-10-16,-0.21719673011516202,-0.8348051793066412,-0.0,1.0,-0.40223163673250195,-0.5292380213616564,0.0
2018-10-17,-0.20936492442393587,-0.8205105451533707,-0.0,1.0,-0.3981719762179431,-0.5299494187594286,0.0
