Date,IEP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4648035759712178,-0.9233564705454808,-0.047715957408147686,-0.6546135116473453,-0.5436275756804884,0.0
2018-09-25,1.0,-0.46612909084304965,-0.9215793105953289,-0.050197958664777886,-0.6530456576223167,-0.5413170607678617,0.0
2018-09-26,1.0,-0.4761747430249633,-0.9390602055800296,-0.05943465491923642,-0.6606093979441998,-0.5357929515418502,0.0
2018-09-27,1.0,-0.47576149160051695,-0.9535167066642053,-0.057079564334502494,-0.6652759830164298,-0.5404836625438435,0.0
2018-09-28,1.0,-0.4793816339361663,-0.9529568401198268,-0.05713968711860645,-0.6669255519804725,-0.5419579126446984,0.0
2018-10-01,1.0,-0.47911965970038844,-0.9533197706676532,-0.05751803218050675,-0.6667653042352507,-0.5421490660255225,0.0
2018-10-02,1.0,-0.47993787212011396,-0.9444177360304723,-0.06090751081690766,-0.6684664028697164,-0.5443215857401723,0.0
2018-10-03,1.0,-0.4812509263376315,-0.9516081221283533,-0.06210167481843783,-0.6680005928560842,-0.5423521565140063,0.0
2018-10-04,1.0,-0.48237298178047694,-0.948303954969634,-0.0627684787438898,-0.6691971559768923,-0.5405125166641979,0.0
2018-10-05,1.0,-0.47229084473286387,-0.9434755355628479,-0.05044061797131374,-0.6749382397404226,-0.5459975664614136,0.0
2018-10-08,1.0,-0.4715980254917852,-0.942532969866647,-0.04925219185146983,-0.6751270905474103,-0.5453105429897591,0.0
2018-10-09,1.0,-0.47128596161638486,-0.9428297786127381,-0.04821895605407596,-0.6755810955170001,-0.5457324934615243,0.0
2018-10-10,1.0,-0.4715890259620696,-0.9424047136807219,-0.04831522739826919,-0.6757134965936291,-0.5445406002577794,0.0
2018-10-11,1.0,-0.4268964038035319,-0.9368342031886753,-0.0,-0.6605776792736112,-0.5504396940015729,0.0
2018-10-12,1.0,-0.4329042496914124,-0.9293951684006346,-0.0,-0.6397813436783635,-0.5246341033327455,0.0
2018-10-15,1.0,-0.45676812317342647,-0.9215909900919523,-0.0,-0.653574738042626,-0.5318982108489558,0.0
2018-10-16,1.0,-0.4501302501516612,-0.9346964993041431,-0.0,-0.6526781572279914,-0.5309923991007387,0.0
2018-10-17,1.0,-0.4295085417616726,-0.8956747465534781,-0.0,-0.6460518469147929,-0.5366401234784439,0.0
2018-10-18,1.0,-0.42963898536996104,-0.8963968705048592,-0.0,-0.6457215029996842,-0.5366452654106586,0.0
2018-10-19,1.0,-0.41132154441770424,-0.8847964842523804,-0.0,-0.6530291932614837,-0.5387325171776358,0.0
2018-10-22,1.0,-0.412741123846799,-0.8918087783058427,-0.0,-0.6518730779983226,-0.5381255241822755,0.0
2018-10-23,1.0,-0.42671731560620446,-0.9003200731595792,-0.0,-0.6499947240687981,-0.5402201821954908,0.0
2018-10-24,1.0,-0.42533380182712577,-0.8985242445537596,-0.0,-0.6497891777933942,-0.5400562192550948,0.0
2018-10-25,1.0,-0.39808406913714933,-0.8567142808441006,-0.0,-0.646370981488426,-0.5079944090273754,0.0
2018-10-26,1.0,-0.3900994789199431,-0.8468566014752655,-0.0,-0.6451580158354199,-0.5015564728970697,0.0
2018-10-29,1.0,-0.36533791987049774,-0.8619317415351408,-0.0,-0.6350330500472143,-0.5101510859301227,0.0
2018-10-30,1.0,-0.3803203196424339,-0.8655741035451868,-0.0,-0.6381336132461992,-0.5019808349981377,0.0
2018-10-31,1.0,-0.3890555986378502,-0.840925182912438,-0.0,-0.641592771165582,-0.5001180080245456,0.0
2018-11-01,1.0,-0.3801218814181341,-0.8468401737315243,-0.0,-0.6403824787044208,-0.49954546984950005,0.0
2018-11-02,1.0,-0.37957487073772433,-0.8558345442871143,-0.0,-0.6408029468419452,-0.5031935385759183,0.0
2018-11-05,1.0,-0.3711966856832382,-0.8884813909263786,-0.0,-0.6490763379516435,-0.48709589785384405,0.0
2018-11-06,1.0,-0.3756748497504329,-0.8919561305218837,-0.0,-0.6457505687412991,-0.48212284812060713,0.0
