Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WBK
2018-09-24,-0.24211223813650032,-0.4245629236964167,-0.0075946786278607474,-0.4293541974616443,-0.444925837198634,0.0,1.0
2018-09-25,-0.24294922422358664,-0.4236070418588061,-0.00912078673154824,-0.4284476828615831,-0.4435555782018292,0.0,1.0
2018-09-26,-0.24247760508383737,-0.42385728504708675,-0.006023020187326137,-0.43059490084985835,-0.4491743868514406,0.0,1.0
2018-09-27,-0.24299089262481186,-0.4221026046582821,-0.006556289701267889,-0.4304191433454935,-0.44896553483507234,0.0,1.0
2018-09-28,-0.2406617816018587,-0.4251282967804529,-0.007148875328720606,-0.4307708019506217,-0.44946000459570556,0.0,1.0
2018-10-01,-0.2401635155850792,-0.426673479816045,-0.007511497189575881,-0.43068472151251913,-0.44989780275932545,0.0,1.0
2018-10-02,-0.23997440818937943,-0.4365706973768394,-0.004939219449776072,-0.429404990403071,-0.4482661548304543,0.0,1.0
2018-10-03,-0.24046515201967164,-0.4397940626520837,-0.005507031069900874,-0.42880561461028155,-0.44683793960195695,0.0,1.0
2018-10-04,-0.24625372061993225,-0.433670327414554,-0.006029970235040542,-0.43692907728625674,-0.44306168531253204,0.0,1.0
2018-10-05,-0.23589560060328743,-0.42700478028579464,-0.0,-0.4427004780285795,-0.4507017050538102,0.0,1.0
2018-10-08,-0.23395947118574856,-0.4244806288601909,-0.0,-0.44387729059261904,-0.4499004644990046,0.0,1.0
2018-10-09,-0.2326596233348645,-0.42428418312662686,-0.0,-0.4442658092175777,-0.4507221967029041,0.0,1.0
2018-10-10,-0.23327125691981937,-0.4236332559504069,-0.0,-0.4446286895073854,-0.4495522844970535,0.0,1.0
2018-10-11,-0.19832792612927377,-0.4126528574993761,-0.0,-0.43179435987022713,-0.4528574993760919,0.0,1.0
2018-10-12,-0.19861980261693338,-0.406960350243637,-0.0,-0.42365628632912017,-0.44423557347448617,0.0,1.0
2018-10-15,-0.19967837704106878,-0.4052201880257298,-0.0,-0.42451756556160314,-0.4446066303809995,0.0,1.0
2018-10-16,-0.19857015634276667,-0.4069364733821492,-0.0,-0.4241044923807639,-0.4441915693647338,0.0,1.0
2018-10-17,-0.18933868520240835,-0.3892505751627588,-0.0,-0.4214596896568603,-0.44742767634245434,0.0,1.0
2018-10-18,-0.18876651982378856,-0.38810572687224665,-0.0,-0.42283406754772396,-0.44767498776309345,0.0,1.0
2018-10-19,-0.17960751890669455,-0.3798604187437687,-0.0,-0.42419084210782293,-0.448046105585682,0.0,1.0
2018-10-22,-0.17965621642738552,-0.3683709346615881,-0.0,-0.43541849790018555,-0.4582234593221995,0.0,1.0
2018-10-23,-0.17736651672208098,-0.3692303931155877,-0.0,-0.4381723058869548,-0.45997946411108936,0.0,1.0
2018-10-24,-0.1763038964211555,-0.36797361670941736,-0.0,-0.43825577134481497,-0.46036399169414927,0.0,1.0
2018-10-25,-0.15577230343643433,-0.3398516681372666,-0.0,-0.44540099682827367,-0.4437555147497198,0.0,1.0
2018-10-26,-0.1441686581643518,-0.33263137969382206,-0.0,-0.45065423656626363,-0.43868158909684596,0.0,1.0
2018-10-29,-0.13218038735215115,-0.33631779840723813,-0.0,-0.44545497384666133,-0.44222703925356954,0.0,1.0
2018-10-30,-0.1223133484162896,-0.33705693815987936,-0.0,-0.44643193815987936,-0.4509096907993967,0.0,1.0
2018-10-31,-0.12153024069607983,-0.34201068709509624,-0.0,-0.44800680947652155,-0.4528301886792453,0.0,1.0
2018-11-01,-0.11002976331081402,-0.35115982425473613,-0.0,-0.44779609769924883,-0.4532054613313176,0.0,1.0
