Date,IWF,IWM,MTUM,NWL,SPY,VLUE,VXX
2018-09-24,-0.6094981640146879,-1.1906487148102816,-0.0,1.0,-1.037454100367197,-1.058359853121175,0.0
2018-09-25,-0.6116495154361075,-1.227145568987911,-0.0,1.0,-1.0661404735737836,-1.090518533320012,0.0
2018-09-26,-0.6142735768903994,-1.2298465690439302,-0.0,1.0,-1.0665700434804337,-1.087110800139937,0.0
2018-09-27,-0.6187265917602995,-1.2205742821473158,-0.0,1.0,-1.0672659176029962,-1.0871910112359549,0.0
2018-09-28,-0.6166217161122765,-1.2231045849565478,-0.0,1.0,-1.0673259414643892,-1.087453800819099,0.0
2018-10-01,-0.6182862852860355,-1.2219335498376218,-0.0,1.0,-1.0683987009742693,-1.0876342742942793,0.0
2018-10-02,-0.6227574833841386,-1.206586377492379,-0.0,1.0,-1.0743091299785117,-1.0935485482984357,0.0
2018-10-03,-0.6218160023973629,-1.1964339226850464,-0.0,1.0,-1.0771651183697932,-1.0991409449605434,0.0
2018-10-04,-0.6257362483777579,-1.1893780573025856,-0.0,1.0,-1.0816112608565438,-1.0947888589398023,0.0
2018-10-05,-0.6069582504970179,-1.179572564612326,-0.0,1.0,-1.08389662027833,-1.0997514910536779,0.0
2018-10-08,-0.6172765145811374,-1.1982633137579681,-0.0,1.0,-1.092255182452442,-1.1115293881443558,0.0
2018-10-09,-0.6088052851883605,-1.2041958747289323,-0.0,1.0,-1.103283070250643,-1.1268848656008876,0.0
2018-10-10,-0.6074771083118329,-1.2110082460666767,-0.0,1.0,-1.1057823645469722,-1.1346688925987756,0.0
2018-10-11,-0.5006366307541626,-1.185945151811949,-0.0,1.0,-1.06743388834476,-1.1431929480901077,0.0
2018-10-12,-0.5042268489444954,-1.1729868122312932,-0.0,1.0,-1.0399980677261969,-1.1134727790927974,0.0
2018-10-15,-0.4615830395518424,-1.2166417153619549,-0.0,1.0,-1.033708407784807,-1.1173516202250446,0.0
2018-10-16,-0.45871958285052145,-1.2207415990730013,-0.0,1.0,-1.0325415218230978,-1.116164542294322,0.0
2018-10-17,-0.4292144413910737,-1.168056476831233,-0.0,1.0,-1.0206102530086232,-1.1201080261537004,0.0
