Date,IWF,IWM,MTUM,SPY,TXN,VLUE,VXX
2018-09-24,-0.39171668667466986,-0.4117046818727491,-0.2314825930372149,-0.4605342136854742,1.0,-0.5057623049219688,0.0
2018-09-25,-0.39234277484397495,-0.41097575612097936,-0.23259721555448873,-0.45985357657225157,1.0,-0.5047107537205953,0.0
2018-09-26,-0.39196070750595113,-0.41281224575888154,-0.2263536927110013,-0.46518214963690596,1.0,-0.5169192756199718,0.0
2018-09-27,-0.39134499396863687,-0.4156815440289505,-0.22572376357056695,-0.4655910735826297,1.0,-0.5173401688781665,0.0
2018-09-28,-0.39315027157513577,-0.41502715751357877,-0.22561858780929395,-0.46611345805672905,1.0,-0.5176222088111044,0.0
2018-10-01,-0.39337336672802437,-0.41476809801140646,-0.22565557198467062,-0.46621805123872173,1.0,-0.5175473007634509,0.0
2018-10-02,-0.3939174511223751,-0.4088221095824282,-0.22785421192372676,-0.467535602220613,1.0,-0.5189777938691769,0.0
2018-10-03,-0.3936632468316234,-0.3998491249245625,-0.2262824381412191,-0.471816535908268,1.0,-0.525859987929994,0.0
2018-10-04,-0.39642221484811,-0.3952457087694953,-0.22673383812483033,-0.4754592898729977,1.0,-0.522821201242873,0.0
2018-10-05,-0.3953292150067802,-0.3935513032996836,-0.2239867409974386,-0.4762091306313094,1.0,-0.5243332831098387,0.0
2018-10-08,-0.3968464930828248,-0.3967256690630097,-0.22515556092551195,-0.47601643206669486,1.0,-0.5258865462453935,0.0
2018-10-09,-0.39925632576559145,-0.39717041023005534,-0.22987393814806978,-0.4740772091054748,1.0,-0.5226881102814475,0.0
2018-10-10,-0.4020026015669904,-0.3957709411017334,-0.23262849018362222,-0.4760565084550928,1.0,-0.5185891036694196,0.0
2018-10-11,-0.37858713088943025,-0.3893708038738043,-0.20076050145564733,-0.4704711544174441,1.0,-0.531519220486008,0.0
2018-10-12,-0.3942117827355515,-0.3846335209690253,-0.20090772449972,-0.4540390793080074,1.0,-0.5133653591111373,0.0
2018-10-15,-0.387381554940851,-0.39497380966393975,-0.1910128891766229,-0.45394620681537284,1.0,-0.5153905008533929,0.0
