Date,IWF,IWM,MTUM,PSNL,SPY,VLUE,VXX
2020-02-18,-1.1886890800104246,-1.855616366953349,-4.188298149596038,1.0,-3.567109721136304,-1.231300495178525,0.0
2020-02-19,-1.2001824579695035,-1.863938485598853,-4.192623484947217,1.0,-3.5653590512185582,-1.2104783005343411,0.0
2020-02-20,-1.1895339755272065,-1.861364228065608,-4.197214267117938,1.0,-3.5594897162197348,-1.2098411871908357,0.0
2020-02-21,-1.1664715827805958,-1.866952789699571,-4.205098192222656,1.0,-3.565483157757836,-1.2015866822733776,0.0
2020-02-24,-1.0136292834890968,-1.8842159916926273,-4.273753894080997,1.0,-3.594366562824507,-1.2143042575285565,0.0
2020-02-25,-0.894324617423786,-1.903241354380046,-4.080371129051693,1.0,-3.0971201349560187,-1.0745872996746597,0.0
2020-02-26,-0.8526947463768116,-1.7267889492753625,-3.9093070652173916,1.0,-2.961050724637681,-0.8726222826086957,0.0
2020-02-27,-0.958594730238394,-1.6818752138701951,-3.9043002167217975,1.0,-3.029200410630774,-0.8324398311851261,0.0
2020-02-28,-0.8120892145242969,-1.9662751858635923,-3.6027367740545198,1.0,-2.62568688718888,-0.7679129404159034,0.0
2020-03-02,-0.9281702311514367,-1.8466191402030676,-3.565348887448693,1.0,-2.6803845322963924,-0.7809462086843811,0.0
2020-03-03,-0.8262384322264562,-2.332607512248231,-3.3063690800217747,1.0,-2.639194338595536,-0.7829069134458356,0.0
2020-03-04,-0.6274786000650125,-2.552497562032723,-3.5337523025246504,1.0,-2.531151804095785,-0.5906382056560842,0.0
2020-03-05,-0.5390963067324142,-2.7278856797826303,-3.0888598168461305,1.0,-2.252893227332193,-0.4546643856294656,0.0
2020-03-06,-0.4873685245257053,-2.695566696156493,-3.127985844883515,1.0,-2.127199449523248,-0.39172318883318585,0.0
2020-03-09,-0.48588788710309677,-2.6594472755782044,-3.167581340650725,1.0,-2.123578988631909,-0.3635829086632693,0.0
2020-03-10,-1.0965775902484762,-1.4738240350054697,-2.3539615564932017,1.0,-1.5865760275042975,-0.3027816846382247,0.0
2020-03-11,-0.8730519226251077,-1.8954499177695983,-2.5118646722531133,1.0,-1.4378573106742893,-0.1132430104158509,0.0
2020-03-12,-0.8831994156318481,-1.6266617969320674,-2.329437545653762,1.0,-1.3923301680058437,-0.07297297297297298,0.0
2020-03-13,-0.9484867201976529,-1.1589252625077209,-1.8901173563928353,1.0,-1.179184681902409,-0.0,0.0
2020-03-16,-0.6875,-1.3188694267515924,-1.7298680618744313,1.0,-0.9508075523202912,-0.0,0.0
2020-03-17,-0.7439988145806579,-0.9387039415193125,-1.1825545786822087,1.0,-1.0410451447199447,-0.032895386743060355,0.0
2020-03-18,-0.7128684399712437,-0.9626647495806375,-1.0594775940570333,1.0,-1.015528396836808,-0.04217589264318237,0.0
2020-03-19,-0.7595354984894259,-0.7804475075528701,-1.04220166163142,1.0,-1.0350264350453173,-0.10333270392749244,0.0
2020-03-20,-0.7666349809885932,-0.8580323193916349,-1.0236216730038024,1.0,-1.0378802281368822,-0.06668250950570342,0.0
2020-03-23,-0.8805717798954811,-1.155856132800492,-0.9005533353827238,1.0,-1.1509375960651707,-0.03555692181575981,0.0
2020-03-24,-0.9015213395956708,-1.1742393302021645,-0.8465897488258117,1.0,-1.1293649172963038,-0.05340004084133143,0.0
