Date,IWF,IWM,MTUM,SPY,VLUE,VSTO,VXX
2018-09-24,-1.0498483233582028,-2.53250799376896,-0.0,-1.8361072394851194,-1.7802738378289744,1.0,0.0
2018-09-25,-1.0515768725361365,-2.5364651773981604,-0.0,-1.8400131406044677,-1.7848226018396849,1.0,0.0
2018-09-26,-1.0520653691385398,-2.5370780980537075,-0.0,-1.8397799129506447,-1.7832799540116613,1.0,0.0
2018-09-27,-1.0662333388184961,-2.5239427349020898,-0.0,-1.8479512917558005,-1.7895343096922824,1.0,0.0
2018-09-28,-1.0719584569732938,-2.5257995384108143,-0.0,-1.8518793273986154,-1.793026706231454,1.0,0.0
2018-10-01,-1.0729415643286904,-2.5242726448528807,-0.0,-1.8520563751751422,-1.7927965053985,1.0,0.0
2018-10-02,-1.0744742268041239,-2.528742268041237,-0.0,-1.8517113402061856,-1.792577319587629,1.0,0.0
2018-10-03,-1.0724458714085783,-2.517658681155841,-0.0,-1.8497571416810736,-1.792623693092945,1.0,0.0
2018-10-04,-1.115291160452451,-2.539170506912442,-0.0,-1.9095936321742775,-1.814746543778802,1.0,0.0
2018-10-05,-1.0638847243045144,-2.5144094619356987,-0.0,-1.9194569381975677,-1.8314176245210727,1.0,0.0
2018-10-08,-1.0540967259431608,-2.503240817683231,-0.0,-1.9250457038391224,-1.827405683895629,1.0,0.0
2018-10-09,-1.057893861254367,-2.506571285975711,-0.0,-1.9263849609050074,-1.827316586258526,1.0,0.0
2018-10-10,-1.0578313253012048,-2.5032820938928126,-0.0,-1.925301204819277,-1.8226838388034898,1.0,0.0
2018-10-11,-0.8122291387597511,-2.4396816641714603,-0.0,-1.8180600425498386,-1.8096288708533608,1.0,0.0
2018-10-12,-0.8090008447891868,-2.3989708931725673,-0.0,-1.7441056754473543,-1.7277474848321943,1.0,0.0
2018-10-15,-0.7450650344299923,-2.4523335883703137,-0.0,-1.7285386381025247,-1.7252486610558528,1.0,0.0
2018-10-16,-0.7453905592533089,-2.4519164562772553,-0.0,-1.7282533853568969,-1.7250401652513199,1.0,0.0
2018-10-17,-0.6647373433951206,-2.2968715656824674,-0.0,-1.667008572056561,-1.697926588028427,1.0,0.0
2018-10-18,-0.666177764740393,-2.3002346729246113,-0.0,-1.6676444705192137,-1.6994719859196243,1.0,0.0
2018-10-19,-0.6157540137614679,-2.2442660550458715,-0.0,-1.6391198394495412,-1.6682912844036697,1.0,0.0
2018-10-22,-0.6160893215001432,-2.2339679358717435,-0.0,-1.6389922702547952,-1.6681219582021183,1.0,0.0
2018-10-23,-0.6158309455587393,-2.2353868194842406,-0.0,-1.6417621776504299,-1.6703438395415473,1.0,0.0
2018-10-24,-0.6104547081990691,-2.2284282133906195,-0.0,-1.6449695667740782,-1.6768349445041173,1.0,0.0
2018-10-25,-0.49105777541386875,-2.039757994814175,-0.0,-1.5824745695100062,-1.535203776344658,1.0,0.0
2018-10-26,-0.442874893728337,-2.000261591786018,-0.0,-1.5891047021123539,-1.507618860767772,1.0,0.0
2018-10-29,-0.39596795037477384,-2.0034246575342465,-0.0,-1.5583484104419745,-1.5038769707934867,1.0,0.0
2018-10-30,-0.39744086855370303,-2.0032312265736074,-0.0,-1.5583559519193486,-1.5034251001680239,1.0,0.0
2018-10-31,-0.43113772455089816,-1.994735803119037,-0.0,-1.612818319405146,-1.5415542541291045,1.0,0.0
2018-11-01,-0.382965971898515,-2.069654391689419,-0.0,-1.6378770726509957,-1.5686222281414397,1.0,0.0
2018-11-02,-0.41039718042564727,-2.1100718449234104,-0.0,-1.6588043920292803,-1.5985495458858614,1.0,0.0
2018-11-05,-0.4027294438758103,-2.161173660866598,-0.0,-1.6756055953599454,-1.5841009894234048,1.0,0.0
2018-11-06,-0.436473279268039,-2.212518195050946,-0.0,-1.6932141124280862,-1.5892423927358426,1.0,0.0
2018-11-07,-0.4345509893455099,-2.2093538120935383,-0.0,-1.6886674968866748,-1.5858585858585859,1.0,0.0
2018-11-08,-0.3610467493525964,-2.2057380400708735,-0.0,-1.6574212893553224,-1.5905683521875424,1.0,0.0
2018-11-09,-0.3606267029972752,-2.2044959128065393,-0.0,-1.6574250681198908,-1.589509536784741,1.0,0.0
2018-11-12,-0.3550563313769143,-2.1593469608041556,-0.0,-1.6584362139917694,-1.5733657154422183,1.0,0.0
2018-11-13,-0.28428294703092644,-2.1584396499899805,-0.0,-1.6682920312604368,-1.5684990982566294,1.0,0.0
2018-11-14,-0.28478899572649574,-2.1572516025641026,-0.0,-1.6676682692307692,-1.5676415598290598,1.0,0.0
2018-11-15,-0.28080095795635973,-2.1544704630122404,-0.0,-1.6671101649813729,-1.5500931346460882,1.0,0.0
2018-11-16,-0.27167515375967194,-2.128562925732425,-0.0,-1.6582236624561868,-1.554857482970703,1.0,0.0
2018-11-19,-0.284317637669593,-2.1374035647778666,-0.0,-1.6653365256717214,-1.5636472466081406,1.0,0.0
2018-11-20,-0.23022571148184492,-2.1045469414458617,-0.0,-1.6444880601897283,-1.5631010794896956,1.0,0.0
2018-11-21,-0.23361182519280208,-2.077763496143959,-0.0,-1.6224293059125965,-1.4929305912596402,1.0,0.0
2018-11-23,-0.23465727098014097,-2.0583600256245997,-0.0,-1.6230621396540679,-1.4900704676489431,1.0,0.0
