Date,EDIT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9673037542662116,-2.178566552901024,-0.2789078498293516,-1.228600682593857,-1.1725597269624572,0.0
2018-09-25,1.0,-0.975261395475979,-2.176177133875487,-0.28907264402378186,-1.2266110845349554,-1.1668830725073467,0.0
2018-09-26,1.0,-0.9999305844786895,-2.2160211023184786,-0.30903790087463556,-1.249618214632792,-1.1670137442732196,0.0
2018-09-27,1.0,-1.004716326813705,-2.2021084755167153,-0.31287279789152445,-1.249618532390068,-1.1664585934248854,0.0
2018-09-28,1.0,-1.0020805881129065,-2.2034815174422633,-0.31403009917470004,-1.2492544559262084,-1.1665164019696233,0.0
2018-10-01,1.0,-1.0068773879819384,-2.2031260854463355,-0.3138589788120875,-1.2539770753733936,-1.1690170197985412,0.0
2018-10-02,1.0,-1.0082252892792416,-2.2320507458525025,-0.308030112923463,-1.2538686741948977,-1.1682699010177053,0.0
2018-10-03,1.0,-1.0109675165909884,-2.243939923157527,-0.31002444987775063,-1.2544184421935034,-1.1663290254977297,0.0
2018-10-04,1.0,-1.0105638729536868,-2.249615223170561,-0.3108297187631173,-1.2539527074296908,-1.1709808311179515,0.0
2018-10-05,1.0,-0.9986057859881491,-2.253189264552109,-0.2917392819797839,-1.2554200069710701,-1.1721854304635762,0.0
2018-10-08,1.0,-0.995334586727944,-2.2484506649954743,-0.2824315855441822,-1.2646055288628926,-1.1725506580321707,0.0
2018-10-09,1.0,-0.9986756813271067,-2.2513417439185894,-0.2873074510350596,-1.2634000139401966,-1.1693036871819893,0.0
2018-10-10,1.0,-1.0002090301003346,-2.249721293199554,-0.28901895206243033,-1.263865663322185,-1.164855072463768,0.0
2018-10-11,1.0,-0.9066155707946751,-2.250100847115772,-0.16384294742503697,-1.2261664649724349,-1.1764152211913406,0.0
2018-10-12,1.0,-0.951670363648585,-2.2736438798144785,-0.15581098339719027,-1.2009813806547018,-1.1396786986623646,0.0
2018-10-15,1.0,-0.93485254691689,-2.2999329758713136,-0.13016085790884718,-1.1978552278820376,-1.1396782841823057,0.0
