Date,CTAS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.38288016112789525,-0.1060566824917278,-0.0,-0.0,-0.6348726801899007,-0.024313048482232768,-0.22560782621205577,-0.0501798302402532,-0.0,-0.20891957991655874,-0.0,-0.0,-0.0,-0.0,-0.24442526255215075,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.3827345165837241,-0.10183240802002129,-0.0,-0.0,-0.6283692431608319,-0.03069355349078043,-0.22541207605787764,-0.05359146218680782,-0.0,-0.20959065673273305,-0.0,-0.0,-0.0,-0.0,-0.24439777924805106,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.40474549006089855,-0.07218775135010916,-0.0,-0.0,-0.6255601516718373,-0.04122141790187292,-0.19576582787544528,-0.0734229576008273,-0.0037056187521544294,-0.19777662874870733,-0.0,-0.0,-0.0,-0.0,-0.25818683212685284,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.39324916112153785,-0.08809645680486834,-0.015128248876755958,-0.0,-0.6294432121935961,-0.035574134106807716,-0.1831883068873344,-0.05897742137291703,-0.0039242450093840645,-0.19490416879940856,-0.0,-0.0,-0.0,-0.0,-0.24117044872888588,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.37246859779543706,-0.09313851149277963,-0.01674784243356404,-0.0,-0.6355635307186192,-0.01720356603719844,-0.19262867071121362,-0.0636304081574525,-0.0,-0.2096043749465949,-0.0,-0.0,-0.0,-0.0,-0.24723005497165967,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.3606078648181225,-0.0954608601967622,-0.0028351903830342207,-0.0,-0.6470471492160699,-0.02852201525332426,-0.1902412747015962,-0.05267783731677582,-0.0,-0.22137166510731193,-0.0,-0.0,-0.0,-0.0,-0.236454877945054,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.36720986254782484,-0.09692503896840017,-0.0009919229134193,-0.0,-0.6439563553918096,-0.03434887345897691,-0.18563128808275473,-0.046081904491993765,-0.0031458126682726373,-0.22148221623919512,-0.0,-0.0,-0.0,-0.0,-0.23426385149496953,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.3631636949334539,-0.10209387097685722,-0.0016389273503065926,-0.0,-0.6377970555822431,-0.03551951171267908,-0.18059283958292124,-0.04588996580858459,-0.0037017152222442004,-0.22563508434824384,-0.0,-0.0,-0.0,-0.0,-0.22967588798779284,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.3628503616636528,-0.10216998191681735,-0.0011584538878842677,-0.0,-0.6385906419529837,-0.04526446654611211,-0.17786505424954793,-0.04226943942133815,-0.0016387884267631103,-0.22547468354430378,-0.0,-0.0,-0.0,-0.0,-0.22818716094032548,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.3467514919491048,-0.09863754081747551,-0.022351086589348045,-0.0,-0.6433960139623917,-0.03648237811057313,-0.1691250985249409,-0.04639117216529671,-0.003124648125211125,-0.24352550388469768,-0.0,-0.0,-0.0,-0.0,-0.20521337687197388,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.34049656333286576,-0.08890447468088092,-0.02524898302707252,-0.0,-0.6411277879085426,-0.060204797306775144,-0.19287417590124845,-0.030410997334829572,-0.004993687754243231,-0.22799831673446486,-0.0,-0.0,-0.0,-0.0,-0.19318277458269043,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.3316698441179769,-0.08968823595379612,-0.030223169227318603,-0.0,-0.6476954132555792,-0.06731524055175507,-0.1933105304474599,-0.03468094650667265,-0.007541774139284513,-0.2120948749579455,-0.0,-0.0,-0.0,-0.0,-0.1894134798699114,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.3325388368571589,-0.08911446357467333,-0.028601873142280302,-0.0,-0.6503000392574729,-0.06679378610285458,-0.19449273736750605,-0.03390163198923224,-0.0074869609107733725,-0.21182210756547584,-0.0,-0.0,-0.0,-0.0,-0.1890527732600527,-0.0,-0.0
