Date,HMSY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4947521395123527,-1.0752462457613434,-0.01961892459228161,-0.7183513644437268,-0.7288470854190214,0.0
2018-09-25,1.0,-0.49822365765038357,-1.0729511505853855,-0.02474767864352039,-0.7162696810658054,-0.7249091643116673,0.0
2018-09-26,1.0,-0.4989098837209302,-1.073845284237726,-0.02628391472868217,-0.7158833979328165,-0.7225452196382429,0.0
2018-09-27,1.0,-0.500705901335162,-1.0677261909563955,-0.02795369287241338,-0.7154612561010044,-0.7219152111653423,0.0
2018-09-28,1.0,-0.49909241256907755,-1.0688152958735024,-0.028679762817151386,-0.7152192327860918,-0.7218748739461902,0.0
2018-10-01,1.0,-0.4988906369760781,-1.0690225503247408,-0.02912582193714954,-0.7150752349832588,-0.7219331154947759,0.0
2018-10-02,1.0,-0.4998580524800259,-1.0989171432047693,-0.022346595287342338,-0.7143610333779453,-0.7202011599140202,0.0
2018-10-03,1.0,-0.5002231508905749,-1.1006613380938857,-0.023085973952205137,-0.7140017040613462,-0.7193167525459488,0.0
2018-10-04,1.0,-0.5044014441604803,-1.0935459007748163,-0.02405581923654213,-0.7194434302868038,-0.7151434018903898,0.0
2018-10-05,1.0,-0.4933527296237928,-1.0894249808057543,-0.009859780983553562,-0.7254212631834163,-0.722794682183699,0.0
2018-10-08,1.0,-0.4912450576938594,-1.0860162995239246,-0.004841442749939482,-0.7299281852658759,-0.7225449850722182,0.0
2018-10-09,1.0,-0.48904225693183195,-1.0870565443758327,-0.0,-0.7330185252451871,-0.7268838035274651,0.0
2018-10-10,1.0,-0.4893883150419625,-1.0866284699806326,-0.0,-0.7332149774047773,-0.7256697869593286,0.0
2018-10-11,1.0,-0.40895721400839247,-1.0772187144593905,-0.0,-0.7027726577512844,-0.7328130514922154,0.0
2018-10-12,1.0,-0.40885477242769636,-1.0712181127393967,-0.0,-0.6839962782042336,-0.7128401953942778,0.0
2018-10-15,1.0,-0.38108871435756575,-1.0971099160444153,-0.0,-0.6777962626223547,-0.7129260649204937,0.0
2018-10-16,1.0,-0.37418180409775753,-1.1105000193655834,-0.0,-0.6767109493009025,-0.7117626554088075,0.0
