Date,IWF,IWM,MTUM,PPBI,SPY,VLUE,VXX
2018-09-24,-0.21697370015755663,-0.7521209550357533,-0.15673857714216458,1.0,-0.4595503575324203,-0.4445824748515331,0.0
2018-09-25,-0.21590184347192273,-0.7559449691742339,-0.1533392049078264,1.0,-0.4629331551614177,-0.4489021168038388,0.0
2018-09-26,-0.21607750242954324,-0.7561953352769679,-0.15379008746355682,1.0,-0.46276724975704564,-0.44812925170068024,0.0
2018-09-27,-0.2159132336857455,-0.7572609065500061,-0.15360311094908252,1.0,-0.46293595819662164,-0.4483230040102078,0.0
2018-09-28,-0.21376249962007232,-0.7596729582687456,-0.15409865961520927,1.0,-0.46311662259505787,-0.44874015987356003,0.0
2018-10-01,-0.21378199282631163,-0.7597422335704298,-0.15429509392668248,1.0,-0.4630676636877622,-0.4488114779013922,0.0
2018-10-02,-0.21413315432965158,-0.7799475193751145,-0.14874595716116434,1.0,-0.4616769390370416,-0.44672606334289383,0.0
2018-10-03,-0.2139675372223578,-0.7715706614596046,-0.1473944349524042,1.0,-0.46530998291432757,-0.4527703197461557,0.0
2018-10-04,-0.2127097289656444,-0.7861840083584292,-0.14679491119169075,1.0,-0.4642308401450434,-0.4630016593940139,0.0
2018-10-05,-0.20080837773286792,-0.782227938024374,-0.13705677016351278,1.0,-0.4706963071835385,-0.4712474738195848,0.0
2018-10-08,-0.19952908079016576,-0.7806861965629015,-0.13546572075102442,1.0,-0.4715919515625956,-0.4706439973090331,0.0
2018-10-09,-0.19667607015822397,-0.7844351772353734,-0.12492334110143505,1.0,-0.4795780694222985,-0.48074328468048566,0.0
2018-10-10,-0.19663989208412533,-0.784352198172788,-0.12502299343920534,1.0,-0.4796124839045925,-0.4801643264455209,0.0
2018-10-11,-0.16038951310861424,-0.7872659176029962,-0.08521348314606741,1.0,-0.4719101123595506,-0.4915355805243446,0.0
2018-10-12,-0.15711689163016596,-0.7885939036381514,-0.08161258603736479,1.0,-0.4667322189446083,-0.48559339709782184,0.0
2018-10-15,-0.13060411194638166,-0.8643842647103221,-0.03121697913836307,1.0,-0.4831084140929263,-0.5097062464148778,0.0
2018-10-16,-0.1280567255537711,-0.8854580164237448,-0.017332808096724342,1.0,-0.4869852428714281,-0.5123481106633132,0.0
2018-10-17,-0.11443024334760095,-0.8556676344697537,-0.0009578257355802329,1.0,-0.49217276781705527,-0.5299769523182376,0.0
2018-10-18,-0.1133227573408363,-0.8541410997036727,-0.0017659911999760546,1.0,-0.4937890987458469,-0.5301565446436589,0.0
2018-10-19,-0.09887921039331687,-0.8477569343282695,-0.0,1.0,-0.4957635936617415,-0.5305169902191039,0.0
2018-10-22,-0.10096254760262675,-0.869171489399982,-0.006446969924135656,1.0,-0.49317820624306574,-0.5288014633122432,0.0
2018-10-23,-0.09565747371628829,-0.8852049367667226,-0.0,1.0,-0.5183909797348774,-0.5481639494133781,0.0
2018-10-24,-0.10115858975956149,-0.9193347452348325,-0.0,1.0,-0.5347265479008347,-0.5592687180764919,0.0
2018-10-25,-0.1235461359524425,-0.9632657017317137,-0.0,1.0,-0.5515960196433186,-0.5924334453347118,0.0
2018-10-26,-0.12671454451345757,-0.9630887681159419,-0.0,1.0,-0.551856884057971,-0.593361801242236,0.0
2018-10-29,-0.11561159663323552,-0.9678802928182142,-0.0,1.0,-0.5469702344480636,-0.5944080750749783,0.0
2018-10-30,-0.07421618785255149,-0.9877672832218286,-0.0,1.0,-0.5681818181818181,-0.6494162403253312,0.0
2018-10-31,-0.07658186562296151,-0.9741030658838878,-0.0,1.0,-0.565655577299413,-0.6452707110241357,0.0
2018-11-01,-0.06818477977586657,-0.979932238728173,-0.0,1.0,-0.5647315611154547,-0.6449048735991659,0.0
2018-11-02,-0.06966920127380256,-0.9715019172028335,-0.0,1.0,-0.5656723207902775,-0.6426528888022356,0.0
2018-11-05,-0.0625203729056653,-0.9982723775995829,-0.0,1.0,-0.5714518547493318,-0.6274203011930374,0.0
2018-11-06,-0.06714690830861501,-1.0015971837413213,-0.0,1.0,-0.5683366472179666,-0.6224779164901072,0.0
2018-11-07,-0.06634947533076972,-1.0026070520758652,-0.0,1.0,-0.5672619435573225,-0.6226292120185101,0.0
2018-11-08,-0.03539507772020725,-1.0093588082901555,-0.0,1.0,-0.5603626943005181,-0.6332253886010362,0.0
2018-11-09,-0.03375541160769507,-1.0146479606783634,-0.0,1.0,-0.5694476091273071,-0.6372839425799942,0.0
2018-11-12,-0.032786351500944194,-1.0159861952204206,-0.0,1.0,-0.5694797160903822,-0.6375919775997916,0.0
2018-11-13,-0.002393814899880309,-1.0190858214990455,-0.0,1.0,-0.5753889949212305,-0.6379840196681008,0.0
