Date,DTIL,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-11-25,1.0,-2.4708358388454603,-2.277410302665865,-6.314091000200442,-5.164161154539988,-2.817598717177791,0.0
2019-11-26,1.0,-2.408328399447405,-2.14288533649102,-6.261495954213538,-5.131636076573909,-2.7913953029405962,0.0
2019-11-27,1.0,-2.4142971565879057,-2.152182619142972,-6.419903884661594,-5.239086904285142,-2.798558269923909,0.0
2019-11-29,1.0,-2.418784305753202,-2.170766415938199,-6.557430372026835,-5.354746899776378,-2.8278105305956496,0.0
2019-12-02,1.0,-2.4087044534412954,-2.152429149797571,-6.534008097165993,-5.339473684210526,-2.8082995951417002,0.0
2019-12-03,1.0,-2.3221957040572794,-2.1040175019888623,-6.402943516308672,-5.268894192521877,-2.7903739061256965,0.0
2019-12-04,1.0,-2.2954951379241915,-2.133359793609843,-6.448303234768804,-5.243699146656083,-2.72454852153205,0.0
2019-12-05,1.0,-2.310536779324056,-2.130019880715706,-6.469184890656065,-5.24910536779324,-2.721868787276342,0.0
2019-12-06,1.0,-2.3205284552845526,-2.1459349593495936,-6.6623983739837405,-5.408333333333333,-2.7880081300813004,0.0
2019-12-09,1.0,-2.2773295683743444,-2.1064945542557485,-6.662565550625253,-5.366680112948769,-2.756353368293667,0.0
2019-12-10,1.0,-4.441488051244149,-3.9386548410938658,-5.809066272480907,-5.201034737620103,-4.246366100024637,0.0
2019-12-11,1.0,-4.442336126170528,-3.941843272548053,-5.809265648102514,-5.201823558403155,-4.247412518482012,0.0
2019-12-12,1.0,-4.439408866995074,-3.9408866995073897,-5.8064039408867,-5.1990147783251235,-4.244581280788178,0.0
2019-12-13,1.0,-4.446468126999753,-3.936992370169825,-5.829928624169333,-5.190007383706621,-4.2092050209205025,0.0
2019-12-16,1.0,-4.474152856789512,-3.948800395745733,-5.871135295572595,-5.219886223101657,-4.220133564185011,0.0
2019-12-17,1.0,-4.437975927290592,-3.918447555883075,-5.839351510685335,-5.1861950380741835,-4.181773520019651,0.0
2019-12-18,1.0,-4.437484647506755,-3.92090395480226,-5.837877671333825,-5.185949398182265,-4.181773520019651,0.0
2019-12-19,1.0,-4.512871782054487,-3.982504373906524,-5.958260434891278,-5.286428392901775,-4.2539365158710325,0.0
2019-12-20,1.0,-4.511877969492374,-3.9854963740935236,-5.956989247311828,-5.291822955738935,-4.260315078769692,0.0
2019-12-23,1.0,-4.60076726342711,-4.040664961636828,-6.146035805626598,-5.436317135549872,-4.351662404092071,0.0
2019-12-24,1.0,-4.615384615384615,-4.052564102564102,-6.156923076923077,-5.453333333333333,-4.362820512820512,0.0
2019-12-26,1.0,-4.619194251988709,-4.053630998203746,-6.162432640492687,-5.458814472671286,-4.366692327431357,0.0
2019-12-27,1.0,-4.607280184568059,-4.056652140476801,-6.15688285055114,-5.449371955908741,-4.363752883875929,0.0
2019-12-30,1.0,-4.61088295687885,-4.058264887063655,-6.171201232032854,-5.4597022587268995,-4.367299794661191,0.0
2019-12-31,1.0,-4.579565772669222,-4.043678160919541,-6.146360153256706,-5.432694763729247,-4.340740740740741,0.0
2020-01-02,1.0,-4.578651685393258,-4.0429009193054135,-6.144535240040858,-5.431052093973443,-4.3391215526046985,0.0
2020-01-03,1.0,-4.588113695090439,-4.124031007751938,-6.250387596899225,-5.484754521963825,-4.39250645994832,0.0
2020-01-06,1.0,-4.5778868509429085,-4.1369155257039525,-6.276931025574787,-5.473521053991217,-4.36812193231723,0.0
2020-01-07,1.0,-4.573495220873159,-4.137690519245673,-6.277964350297081,-5.471454404546629,-4.372255231206407,0.0
2020-01-08,1.0,-4.591699092088197,-4.149935149156939,-6.305058365758755,-5.492088197146563,-4.4015564202334625,0.0
2020-01-09,1.0,-4.584695201037613,-4.142931258106355,-6.317509727626459,-5.49727626459144,-4.397405966277562,0.0
2020-01-10,1.0,-4.585023400936037,-4.168226729069163,-6.3203328133125325,-5.504680187207488,-4.4227769110764426,0.0
2020-01-13,1.0,-4.583679833679834,-4.164501039501039,-6.321985446985447,-5.50051975051975,-4.416839916839916,0.0
2020-01-14,1.0,-4.669322709163347,-4.2488711819389104,-6.465073041168658,-5.635590969455511,-4.541567065073041,0.0
2020-01-15,1.0,-4.66746347941567,-4.249933598937583,-6.46480743691899,-5.635059760956175,-4.542895086321381,0.0
2020-01-16,1.0,-4.810647639956093,-4.355653128430296,-6.691547749725577,-5.8537321624588365,-4.730790340285401,0.0
2020-01-17,1.0,-4.868925298528187,-4.373229658428214,-6.789780616495418,-5.938350458206054,-4.799777839489031,0.0
2020-01-21,1.0,-4.883468079174798,-4.399776972400335,-6.812935600780596,-5.962085308056872,-4.819905213270142,0.0
2020-01-22,1.0,-4.882418500975202,-4.38757314015046,-6.820841460016718,-5.95848425745333,-4.813597102256896,0.0
2020-01-23,1.0,-4.895530726256983,-4.4,-6.840782122905028,-5.978770949720671,-4.818156424581006,0.0
