Date,IWF,IWM,KRA,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4802777175092211,-1.149403341288783,1.0,-0.10870036884356693,-0.7706660880885225,-0.8302885658494251,0.0
2018-09-25,-0.4798576141691266,-1.1503733287028999,1.0,-0.10774440006945649,-0.7715749262024657,-0.8315245702378885,0.0
2018-09-26,-0.4793919652551574,-1.150358306188925,1.0,-0.10571118349619978,-0.7727252985884907,-0.8349619978284473,0.0
2018-09-27,-0.47983328268137015,-1.1483957799678723,1.0,-0.10628229062649241,-0.7724569096513697,-0.8346285763903963,0.0
2018-09-28,-0.4764491179282176,-1.152820022594942,1.0,-0.1072825236812375,-0.7730946380464064,-0.8354914399930476,0.0
2018-10-01,-0.4774465496262819,-1.1517034590648356,1.0,-0.10737875890839563,-0.7736398400834348,-0.8354336867721189,0.0
2018-10-02,-0.4774339556948253,-1.165121643382513,1.0,-0.10423466945206075,-0.7720329024676851,-0.8333115724420073,0.0
2018-10-03,-0.4776704100287281,-1.165622007486724,1.0,-0.10468355532340906,-0.771872551580047,-0.8328980586750239,0.0
2018-10-04,-0.4790307143478639,-1.1620116592708605,1.0,-0.10545549464891674,-0.7732532846080223,-0.8307230488123205,0.0
2018-10-05,-0.4656637475071534,-1.1575045521546865,1.0,-0.0905662013352987,-0.7806294979623688,-0.8409780629497963,0.0
2018-10-08,-0.4683516770348458,-1.1640057423761256,1.0,-0.09183451516074304,-0.7817897072258233,-0.8443033018662723,0.0
2018-10-09,-0.4700557103064067,-1.1648241643454038,1.0,-0.09505571030640668,-0.780466573816156,-0.8419655292479109,0.0
2018-10-10,-0.47046450482033303,-1.1785714285714288,1.0,-0.08886941279579316,-0.7868536371603857,-0.8573619631901841,0.0
2018-10-11,-0.4403566966785853,-1.1785206565286692,1.0,-0.04911041226898721,-0.7765476241761082,-0.8633524318269935,0.0
2018-10-12,-0.44629085176189864,-1.1745281008990582,1.0,-0.04201286803868934,-0.7562742340960416,-0.8417912991605948,0.0
2018-10-15,-0.43574801139988945,-1.1910332213194947,1.0,-0.02658556297588158,-0.7560083372325492,-0.8443149432132375,0.0
2018-10-16,-0.43677133860948003,-1.1881541996425835,1.0,-0.029018806910050206,-0.7562760616117777,-0.8446940685899073,0.0
2018-10-17,-0.42283457951776865,-1.1574393010165505,1.0,-0.017180542720322607,-0.7523733512559859,-0.8507939174997899,0.0
2018-10-18,-0.42605767206903805,-1.1643022521574404,1.0,-0.014186487055356767,-0.7519259103346664,-0.8531256577562618,0.0
2018-10-19,-0.41404125350403753,-1.157482950504163,1.0,-0.0005857495502280238,-0.7560353123300281,-0.8557800928831429,0.0
2018-10-22,-0.41418410041841003,-1.1572384937238493,1.0,-0.002301255230125523,-0.7553138075313809,-0.8550627615062762,0.0
2018-10-23,-0.415586045344265,-1.1565715719902954,1.0,-0.005814439889567473,-0.7520287793859283,-0.8530494436543128,0.0
2018-10-24,-0.41472803347280335,-1.1593723849372386,1.0,-0.0033891213389121337,-0.7527615062761506,-0.8538493723849373,0.0
