Date,IWF,IWM,MTUM,PRU,SPY,VLUE,VXX
2018-09-24,-0.18942237829983047,-0.5044199564059094,-0.13405182852991038,1.0,-0.542564785662388,-0.6569084524097845,0.0
2018-09-25,-0.18867981698633457,-0.5061358058358331,-0.13223040329667,1.0,-0.5440717510529346,-0.6589097960791443,0.0
2018-09-26,-0.1882709501439612,-0.5058948325503865,-0.1310501591150174,1.0,-0.5446279739354447,-0.6608880133353539,0.0
2018-09-27,-0.18780140123138517,-0.5084468168996997,-0.13050862879500166,1.0,-0.5449637560280246,-0.6612477631858299,0.0
2018-09-28,-0.18709814387965545,-0.5091289579036758,-0.1308686157952202,1.0,-0.5447652553681912,-0.6610154070120102,0.0
2018-10-01,-0.18702417422427128,-0.5095089326336862,-0.13109284479359398,1.0,-0.5446025053838455,-0.6609542297309594,0.0
2018-10-02,-0.1880023049161435,-0.5027446698814181,-0.13362448063567162,1.0,-0.5460225032602432,-0.6624207685075668,0.0
2018-10-03,-0.1878069484023525,-0.49787788758867396,-0.13302613229855093,1.0,-0.547626265688474,-0.6652822409507064,0.0
2018-10-04,-0.1877426006792819,-0.49878699660359044,-0.1332180980106744,1.0,-0.5470948568655992,-0.6656659388646289,0.0
2018-10-05,-0.17042026026270077,-0.49468198579831163,-0.1141011184591473,1.0,-0.572699844573797,-0.695669399323439,0.0
2018-10-08,-0.16878176450896254,-0.4921330533491585,-0.11111111111111112,1.0,-0.5755805106667884,-0.6956693752092273,0.0
2018-10-09,-0.1658174939744333,-0.49556091161485183,-0.10052780913445404,1.0,-0.5833663849650669,-0.7056777618451964,0.0
2018-10-10,-0.1666005795333232,-0.4943724264145189,-0.10169284733872198,1.0,-0.5839560774744549,-0.7035534543236237,0.0
2018-10-11,-0.1334610090370459,-0.4898258423604046,-0.06514453288646838,1.0,-0.5817224250403974,-0.7222754204321025,0.0
2018-10-12,-0.12701891323926748,-0.49378564995496843,-0.058540978685079556,1.0,-0.590003002101471,-0.7327529270489342,0.0
2018-10-15,-0.1131068397853009,-0.5159375093705958,-0.03973132627664997,1.0,-0.5915919517826621,-0.7382530210800924,0.0
2018-10-16,-0.11232383808095951,-0.5191304347826087,-0.03733133433283358,1.0,-0.5916341829085457,-0.7380809595202399,0.0
