Date,IWF,IWM,MTUM,SPY,TPX,VLUE,VXX
2018-09-24,-0.5868353952214562,-1.3650014165643594,-0.009302105959014071,-0.8700538294456512,1.0,-0.8906412314666163,0.0
2018-09-25,-0.5879937703525414,-1.3630185473594791,-0.011704186134314974,-0.868422294586814,1.0,-0.8882439001368634,0.0
2018-09-26,-0.5889266496743133,-1.3642499763995093,-0.013688284716322099,-0.8679788539601624,1.0,-0.8852544132917964,0.0
2018-09-27,-0.5948829305135951,-1.3523885951661632,-0.017560422960725075,-0.8696185800604229,1.0,-0.8860932779456193,0.0
2018-09-28,-0.5915705915705917,-1.3570213570213572,-0.018711018711018712,-0.8704403704403705,1.0,-0.8872141372141372,0.0
2018-10-01,-0.5935136157337367,-1.3557583207261725,-0.01872163388804841,-0.8720215582450832,1.0,-0.8876701966717095,0.0
2018-10-02,-0.6078764628757345,-1.455688826300199,-0.0017967270431700092,-0.8898654882727141,1.0,-0.9007915311028019,0.0
2018-10-03,-0.6078364731015731,-1.4543115167993785,-0.002281996504175568,-0.8898815303942513,1.0,-0.9010001942124685,0.0
2018-10-04,-0.6436524453694068,-1.591363163371488,-0.011082206035379813,-0.9518730489073881,1.0,-1.004942767950052,0.0
2018-10-05,-0.6388196176226101,-1.5964256026600165,-0.0,-0.9532418952618453,1.0,-1.0068578553615959,0.0
2018-10-08,-0.633456015758644,-1.5902752578922814,-0.0,-0.9557306515991913,1.0,-1.0042506868487897,0.0
2018-10-09,-0.6272250765478229,-1.5915719549535523,-0.0,-0.9598837511028077,1.0,-1.0110021277699932,0.0
2018-10-10,-0.6264147025231025,-1.5929809988578547,-0.0,-0.9599730038417609,1.0,-1.01220018689648,0.0
2018-10-11,-0.5184777716657498,-1.5696854528179227,-0.0,-0.9060359053858079,1.0,-1.006500975146272,0.0
2018-10-12,-0.5291940180642614,-1.5652731849365775,-0.0,-0.8716746458713784,1.0,-0.9694486945363012,0.0
2018-10-15,-0.4905678963699946,-1.6022755257843668,-0.0,-0.862828153474856,1.0,-0.969758163818155,0.0
2018-10-16,-0.48690042352014185,-1.6078006500541713,-0.0,-0.8614695163990939,1.0,-0.968432975475229,0.0
2018-10-17,-0.450384262168302,-1.5458939533085214,-0.0,-0.853787036589492,1.0,-0.9833728068055488,0.0
2018-10-18,-0.44943602652853754,-1.5441738877862226,-0.0,-0.8610156363460327,1.0,-0.9863484533088056,0.0
2018-10-19,-0.4219747515960256,-1.5296404742475882,-0.0,-0.862237795804733,1.0,-0.986175778812461,0.0
2018-10-22,-0.4224034540657232,-1.523914607819621,-0.0,-0.8637083233389302,1.0,-0.9872871192132406,0.0
2018-10-23,-0.4301080432172869,-1.5259543817527013,-0.0,-0.8599279711884754,1.0,-0.9858823529411764,0.0
2018-10-24,-0.4285370664357531,-1.5216240919805648,-0.0,-0.8653485351421563,1.0,-0.9951893010054361,0.0
2018-10-25,-0.3822508217212166,-1.4537289940280542,-0.0,-0.849682885051618,1.0,-0.9437526040461091,0.0
2018-10-26,-0.3598976421129592,-1.431273990129775,-0.0,-0.8503015902028879,1.0,-0.9280296106744653,0.0
2018-10-29,-0.34411537236704426,-1.4362403894272324,-0.0,-0.8411355261362086,1.0,-0.9278467767617488,0.0
2018-10-30,-0.36001278422061916,-1.4405990320518676,-0.0,-0.8450826408547165,1.0,-0.9200529631997078,0.0
2018-10-31,-0.360923833819242,-1.4344478862973762,-0.0,-0.8427022594752186,1.0,-0.9173196064139941,0.0
2018-11-01,-0.3370490013194412,-1.4531143364120296,-0.0,-0.8417125437918012,1.0,-0.9179216524864644,0.0
2018-11-02,-0.3447683615819209,-1.4114350282485875,-0.0,-0.8532429378531073,1.0,-0.9103276836158192,0.0
2018-11-05,-0.3359246944223294,-1.5323373764810564,-0.0,-0.9126586428136562,1.0,-0.9022151454128226,0.0
2018-11-06,-0.3539606291796176,-1.5534520109258736,-0.0,-0.9100970142224735,1.0,-0.8919657153621551,0.0
2018-11-07,-0.3530961791831357,-1.5529361942405422,-0.0,-0.9083850931677019,1.0,-0.8910220214568041,0.0
2018-11-08,-0.30424418061138636,-1.564550808637936,-0.0,-0.8978218192016454,1.0,-0.9075909133401889,0.0
2018-11-09,-0.303967845959714,-1.5639575641445063,-0.0,-0.8983502360143946,1.0,-0.9072767210356593,0.0
2018-11-12,-0.302045560204556,-1.5429102742910275,-0.0,-0.902696420269642,1.0,-0.9013482101348209,0.0
2018-11-13,-0.2705774097078445,-1.5405567057740972,-0.0,-0.8979526109960894,1.0,-0.8917874396135266,0.0
2018-11-14,-0.27434526005164145,-1.54135927701955,-0.0,-0.9017428992991516,1.0,-0.8933972703799336,0.0
2018-11-15,-0.2729533106179206,-1.5438806519937378,-0.0,-0.9060686987752095,1.0,-0.8815268440924579,0.0
2018-11-16,-0.27195037904893177,-1.5370549046634505,-0.0,-0.9034688720422697,1.0,-0.8821042958878933,0.0
2018-11-19,-0.2708304609586838,-1.5378923663771311,-0.0,-0.9044073716623006,1.0,-0.8826692403143527,0.0
2018-11-20,-0.21938868613138685,-1.5296532846715327,-0.0,-0.9072536496350364,1.0,-0.9057481751824817,0.0
2018-11-21,-0.22642873277614636,-1.523424440930653,-0.0,-0.9021911000677659,1.0,-0.8656878247119947,0.0
2018-11-23,-0.22695035460992907,-1.5225640330668113,-0.0,-0.9021547635180919,1.0,-0.8656547861047115,0.0
2018-11-26,-0.22565631919027607,-1.5312005783742262,-0.0,-0.899281550765894,1.0,-0.8624101938457367,0.0
2018-11-27,-0.21232815167580196,-1.5354479288345764,-0.0,-0.8910054811753078,1.0,-0.8539850840147363,0.0
2018-11-28,-0.21525873308456595,-1.5266825518140539,-0.0,-0.8962819763521108,1.0,-0.8575282111226004,0.0
2018-11-29,-0.17645231438334885,-1.5079660941729907,-0.0,-0.8906048906048906,1.0,-0.8629121732570009,0.0
2018-11-30,-0.17674996670957435,-1.5093879000399486,-0.0,-0.8929823782680102,1.0,-0.8595587908917395,0.0
2018-12-03,-0.17278579356270812,-1.5120088790233073,-0.0,-0.8945172031076581,1.0,-0.8602441731409545,0.0
2018-12-04,-0.17402724601549285,-1.5149140771080047,-0.0,-0.899474668328733,1.0,-0.8635918440032055,0.0
2018-12-06,-0.16028491258363914,-1.4412259874811137,-0.0,-0.892596589682711,1.0,-0.8227498381178503,0.0
2018-12-07,-0.1691882078326273,-1.4421630500561944,-0.0,-0.894224950289617,1.0,-0.8170657906112215,0.0
