Date,IWF,IWM,LYFT,MTUM,SPY,VLUE,VXX
2019-11-27,-0.6412497488446856,-1.0225035161744023,1.0,-3.1414506730962426,-2.7772754671488844,-1.463733172593932,0.0
2019-11-29,-0.6380054178790007,-1.0143473462426007,1.0,-3.1395605498143873,-2.772950737433531,-1.4682452091903282,0.0
2019-12-02,-0.6339044183949505,-1.0052098988077347,1.0,-3.139064222021841,-2.7789800621180243,-1.4619777577397055,0.0
2019-12-03,-0.5853416641872459,-0.9857185361499554,1.0,-3.10086283844094,-2.776752950510761,-1.4690072399087573,0.0
2019-12-04,-0.5522136192177883,-1.0156839388524916,1.0,-3.1594202898550727,-2.7755608497121305,-1.4236648798888227,0.0
2019-12-05,-0.5556658067076802,-1.0111133161341537,1.0,-3.165409803532447,-2.7724746973605874,-1.417741615399881,0.0
2019-12-06,-0.5670444288436466,-1.0204593320629827,1.0,-3.2052953565339486,-2.808444489018153,-1.4277404472971618,0.0
2019-12-09,-0.5565678814577493,-1.0018021625951141,1.0,-3.2413896676011213,-2.785542651181418,-1.4268121746095315,0.0
2019-12-10,-0.537983563840449,-1.0071156544397675,1.0,-3.2554620164361596,-2.797755061134496,-1.4238324313489679,0.0
2019-12-11,-0.5380761523046091,-1.0102204408817637,1.0,-3.2532064128256515,-2.7958917835671344,-1.422545090180361,0.0
2019-12-12,-0.5490057535076208,-1.00131220349248,1.0,-3.280205915009589,-2.822246896134047,-1.4410013122034924,0.0
2019-12-13,-0.5637597488098856,-1.0171173908639723,1.0,-3.347715993112529,-2.8166717309834906,-1.383368783551099,0.0
2019-12-16,-0.567868719611021,-1.016308752025932,1.0,-3.3487641815235007,-2.8162479740680713,-1.3805713128038897,0.0
2019-12-17,-0.5594229217110573,-1.0178571428571428,1.0,-3.3389830508474576,-2.805992736077482,-1.3665254237288134,0.0
2019-12-18,-0.5608796529809341,-1.0181579743770808,1.0,-3.337637445778271,-2.8047008978109553,-1.3664884495107434,0.0
