Date,IWF,IWM,MTUM,SPY,TCPC,VLUE,VXX
2018-09-24,-0.12122978289377823,-0.38473387315001767,-0.0,-0.28096833954330674,1.0,-0.294623342561562,0.0
2018-09-25,-0.12001667187662812,-0.38595394394081484,-0.0,-0.28192143378139006,1.0,-0.29609252891528604,0.0
2018-09-26,-0.1195205836373111,-0.3856591974986972,-0.0,-0.28206357477853045,1.0,-0.29717561229807193,0.0
2018-09-27,-0.12244217545321942,-0.3807668264221713,-0.0,-0.28289226922275473,1.0,-0.29764534277974575,0.0
2018-09-28,-0.12192885573176068,-0.38137412215808447,-0.0,-0.2829099547794194,1.0,-0.2977056286077479,0.0
2018-10-01,-0.12227247150032304,-0.3810307817351979,-0.0,-0.28307942396265345,1.0,-0.2976679240564367,0.0
2018-10-02,-0.12356974635793334,-0.37652404076613655,-0.0,-0.2847168670932244,1.0,-0.29932681686500906,0.0
2018-10-03,-0.1231926330263761,-0.3724946872786366,-0.0,-0.28599108296179004,1.0,-0.30172090503770993,0.0
2018-10-04,-0.12473445245136834,-0.3699962510934311,-0.0,-0.2878118881992752,1.0,-0.3001624526179864,0.0
2018-10-05,-0.1115676752583738,-0.3631137674843315,-0.0,-0.2928859004690159,1.0,-0.3077034823392687,0.0
2018-10-08,-0.11008204873197414,-0.3613044919608818,-0.0,-0.29355212995193103,1.0,-0.30699900546991543,0.0
2018-10-09,-0.1155364414526718,-0.3638951217485249,-0.0,-0.2934014792653536,1.0,-0.3047868362004487,0.0
2018-10-10,-0.1173329454787234,-0.36317736037234044,-0.0,-0.2946309840425532,1.0,-0.30263048537234044,0.0
2018-10-11,-0.08307337033585868,-0.35508244540777056,-0.0,-0.2817121095490824,1.0,-0.3058380261718592,0.0
2018-10-12,-0.08122500653095673,-0.35184775837469606,-0.0,-0.2761690412555513,1.0,-0.3002833430460382,0.0
2018-10-15,-0.070456413237387,-0.3603800436970074,-0.0,-0.27356731944917717,1.0,-0.3000461023472108,0.0
2018-10-16,-0.06839457173211458,-0.36376210235131395,-0.0,-0.2729568825545734,1.0,-0.29941668170064345,0.0
2018-10-17,-0.059883087288219554,-0.3480630139700782,-0.0,-0.2708411770534033,1.0,-0.3027841077974834,0.0
2018-10-18,-0.0601225048070252,-0.34896029496303055,-0.0,-0.27030348682775984,1.0,-0.30287232144627035,0.0
2018-10-19,-0.05183406801007557,-0.3426873425692695,-0.0,-0.2707021410579345,1.0,-0.30266057934508817,0.0
2018-10-22,-0.05192530940715818,-0.33968872360938945,-0.0,-0.2721208901481613,1.0,-0.30387816539755624,0.0
2018-10-23,-0.05075702388218386,-0.34000118131164975,-0.0,-0.2734145813234628,1.0,-0.3046799629855683,0.0
2018-10-24,-0.04958807683989068,-0.3381702353565741,-0.0,-0.27328496431310095,1.0,-0.30517705814113527,0.0
