Date,CSIQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7984189723320158,-1.5454545454545454,-0.07509881422924901,-1.1966120835686052,-1.0308865047995484,0.0
2018-09-25,1.0,-0.8034907365567102,-1.5427586985991866,-0.08229778581111613,-1.1940239493899683,-1.0258133755083596,0.0
2018-09-26,1.0,-0.8033574496947774,-1.5432964051548723,-0.08031878815283744,-1.1956816640289396,-1.0296744291205064,0.0
2018-09-27,1.0,-0.8052702855208217,-1.5329533912650946,-0.08283489448143551,-1.1939397359214536,-1.0277621036000453,0.0
2018-09-28,1.0,-0.8023367387255179,-1.5358695038663432,-0.08398713100412035,-1.1938815826607214,-1.0282214821922449,0.0
2018-10-01,1.0,-0.8024607743537645,-1.535274861722542,-0.08449034879783271,-1.193701320690823,-1.0281070098205214,0.0
2018-10-02,1.0,-0.802775583888074,-1.5279814961074127,-0.08755500394900147,-1.1940088006318403,-1.029053367934108,0.0
2018-10-03,1.0,-0.8023806837413968,-1.51325736206702,-0.08558050321561547,-1.2004400315920118,-1.0397720862010607,0.0
2018-10-04,1.0,-0.8034939419554805,-1.5076359537897999,-0.0867286559594252,-1.201127078050155,-1.036348267117498,0.0
2018-10-05,1.0,-0.781877312997645,-1.4961870584277224,-0.06089491981608164,-1.2158237075249523,-1.052540091959179,0.0
2018-10-08,1.0,-0.7782249049854684,-1.4895484015202327,-0.05734406438631791,-1.2150681868991728,-1.0488486474401968,0.0
2018-10-09,1.0,-0.776249580677625,-1.4909985463490998,-0.051213239405121326,-1.218830370121883,-1.0536732640053672,0.0
2018-10-10,1.0,-0.7845316270977156,-1.4940786888926307,-0.05640680249200202,-1.227647752146826,-1.0499522927541112,0.0
2018-10-11,1.0,-0.6663797277667186,-1.4689298972400064,-0.0,-1.1849679883789745,-1.0598267606391563,0.0
2018-10-12,1.0,-0.6679835651074589,-1.4437947745469868,-0.0,-1.143805309734513,-1.0120101137800253,0.0
2018-10-15,1.0,-0.6548807397289061,-1.4507197646317116,-0.0,-1.1393821582431438,-1.008773773247872,0.0
2018-10-16,1.0,-0.6438247433590856,-1.489099375595301,-0.0,-1.1447243094507353,-1.0138639009418986,0.0
2018-10-17,1.0,-0.6051047187773375,-1.4115164925641948,-0.0,-1.1203622703648433,-1.0089538414037975,0.0
2018-10-18,1.0,-0.605374240708329,-1.4129002367960466,-0.0,-1.120148254916092,-1.0092659322557398,0.0
2018-10-19,1.0,-0.5748349792764673,-1.3954357058793432,-0.0,-1.1322724249091747,-1.0143273806478024,0.0
2018-10-22,1.0,-0.5746944202935611,-1.3835728532705978,-0.0,-1.137114509282463,-1.018922927428016,0.0
2018-10-23,1.0,-0.5739529486232725,-1.4339065302247074,-0.0,-1.196434223019306,-1.0704715687308788,0.0
2018-10-24,1.0,-0.5709617918313571,-1.4325164690382082,-0.0,-1.1964690382081686,-1.0700922266139659,0.0
2018-10-25,1.0,-0.50531328320802,-1.3303258145363408,-0.0,-1.181203007518797,-0.9956892230576441,0.0
2018-10-26,1.0,-0.46956996180745003,-1.3095580576360297,-0.0,-1.1980556520013887,-0.9828381528694012,0.0
2018-10-29,1.0,-0.4337343457252737,-1.3241297702396215,-0.0,-1.182329158860073,-0.9902869539493147,0.0
2018-10-30,1.0,-0.410500839672034,-1.3283611577595575,-0.0,-1.1869505087424677,-1.0133853600711251,0.0
2018-10-31,1.0,-0.41219644352494955,-1.321067927688291,-0.0,-1.1827496182454067,-1.009851731441801,0.0
2018-11-01,1.0,-0.40503590046227994,-1.3242352709747223,-0.0,-1.1804367069932133,-1.008163666765024,0.0
2018-11-02,1.0,-0.41165578403664355,-1.277848162947081,-0.0,-1.1869700808888022,-0.9963453854400156,0.0
2018-11-05,1.0,-0.40580840074066854,-1.2950492154760744,-0.0,-1.1885781112951954,-0.9833836858006041,0.0
2018-11-06,1.0,-0.42434646132718623,-1.3187503065378392,-0.0,-1.187110696944431,-0.9743489136298985,0.0
2018-11-07,1.0,-0.4246940386893012,-1.3320667193051718,-0.0,-1.1942854322937229,-0.9838136596920648,0.0
