Date,IWF,IWM,MATX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6431119504773896,-1.4141223376350855,1.0,-0.13508551043961808,-0.995803168607701,-1.0579162732137235,0.0
2018-09-25,-0.6436100477214327,-1.4128166133515128,1.0,-0.13645183281766218,-0.9947558865173842,-1.0564791022077717,0.0
2018-09-26,-0.6440820179348681,-1.4134459069694267,1.0,-0.13750065551418533,-0.9944412397084272,-1.0546961036236824,0.0
2018-09-27,-0.647021845041647,-1.4037403740374035,1.0,-0.14008067473414007,-0.9939755880349939,-1.0538006181570538,0.0
2018-09-28,-0.6475611672866348,-1.4032063708283125,1.0,-0.14061926965997798,-0.9939749567768638,-1.0538062555666161,0.0
2018-10-01,-0.6474291710388248,-1.4070828961175237,1.0,-0.14160545645330536,-0.9948583420776497,-1.0555613850996852,0.0
2018-10-02,-0.6489534700729161,-1.3940617951004564,1.0,-0.14661910507265383,-0.99763940617951,-1.0585427267481509,0.0
2018-10-03,-0.6481811510640528,-1.3864136701960375,1.0,-0.14597966243841073,-0.9991613376664221,-1.061903763497222,0.0
2018-10-04,-0.6485537623139803,-1.3846677845315447,1.0,-0.1467197652483756,-0.9991616013414377,-1.0608887025780758,0.0
2018-10-05,-0.6290263638736623,-1.3768728791438265,1.0,-0.12419733750978856,-1.0121639258679196,-1.0783085356303839,0.0
2018-10-08,-0.6257745378807602,-1.3716219734444155,1.0,-0.11955219994793023,-1.0136943504295757,-1.0763342879458475,0.0
2018-10-09,-0.6249609497032177,-1.3720712277413307,1.0,-0.11746329272102468,-1.0145787774653754,-1.0775799229407477,0.0
2018-10-10,-0.6251301270039558,-1.371538621694774,1.0,-0.11747865917135122,-1.0146262752446387,-1.0763064751197167,0.0
2018-10-11,-0.5500426856827199,-1.3654898809822729,1.0,-0.016722743936122133,-0.9923165771104303,-1.0972731381509566,0.0
2018-10-12,-0.561121847282097,-1.358555076557158,1.0,-0.006144393241167435,-0.963678707695357,-1.0657053664337746,0.0
2018-10-15,-0.5241723984363402,-1.3979415112078777,1.0,-0.0,-0.9574941857588204,-1.0686822702756198,0.0
2018-10-16,-0.5234019394419157,-1.3989214328121908,1.0,-0.0,-0.9570552147239264,-1.0682267959627945,0.0
2018-10-17,-0.48787231978267204,-1.3384592995051907,1.0,-0.0,-0.9465896963228874,-1.0781022605995925,0.0
2018-10-18,-0.48883278306467276,-1.341474072635463,1.0,-0.0,-0.9461060400077685,-1.0789473684210527,0.0
2018-10-19,-0.4681229851320791,-1.327623538468941,1.0,-0.0,-0.9412500601453111,-1.074628301977578,0.0
2018-10-22,-0.46847799951911523,-1.3221928348160616,1.0,-0.0,-0.9425823515268092,-1.0755950949747537,0.0
2018-10-23,-0.4732108503270489,-1.3228164678722587,1.0,-0.0,-0.9394478645632937,-1.0740188534051558,0.0
2018-10-24,-0.4707183383017598,-1.3236368881623233,1.0,-0.0,-0.9393210885662083,-1.0745263967689203,0.0
2018-10-25,-0.4322415795586527,-1.2634610917537745,1.0,-0.0,-0.92,-1.0300116144018583,0.0
2018-10-26,-0.4088157049811944,-1.2421337491973214,1.0,-0.0,-0.9211540225667371,-1.0146775525181178,0.0
2018-10-29,-0.3781044558071585,-1.2566197954711467,1.0,-0.0,-0.9072315558802045,-1.0234203798392987,0.0
2018-10-30,-0.3617847193679499,-1.2580262136365712,1.0,-0.0,-0.9090286340594602,-1.037950404164954,0.0
2018-10-31,-0.365060677413512,-1.2309364245607681,1.0,-0.0,-0.9031425466401013,-1.0290255388516574,0.0
2018-11-01,-0.35249717514124296,-1.2385988700564972,1.0,-0.0,-0.9008361581920903,-1.0277966101694915,0.0
