Date,GDDY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5146401825603446,-0.6544852633947225,-0.3693632886574743,-0.42660624176389284,-0.24899559669591487,0.0
2018-09-25,1.0,-0.5155672653664493,-0.6533753172894644,-0.37101179192237255,-0.4256337756642997,-0.24750184750827361,0.0
2018-09-26,1.0,-0.5178083073260191,-0.6567034522698756,-0.3748592387632316,-0.42562980599079825,-0.24239889321450406,0.0
2018-09-27,1.0,-0.5213573496301062,-0.648761659697652,-0.37719523962688967,-0.426375040205854,-0.24277902862656803,0.0
2018-09-28,1.0,-0.5212943901183738,-0.6486425630468348,-0.37725167267112714,-0.4264346371590324,-0.24301981471950596,0.0
2018-10-01,1.0,-0.521551724137931,-0.6481600617601647,-0.3771873391662378,-0.4266276376737005,-0.24314848172928463,0.0
2018-10-02,1.0,-0.5212536602632172,-0.6512855166200083,-0.37625896965601574,-0.4261672619622229,-0.2428805869292403,0.0
2018-10-03,1.0,-0.5221917808219178,-0.6581788879935535,-0.3770829975825946,-0.4252699435938759,-0.2404834810636583,0.0
2018-10-04,1.0,-0.5235042046589555,-0.6551213068273352,-0.3773238392885911,-0.42710313496794156,-0.2388761800431743,0.0
2018-10-05,1.0,-0.5274686280202587,-0.6601503274299171,-0.3782057485725346,-0.4258847059582567,-0.23420110326139554,0.0
2018-10-08,1.0,-0.5268432585717969,-0.6587715906161382,-0.3770301624129931,-0.4265274555297758,-0.2332753286929621,0.0
2018-10-09,1.0,-0.537145269173323,-0.6658224560036367,-0.3921683226183519,-0.42493019027209555,-0.2268653808688876,0.0
2018-10-10,1.0,-0.5371302399584376,-0.6662012533688345,-0.391921291034841,-0.42487904666038895,-0.2269376887359158,0.0
2018-10-11,1.0,-0.5303634609199099,-0.6660019298809906,-0.3816661305886137,-0.41836603409456413,-0.2200707623029913,0.0
2018-10-12,1.0,-0.5542928484538062,-0.6690249055637365,-0.38366732825404953,-0.39999359754145597,-0.19421857993469493,0.0
2018-10-15,1.0,-0.5678189777262779,-0.6570426161967298,-0.39677481653147934,-0.4037594953006308,-0.19335007081241148,0.0
2018-10-16,1.0,-0.5676075831214393,-0.657568637548682,-0.39634362226013065,-0.40374649972641535,-0.1933760339888635,0.0
2018-10-17,1.0,-0.5665874341513555,-0.654439162276757,-0.3955094436592574,-0.4028009764872158,-0.19275986123602726,0.0
2018-10-18,1.0,-0.5677187118339011,-0.6565854599215787,-0.3945169377129266,-0.40210194767628715,-0.19309635533843283,0.0
2018-10-19,1.0,-0.5661929453940209,-0.6533512579220281,-0.3925164842199603,-0.4010626720440433,-0.18769605018884836,0.0
2018-10-22,1.0,-0.5647073905518877,-0.6584834305493237,-0.3972501762707519,-0.3983718992372283,-0.18614191397987306,0.0
2018-10-23,1.0,-0.5677686215410268,-0.6584153653765993,-0.4035014589412256,-0.39327283804149166,-0.18353801263346908,0.0
2018-10-24,1.0,-0.5680205490447905,-0.6625461550810724,-0.40561887943490127,-0.39309680526569274,-0.18150585968855354,0.0
2018-10-25,1.0,-0.5592688798783578,-0.6462557019766852,-0.4064875823618854,-0.3907121135326913,-0.1650405473897618,0.0
2018-10-26,1.0,-0.5553031020227839,-0.6419577771466439,-0.40253715800435486,-0.3925021300766828,-0.16336899239483732,0.0
2018-10-29,1.0,-0.5449971699893088,-0.6523489088736557,-0.3935915980127036,-0.3860449028362996,-0.16750518835293376,0.0
2018-10-30,1.0,-0.5796253676000511,-0.6651323360184119,-0.4070451348932362,-0.3963048203554533,-0.14838255977496484,0.0
2018-10-31,1.0,-0.5797346971392041,-0.6652069681956209,-0.4070321240210964,-0.39626018858878054,-0.1481540674444622,0.0
2018-11-01,1.0,-0.5870213106873898,-0.658484217272873,-0.41368370453452974,-0.3968594776478129,-0.1485659349463227,0.0
2018-11-02,1.0,-0.5927048761807505,-0.6392009190707173,-0.4097842736788358,-0.4037847842736788,-0.14574291549655347,0.0
2018-11-05,1.0,-0.5935135825326396,-0.6374054330130559,-0.40971047339355826,-0.4038688671114374,-0.14763622434321833,0.0
2018-11-06,1.0,-0.6010859150431173,-0.6436921111465985,-0.40546151389332485,-0.4012456084318109,-0.1423506866815714,0.0
2018-11-07,1.0,-0.5974320482928231,-0.644319524737296,-0.41144718770960426,-0.39879906736082277,-0.14197195694528733,0.0
2018-11-08,1.0,-0.567002536157379,-0.7734594557543355,-0.2997806566591268,-0.502913153745973,-0.28404962643087256,0.0
2018-11-09,1.0,-0.5654200802111542,-0.7734549069344943,-0.3007232715181846,-0.5042333664689953,-0.28399547526822744,0.0
2018-11-12,1.0,-0.5658215253713933,-0.7763406182454455,-0.30013380450818267,-0.5042371427591176,-0.2843517343122791,0.0
