Date,IWF,IWM,MTUM,SPY,TY,VLUE,VXX
2018-09-24,-0.1778550795394442,-0.22256804589283533,-0.11050083404532324,-0.26677244802473654,1.0,-0.25658082102607915,0.0
2018-09-25,-0.1778383546595602,-0.222592916573428,-0.11050308196187725,-0.26677787497202843,1.0,-0.2565860406452794,0.0
2018-09-26,-0.17791248804898388,-0.22264488699932872,-0.11068166561565532,-0.2667059948330926,1.0,-0.25627046929351693,0.0
2018-09-27,-0.1796555720472521,-0.2185104609316227,-0.11188825407152879,-0.2669011650366997,1.0,-0.2562877416993677,0.0
2018-09-28,-0.17917852785685237,-0.21901179341195606,-0.11203741358275722,-0.26685644570963807,1.0,-0.2563033753558357,0.0
2018-10-01,-0.1798287538896459,-0.2184709878175273,-0.11189977424800178,-0.2673025686916553,1.0,-0.2563200390489943,0.0
2018-10-02,-0.18055160069967052,-0.21234186226253918,-0.11406256356018386,-0.2688850018305333,1.0,-0.2580848553878697,0.0
2018-10-03,-0.1804335448186107,-0.2105905319668131,-0.11383601756954613,-0.26946071254270376,1.0,-0.2591914755165121,0.0
2018-10-04,-0.18154465429262642,-0.20862387932261278,-0.11402955945434955,-0.27087356929394785,1.0,-0.25788285998902194,0.0
2018-10-05,-0.1801785351998377,-0.2068776628119294,-0.11272063298843578,-0.27104889429904644,1.0,-0.2580036518563603,0.0
2018-10-08,-0.18001500801103293,-0.2065832437584927,-0.11249923945890035,-0.27111769120003243,1.0,-0.25791469771026426,0.0
2018-10-09,-0.17969256975989617,-0.20654201817001946,-0.11179834523036988,-0.271455223880597,1.0,-0.25841580142764436,0.0
2018-10-10,-0.17969668707676087,-0.20631766757228012,-0.11183650298041442,-0.2714610113134099,1.0,-0.2581809334576862,0.0
2018-10-11,-0.1742645136640592,-0.20219590178768929,-0.10589394518289126,-0.26988276458404553,1.0,-0.2586619477568421,0.0
2018-10-12,-0.17389040217913795,-0.19936708860759494,-0.10505127383432142,-0.26812610158628425,1.0,-0.25644928697324143,0.0
2018-10-15,-0.17120396855559777,-0.20256835957033986,-0.10163422879203089,-0.2680175224531434,1.0,-0.2568559598343768,0.0
2018-10-16,-0.16965947991111646,-0.21023762336596402,-0.09611034372309972,-0.26877264628751024,1.0,-0.25710167557504054,0.0
2018-10-17,-0.16755054029267513,-0.20497228757127475,-0.09446150165477092,-0.2684118186530563,1.0,-0.2583236971171099,0.0
2018-10-18,-0.16761035128992385,-0.20507197256668924,-0.09436181665935642,-0.26831213365764184,1.0,-0.2583436341161928,0.0
2018-10-19,-0.16461550676882766,-0.20074238755012108,-0.09232204533725039,-0.26908571201715037,1.0,-0.2582277978482671,0.0
2018-10-22,-0.1652705546071698,-0.19927349239747508,-0.09065465083965223,-0.27043550756282503,1.0,-0.2593592441144944,0.0
2018-10-23,-0.1652705546071698,-0.19927349239747508,-0.09065465083965223,-0.27043550756282503,1.0,-0.2593592441144944,0.0
2018-10-24,-0.16501656713160454,-0.19894446538759153,-0.09039503184460627,-0.2704509831154144,1.0,-0.25926072895379065,0.0
2018-10-25,-0.1663583378090748,-0.20140836665274214,-0.08919655467366872,-0.27079230570308926,1.0,-0.26146287123789064,0.0
2018-10-26,-0.16607345250641267,-0.2011890795569784,-0.08892247121751408,-0.2710226481875485,1.0,-0.2612197013382116,0.0
2018-10-29,-0.16626252186357132,-0.20023056129750358,-0.08860709174749563,-0.2715654317061536,1.0,-0.26093178565749725,0.0
2018-10-30,-0.16156476107179774,-0.2011210940605868,-0.08533434046274947,-0.2729386976226445,1.0,-0.26679653335453607,0.0
2018-10-31,-0.1625842251288149,-0.19565992865636145,-0.08602853745541021,-0.27213634562029326,1.0,-0.2653190646056282,0.0
2018-11-01,-0.16233997859775676,-0.19600887796757957,-0.08578732511592883,-0.27216519361103403,1.0,-0.26536799968292973,0.0
2018-11-02,-0.16346115794055957,-0.1920732913847006,-0.08514385215085676,-0.2733784479005896,1.0,-0.26465234081285366,0.0
2018-11-05,-0.16273318957842886,-0.19393064155571824,-0.08516488951314566,-0.2734574373380284,1.0,-0.26299234406219707,0.0
2018-11-06,-0.16305616554889507,-0.1941955012166894,-0.0850891249727976,-0.2732902051555978,1.0,-0.2627257799671593,0.0
2018-11-07,-0.16206276076167125,-0.19399679670970676,-0.08674589207679986,-0.27225990152848356,1.0,-0.2622545627113282,0.0
2018-11-08,-0.16340348029220203,-0.19375210341892188,-0.08762100845326946,-0.27311781125650825,1.0,-0.2617939936254034,0.0
2018-11-09,-0.16410490036841896,-0.19417264192053243,-0.08717268153547518,-0.2730459929485402,1.0,-0.2622509210474191,0.0
2018-11-12,-0.16407408139465934,-0.18925543059316507,-0.08710691202340244,-0.2748008617792975,1.0,-0.26134050165042594,0.0
2018-11-13,-0.15968766595204845,-0.1868693822158409,-0.08315795684755029,-0.27624255059693564,1.0,-0.260881537281435,0.0
2018-11-14,-0.15927427289543075,-0.18761068912590026,-0.08298240780825693,-0.2765358731158251,1.0,-0.26142311779290806,0.0
2018-11-15,-0.15916825684102848,-0.18741762241063875,-0.082820215214526,-0.27663132217260444,1.0,-0.2611885979580194,0.0
2018-11-16,-0.15903950913488957,-0.18680800015732857,-0.08267615882318237,-0.2765049460166375,1.0,-0.2615783987885701,0.0
2018-11-19,-0.15908599296010068,-0.18651800287102038,-0.08353489469647807,-0.275991583584056,1.0,-0.26130218472853123,0.0
2018-11-20,-0.15242838375718126,-0.18466304582263093,-0.0766455559694908,-0.2790729593537382,1.0,-0.2679163153663654,0.0
