Date,IWF,IWM,MBUU,MTUM,SPY,VLUE,VXX
2018-09-24,-0.8662847470867782,-1.9896491113859776,1.0,-0.17524900722609205,-1.306620662717271,-1.1721242106633682,0.0
2018-09-25,-0.8670309653916212,-1.9869242779078844,1.0,-0.17766068175904243,-1.3043845953682018,-1.1693338537600833,0.0
2018-09-26,-0.8725375081539465,-1.9951728636660147,1.0,-0.18427919112850621,-1.3071102413568167,-1.164122635355512,0.0
2018-09-27,-0.8809321757294862,-1.9808734251583002,1.0,-0.18950323128141525,-1.3103335726875123,-1.1662641164566878,0.0
2018-09-28,-0.8788669886437802,-1.98159509202454,1.0,-0.19044511160422922,-1.309685419658008,-1.1659704999347345,0.0
2018-10-01,-0.8800913838120105,-1.9802219321148824,1.0,-0.19073107049608354,-1.310313315926893,-1.1661227154046998,0.0
2018-10-02,-0.8854377819917609,-1.9550774864317004,1.0,-0.20126855424050216,-1.3204080298175636,-1.1767475315503826,0.0
2018-10-03,-0.8944524970351825,-1.9825405191724865,1.0,-0.2068783765977072,-1.3263934642245354,-1.1783502437738833,0.0
2018-10-04,-0.9004083783427742,-1.9718087208536423,1.0,-0.20840468976419443,-1.3338163614807008,-1.1723093136609142,0.0
2018-10-05,-0.8775763920696198,-1.9608061244520054,1.0,-0.18347183144670548,-1.3408362232545965,-1.18052738336714,0.0
2018-10-08,-0.8726928846279268,-1.9527163633992044,1.0,-0.17667775386421444,-1.3429204982717016,-1.1768734102915281,0.0
2018-10-09,-0.8718533976783618,-1.953306377983566,1.0,-0.174448937002739,-1.3438763532020346,-1.1779705230207382,0.0
2018-10-10,-0.8744344633138811,-1.9674119729853778,1.0,-0.17054619369221688,-1.3520424890171134,-1.1924463969575765,0.0
2018-10-11,-0.7674242901215136,-1.9654977019454765,1.0,-0.025058238368066487,-1.3222313165019204,-1.2158282440345023,0.0
2018-10-12,-0.790807747399888,-1.9660584168898303,1.0,-0.012517904963567293,-1.2877249797596066,-1.1706420875630568,0.0
2018-10-15,-0.7431346908275733,-2.0248458808144965,1.0,-0.0,-1.2827697864126033,-1.1762874400647612,0.0
2018-10-16,-0.7387948207171314,-2.0308142430278884,1.0,-0.0,-1.2809387450199203,-1.174551792828685,0.0
2018-10-17,-0.688655793366883,-1.942642333111017,1.0,-0.0,-1.2569574971199904,-1.1749226944764446,0.0
2018-10-18,-0.6881479236132161,-1.9421036677781145,1.0,-0.0,-1.2573507123370717,-1.1747802364352833,0.0
2018-10-19,-0.6572095528820254,-1.9188962710241215,1.0,-0.0,-1.2482193092715628,-1.1612497755431854,0.0
2018-10-22,-0.6608288850236911,-1.9267678282252745,1.0,-0.0,-1.2481856894380137,-1.1618784861752536,0.0
2018-10-23,-0.6594633531424455,-1.9280869199831923,1.0,-0.0,-1.2511555315445106,-1.1641154931268385,0.0
2018-10-24,-0.6552798753446003,-1.924247872467937,1.0,-0.0,-1.2499101042790361,-1.1636102121539014,0.0
2018-10-25,-0.5775122899279752,-1.8186806905224646,1.0,-0.0,-1.236881216417057,-1.0831713730421857,0.0
2018-10-26,-0.5378285714285714,-1.8124000000000002,1.0,-0.0,-1.278857142857143,-1.0852,0.0
2018-10-29,-0.5239938521090682,-1.8151078727158876,1.0,-0.0,-1.2719872488188082,-1.0814026299311208,0.0
2018-10-30,-0.5311787505699954,-1.8168034655722753,1.0,-0.0,-1.2736548107615138,-1.078317373461012,0.0
2018-10-31,-0.5325370443405263,-1.7795932165192403,1.0,-0.0,-1.2604090371288523,-1.0615809341371345,0.0
2018-11-01,-0.5088803956834532,-1.7950202338129497,1.0,-0.0,-1.2568570143884894,-1.05974595323741,0.0
2018-11-02,-0.5115268960908788,-1.755206593161822,1.0,-0.0,-1.2559305045105247,-1.045884842410068,0.0
2018-11-05,-0.5047910863509749,-1.776824512534819,1.0,-0.0,-1.2583844011142062,-1.0310863509749304,0.0
2018-11-06,-0.5134321703266079,-1.7841377772823543,1.0,-0.0,-1.253260506075131,-1.022628469512875,0.0
2018-11-07,-0.5958929452392698,-1.9440675875678342,1.0,-0.0,-1.4372224962999507,-1.189565860878145,0.0
2018-11-08,-0.5329168963194317,-1.9579888541858046,1.0,-0.0,-1.424092106068957,-1.209137118010901,0.0
2018-11-09,-0.5319933616079661,-1.965086975228963,1.0,-0.0,-1.4346302784436658,-1.2149486753949228,0.0
2018-11-12,-0.5303633801090754,-1.9553281451069304,1.0,-0.0,-1.4321956002206018,-1.2099393345180463,0.0
2018-11-13,-0.4718673218673219,-1.9772727272727273,1.0,-0.0,-1.4675675675675675,-1.2257371007371007,0.0
2018-11-14,-0.47364541098415036,-1.9762255805381495,1.0,-0.0,-1.4681164762255805,-1.225273375107507,0.0
2018-11-15,-0.471341874578557,-1.977134800465886,1.0,-0.0,-1.471219272972476,-1.2104456568381046,0.0
2018-11-16,-0.4628494359980383,-1.9603972535556649,1.0,-0.0,-1.4761525257479158,-1.2309955860716038,0.0
