Date,IWF,IWM,MTUM,NANR,SPY,VLUE,VXX
2018-09-24,-0.20093872891031334,-0.45381200050742104,-0.04830648230369149,1.0,-0.4175313966763922,-0.41651655461118864,0.0
2018-09-25,-0.20266328471781864,-0.4524032974001268,-0.05098287888395688,1.0,-0.4161572606214331,-0.41428027901077996,0.0
2018-09-26,-0.20403604518339888,-0.45434699835004444,-0.05353471252697043,1.0,-0.415915725345856,-0.4105597156999619,0.0
2018-09-27,-0.20311864061864063,-0.4598341473341473,-0.05232498982498983,1.0,-0.4168956043956044,-0.4116045991045991,0.0
2018-09-28,-0.20310353599592978,-0.45988298142966166,-0.05255660137369626,1.0,-0.4168150597812261,-0.41154922411600103,0.0
2018-10-01,-0.2029158821434024,-0.4603836954862348,-0.052796295353926014,1.0,-0.41667090733296014,-0.4116584397740573,0.0
2018-10-02,-0.20528822885090559,-0.44478691698295847,-0.058486384593830404,1.0,-0.42170823037929545,-0.41704664136332376,0.0
2018-10-03,-0.2051674055954747,-0.436528563420476,-0.05707588034449371,1.0,-0.42572491464098255,-0.4235336085206136,0.0
2018-10-04,-0.20725929699439632,-0.43288334182373917,-0.05748853795211411,1.0,-0.42829852266938356,-0.42119205298013246,0.0
2018-10-05,-0.19990355085154443,-0.428310363207188,-0.05061042158430417,1.0,-0.43272671895225767,-0.4265844310769309,0.0
2018-10-08,-0.1987176238025242,-0.42625069694358564,-0.04840589994424451,1.0,-0.43469005017993817,-0.42627604034669775,0.0
2018-10-09,-0.19778493043059533,-0.42648959626935656,-0.04607547456725043,1.0,-0.435993613300555,-0.42806092708518134,0.0
2018-10-10,-0.19800349641490791,-0.42595454660619725,-0.04641617471940004,1.0,-0.4361650915908688,-0.4271200182421648,0.0
2018-10-11,-0.17819168804004085,-0.42209716377399836,-0.022361114569585897,1.0,-0.4331283149480814,-0.43434846485221246,0.0
2018-10-12,-0.19119972329281548,-0.42039727245775277,-0.02102480482261093,1.0,-0.4199525644826564,-0.41802549659057214,0.0
2018-10-15,-0.17421620017802392,-0.45091979032736623,-0.0,1.0,-0.4225843141133419,-0.4248590643853229,0.0
2018-10-16,-0.1704385248942643,-0.4574212856471519,-0.0,1.0,-0.421656649600554,-0.4238579307956766,0.0
2018-10-17,-0.1556315660884437,-0.43146836061568533,-0.0,1.0,-0.42176887368678234,-0.43435133154165645,0.0
2018-10-18,-0.1559047805259556,-0.43247140482940655,-0.0,1.0,-0.42117997849252126,-0.43445107048587345,0.0
2018-10-19,-0.14600029141774734,-0.4246927971246783,-0.0,1.0,-0.42289572101607653,-0.4348924182816067,0.0
2018-10-22,-0.1459340018939854,-0.41905640676978373,-0.0,1.0,-0.42575820119952407,-0.43743777772381814,0.0
