Date,AXSM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.7739530804648103,-3.2492874369655778,-0.3092523569392677,-2.4568077176057885,-2.1732076299057224,0.0
2018-09-25,1.0,-1.7849379734328688,-3.2483258315951256,-0.32231858601383245,-2.4554835876605554,-2.167197277417938,0.0
2018-09-26,1.0,-1.7943379599030624,-3.2639347873981053,-0.3310200484688257,-2.46265697290152,-2.163582286847323,0.0
2018-09-27,1.0,-1.7934519885739397,-3.246429356185453,-0.33366293122390683,-2.4559437486266753,-2.1572181938035597,0.0
2018-09-28,1.0,-1.7943956043956044,-3.245934065934066,-0.33472527472527475,-2.4562637362637365,-2.1576923076923076,0.0
2018-10-01,1.0,-1.7947646282446106,-3.2501099868015837,-0.3361196656401232,-2.457655081390233,-2.1600307963044436,0.0
2018-10-02,1.0,-1.8235621314940484,-3.222494159528312,-0.36277672711091336,-2.507286683724552,-2.208588274557793,0.0
2018-10-03,1.0,-1.8320482735501176,-3.2466197340484975,-0.3678623309867024,-2.514917867918203,-2.2129846910269304,0.0
2018-10-04,1.0,-1.8515154955159494,-3.3155863321602905,-0.37382222726756725,-2.546600068112158,-2.2645022136451356,0.0
2018-10-05,1.0,-1.8089307752720747,-3.2789184337484576,-0.32974307191742397,-2.5408953214405923,-2.2610793223381576,0.0
2018-10-08,1.0,-1.8225696804894629,-3.3067074552458644,-0.31203263086335825,-2.5952866530704735,-2.293677770224337,0.0
2018-10-09,1.0,-1.8508129150446528,-3.3430272498282574,-0.3340966338447447,-2.616098007785665,-2.3054728646668194,0.0
2018-10-10,1.0,-1.8580972126238193,-3.369039391845197,-0.32838055747523615,-2.6336097673347156,-2.329071642478692,0.0
2018-10-11,1.0,-1.655858430424269,-3.343262255440756,-0.04792262035612222,-2.57166410200044,-2.372829193229281,0.0
2018-10-12,1.0,-1.7675645342312007,-3.4529741863075194,-0.02648709315375982,-2.6002244668911336,-2.376206509539843,0.0
2018-10-15,1.0,-1.6884706949325472,-3.6094547103503007,-0.0,-2.6203378301779847,-2.4184332842081395,0.0
2018-10-16,1.0,-1.68331415420023,-3.7139240506329116,-0.0,-2.6567318757192173,-2.4536248561565017,0.0
2018-10-17,1.0,-1.5616393081414561,-3.4858433403106757,-0.0,-2.5626308251624987,-2.4067423157430867,0.0
2018-10-18,1.0,-1.6249280036862113,-3.6233152862573434,-0.0,-2.7248012901739433,-2.5464808201820066,0.0
2018-10-19,1.0,-1.592879802608389,-3.6771237222418045,-0.0,-2.836564446011044,-2.6428151803548348,0.0
2018-10-22,1.0,-1.5950588235294116,-3.6527058823529406,-0.0,-2.8557647058823528,-2.6611764705882353,0.0
2018-10-23,1.0,-1.5944254163221923,-3.666942246368253,-0.0,-2.87315460021259,-2.6760363765206097,0.0
2018-10-24,1.0,-1.588923004251299,-3.655644780349551,-0.0,-2.878837978271138,-2.6858762399622105,0.0
2018-10-25,1.0,-1.3976063829787235,-3.379432624113475,-0.0,-2.82280585106383,-2.481715425531915,0.0
2018-10-26,1.0,-1.311972288374107,-3.291621563108898,-0.0,-2.8053691275167782,-2.415890885473046,0.0
2018-10-29,1.0,-1.231458490769729,-3.3411421785598616,-0.0,-2.7785814530929502,-2.444456439598402,0.0
2018-10-30,1.0,-1.216533735718905,-3.3362793705539984,-0.0,-2.774520370769562,-2.450959258460875,0.0
2018-10-31,1.0,-1.226445225167678,-3.2437985734057277,-0.0,-2.755775577557756,-2.4203129990418395,0.0
