Date,AB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22141053875490144,-0.4711822527797175,-0.04208519095450395,-0.4720685395069023,-0.47899769028307465,0.0
2018-09-25,1.0,-0.22141648537587624,-0.4711949077431311,-0.042086321274138534,-0.4720812182741117,-0.47901055515268715,0.0
2018-09-26,1.0,-0.22191184765383687,-0.47183798447530284,-0.043270392952109805,-0.47178426580000543,-0.47715613332975215,0.0
2018-09-27,1.0,-0.22388340133132917,-0.4667436117672321,-0.04474447068928495,-0.4717897788275714,-0.47697015245866436,0.0
2018-09-28,1.0,-0.22318552716340992,-0.4673341206785484,-0.045120249087395314,-0.47162873094266694,-0.47688962851621214,0.0
2018-10-01,1.0,-0.2242180158410525,-0.46650557121761305,-0.044972479527453355,-0.4722781581420325,-0.47692307692307695,0.0
2018-10-02,1.0,-0.22572848126762454,-0.4553511481133342,-0.049120451188398015,-0.475278635692225,-0.48019336645629107,0.0
2018-10-03,1.0,-0.22601966790262776,-0.45714439249825356,-0.049519049922080706,-0.47485087860712555,-0.47933795475307645,0.0
2018-10-04,1.0,-0.22816394499355394,-0.4533734422002579,-0.04998388483025355,-0.4774656209712076,-0.4768747314138376,0.0
2018-10-05,1.0,-0.21504481777682358,-0.4472653105039987,-0.03628361333261768,-0.49162685846170356,-0.49347861091728834,0.0
2018-10-08,1.0,-0.2144657798755632,-0.4464975327183008,-0.03545376528641923,-0.4920617893155975,-0.49334906672387907,0.0
2018-10-09,1.0,-0.21701304978250366,-0.4473175447075882,-0.040250255088341125,-0.4903603458460878,-0.49022608882444557,0.0
2018-10-10,1.0,-0.21690919830317348,-0.4472426569296032,-0.04003114428394995,-0.4904687751704881,-0.4901734414433765,0.0
2018-10-11,1.0,-0.19553926867206245,-0.4419340381218529,-0.013814558013234559,-0.48733226121114653,-0.4977459070417337,0.0
2018-10-12,1.0,-0.19267771949708742,-0.4431587548433011,-0.00827644376499117,-0.49091963414955586,-0.5007775639842905,0.0
2018-10-15,1.0,-0.20465461879362046,-0.43109625029854315,-0.019717113817901973,-0.49592654512644957,-0.5023220019637503,0.0
2018-10-16,1.0,-0.20207725459753192,-0.46320636025376766,-0.0,-0.5036003961774232,-0.5079904703268463,0.0
