Date,IWF,IWM,MTUM,PBD,SPY,VLUE,VXX
2018-09-24,-0.2787253020515177,-0.4700921696353758,-0.035867773062680755,1.0,-0.48282293158904777,-0.4354407114090331,0.0
2018-09-25,-0.2804874753425028,-0.4685870240765261,-0.03866836003999243,1.0,-0.4813683897640986,-0.43308022806496066,0.0
2018-09-26,-0.28063444027128537,-0.46875084438920267,-0.03907157718392824,1.0,-0.4812342943608312,-0.43235429219919486,0.0
2018-09-27,-0.28027148342436864,-0.47082364393488724,-0.03866745984533016,1.0,-0.4815315558920556,-0.43272402790546755,0.0
2018-09-28,-0.2788685164151658,-0.47214560008653794,-0.039131375412407375,1.0,-0.48139434258207586,-0.4327708367137217,0.0
2018-10-01,-0.2786973926214433,-0.47254679216704537,-0.03938115330520394,1.0,-0.48125608568646544,-0.4328681164124202,0.0
2018-10-02,-0.2786077730865,-0.476940565118545,-0.0384323914690917,1.0,-0.480459023492476,-0.43203962325430334,0.0
2018-10-03,-0.2782978032680446,-0.4716210366843415,-0.03776647548966562,1.0,-0.4822800562709664,-0.4353695487501352,0.0
2018-10-04,-0.2827210958014131,-0.4658780217102948,-0.03833139330283425,1.0,-0.48829214152296907,-0.4317966487101053,0.0
2018-10-05,-0.28291468168038114,-0.46741013425725425,-0.03529666522304028,1.0,-0.4895246860112603,-0.43162624512776093,0.0
2018-10-08,-0.2834073913514685,-0.46873306600195075,-0.03546656551425165,1.0,-0.4895957515985694,-0.43223691340630754,0.0
2018-10-09,-0.2836241465264983,-0.4687601603988295,-0.03581879267367508,1.0,-0.48940609082041836,-0.431803403056248,0.0
2018-10-10,-0.28447995666305526,-0.46768689057421453,-0.036809317443120264,1.0,-0.48986998916576385,-0.42971289274106184,0.0
2018-10-11,-0.26514124744213236,-0.4618512317627362,-0.010523798134417603,1.0,-0.48566265380424667,-0.4343458502750538,0.0
2018-10-12,-0.271874507330916,-0.4553838877502759,-0.008224289242734774,1.0,-0.4732776288822324,-0.4188344106363971,0.0
2018-10-15,-0.2690743025117451,-0.45904306973570247,-0.0035694601191569777,1.0,-0.47363586257578544,-0.41928033384950525,0.0
2018-10-16,-0.26649159663865546,-0.4667804621848739,-0.0,1.0,-0.4737132352941176,-0.4190651260504201,0.0
2018-10-17,-0.2596334097063112,-0.4531607998333681,-0.0,1.0,-0.47081337221412206,-0.42001666319516767,0.0
2018-10-18,-0.25991613928171475,-0.4540979764044066,-0.0,1.0,-0.4702971586321848,-0.42008490246633856,0.0
2018-10-19,-0.24965727735961302,-0.4446858591345283,-0.0,1.0,-0.4724657924006104,-0.41977703628980106,0.0
2018-10-22,-0.2502718094745017,-0.4476572611959617,-0.0,1.0,-0.471602381568729,-0.41913020968159465,0.0
2018-10-23,-0.25302857734520606,-0.44786705322012843,-0.0,1.0,-0.46955891488921103,-0.418098985297163,0.0
2018-10-24,-0.25237540453074436,-0.4488025889967638,-0.0,1.0,-0.4699546925566343,-0.4178640776699029,0.0
2018-10-25,-0.23535368879436933,-0.4233632082637096,-0.0,1.0,-0.4722264418451567,-0.40083042179350853,0.0
2018-10-26,-0.22957835116425426,-0.41792322215229705,-0.0,1.0,-0.4728508495909377,-0.39695405915670234,0.0
2018-10-29,-0.2215923343199719,-0.4197310991822606,-0.0,1.0,-0.46907138915366475,-0.39800832789845986,0.0
2018-10-30,-0.22676141214282128,-0.4203284286646914,-0.0,1.0,-0.46946718224275596,-0.3943905991061116,0.0
2018-10-31,-0.22695569270911736,-0.4189623162225902,-0.0,1.0,-0.46909027046013346,-0.39389833910381855,0.0
2018-11-01,-0.23140890362777608,-0.41644055873781527,-0.0,1.0,-0.4699778916691789,-0.3944829665360265,0.0
2018-11-02,-0.2315884657892093,-0.4159047523359791,-0.0,1.0,-0.469983924444891,-0.39432834321310156,0.0
2018-11-05,-0.22947897049591964,-0.4215442561205273,-0.0,1.0,-0.47040803515379787,-0.38955430006277464,0.0
2018-11-06,-0.2261359633673829,-0.4198661500528355,-0.0,1.0,-0.47466411714386353,-0.3953102198963418,0.0
2018-11-07,-0.22600362209477814,-0.41981084616158565,-0.0,1.0,-0.47434349532146086,-0.3951604789214206,0.0
2018-11-08,-0.21109306683322923,-0.41998750780762023,-0.0,1.0,-0.46908182386008745,-0.39827607745159277,0.0
2018-11-09,-0.20972705211278175,-0.4212303920342248,-0.0,1.0,-0.47194215806459683,-0.39891421280428313,0.0
2018-11-12,-0.20953361629454756,-0.4286108948439109,-0.0,1.0,-0.47190898359996986,-0.40146168721902703,0.0
2018-11-13,-0.18713771736957824,-0.42821806915850485,-0.0,1.0,-0.4805616630021987,-0.40258344993004197,0.0
