Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WD
2018-09-24,-0.1985582306830907,-1.0914403695408734,-0.0,-0.6053681410974244,-0.6041083426651735,0.0,1.0
2018-09-25,-0.19801806849219133,-1.092268366132082,-0.0,-0.6061348833951957,-0.6052244554940822,0.0,1.0
2018-09-26,-0.19901246673203532,-1.0933253957136855,-0.0,-0.6061423168510996,-0.603445860764813,0.0,1.0
2018-09-27,-0.20183999720152515,-1.0867877007031168,-0.0,-0.6062545912477699,-0.6032462308042117,0.0,1.0
2018-09-28,-0.19983195630864023,-1.090008402184568,-0.0,-0.6069528077300098,-0.604117070438314,0.0,1.0
2018-10-01,-0.20153436558537097,-1.0889441603026695,-0.0,-0.608176276886429,-0.6044629720451202,0.0,1.0
2018-10-02,-0.2030751987671185,-1.0840250779307206,-0.0,-0.6095057966446009,-0.6058982172253161,0.0,1.0
2018-10-03,-0.2025059498810024,-1.0779084418311633,-0.0,-0.6107727845443092,-0.6087078258434832,0.0,1.0
2018-10-04,-0.20767399523876207,-1.0711034869065956,-0.0,-0.6172454838257947,-0.6048522615880129,0.0,1.0
2018-10-05,-0.1918094442122858,-1.0661303802758042,-0.0,-0.6175999442819334,-0.6068045688814597,0.0,1.0
2018-10-08,-0.19025425202601648,-1.064762964766443,-0.0,-0.6173002678167716,-0.6058224061771765,0.0,1.0
2018-10-09,-0.1895106597572427,-1.065001912843877,-0.0,-0.6173964455882864,-0.605988940284492,0.0,1.0
2018-10-10,-0.18836477987421382,-1.0719776380153738,-0.0,-0.620020964360587,-0.6137316561844863,0.0,1.0
2018-10-11,-0.10506623521084033,-1.0610105504432534,-0.0,-0.5879259783597937,-0.6167458792597836,0.0,1.0
2018-10-12,-0.10059446713825514,-1.0547308292650526,-0.0,-0.5690611404470127,-0.5966590282620969,0.0,1.0
2018-10-15,-0.07882278941967094,-1.0724666468037212,-0.0,-0.5635779786142285,-0.5955904260601846,0.0,1.0
2018-10-16,-0.07872086864406778,-1.0726959745762712,-0.0,-0.5634931144067796,-0.595504502118644,0.0,1.0
2018-10-17,-0.06000844731797654,-1.0376555443646642,-0.0,-0.5544039767373858,-0.5968679944117743,0.0,1.0
2018-10-18,-0.05948610793692252,-1.0380684971758791,-0.0,-0.5650527278069803,-0.6022723562636717,0.0,1.0
2018-10-19,-0.04709051374419888,-1.0356343101937493,-0.0,-0.5630415733618926,-0.5996170447538377,0.0,1.0
2018-10-22,-0.0484200954762446,-1.03721625044653,-0.0,-0.5625953950573183,-0.5992270970675153,0.0,1.0
2018-10-23,-0.05776937864520543,-1.0415105405493466,-0.0,-0.5598383891042976,-0.5991984620898635,0.0,1.0
2018-10-24,-0.054832411324438654,-1.0383338756915066,-0.0,-0.5600715912788806,-0.6009437032216075,0.0,1.0
2018-10-25,-0.027341532639545887,-1.0012298959318826,-0.0,-0.552948596657206,-0.5720592872910754,0.0,1.0
2018-10-26,-0.01575564707350555,-0.9879258704605015,-0.0,-0.5531636091351554,-0.5630537875951578,0.0,1.0
2018-10-29,-0.0,-0.9997514138338203,-0.0,-0.539307687527189,-0.5682679758871418,0.0,1.0
2018-10-30,-0.0,-0.9978251413658112,-0.0,-0.5364754862362517,-0.5726402783819052,0.0,1.0
2018-10-31,-0.0,-0.9871169055857637,-0.0,-0.5336443400889768,-0.5687098368759268,0.0,1.0
2018-11-01,-0.0,-1.300068249033139,-0.0,-0.7329566997800866,-0.758625919466141,0.0,1.0
2018-11-02,-0.0,-1.3709645707994182,-0.0,-0.7615115410325981,-0.7996932877197122,0.0,1.0
2018-11-05,-0.0,-1.3737766772786228,-0.0,-0.7606807373344339,-0.7958574067523484,0.0,1.0
2018-11-06,-0.0,-1.3820927214816565,-0.0,-0.7595061145845622,-0.7906098855727263,0.0,1.0
2018-11-07,-0.0,-1.4028494817305,-0.0,-0.7873694321046945,-0.8118621683275303,0.0,1.0
2018-11-08,-0.0,-1.3930111994934502,-0.0,-0.7607344968142783,-0.8036724840713918,0.0,1.0
2018-11-09,-0.0,-1.3930635838150287,-0.0,-0.7624515005146884,-0.803626573758809,0.0,1.0
2018-11-12,-0.0,-1.3946993106726884,-0.0,-0.7626574756358451,-0.8042944299183901,0.0,1.0
2018-11-13,-0.0,-1.3867535628754268,-0.0,-0.7497153625691964,-0.7895646028817087,0.0,1.0
2018-11-14,-0.0,-1.3862583431488027,-0.0,-0.7504907734589713,-0.7894385551629368,0.0,1.0
2018-11-15,-0.0,-1.386041225801395,-0.0,-0.7500195940120699,-0.7827415941688219,0.0,1.0
