Date,IIIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.46962335636282593,-1.441274793848897,-0.0,-0.7707154000445733,-0.7757075997325608,0.0
2018-09-25,1.0,-0.46872769450392576,-1.4427194860813706,-0.0,-0.7720378301213419,-0.7776142041399,0.0
2018-09-26,1.0,-0.46786575024546995,-1.4424707667589038,-0.0,-0.7726501829867,-0.7801481745960903,0.0
2018-09-27,1.0,-0.46820190119159194,-1.4418708439326995,-0.0,-0.7726603293613603,-0.7801579863435534,0.0
2018-09-28,1.0,-0.47171328983823396,-1.4411475556349986,-0.0,-0.774331933148628,-0.7814818124944142,0.0
2018-10-01,1.0,-0.4720057332258354,-1.4465645435814747,-0.0,-0.7760906566335215,-0.7843769595986743,0.0
2018-10-02,1.0,-0.47171085205023183,-1.4726560741774317,-0.0,-0.7745420173740829,-0.7821938155466533,0.0
2018-10-03,1.0,-0.47189595427748526,-1.4711309122001712,-0.0,-0.7746726069933846,-0.782593042617344,0.0
2018-10-04,1.0,-0.4719482399782825,-1.484616776762284,-0.0,-0.7751334720839743,-0.7927336892588907,0.0
2018-10-05,1.0,-0.4508082308973839,-1.4785447341167994,-0.0,-0.7761718222342293,-0.7971092800216127,0.0
2018-10-08,1.0,-0.44858594487657927,-1.4763724652668495,-0.0,-0.7757295085652623,-0.7955127916910211,0.0
2018-10-09,1.0,-0.4464325855325271,-1.476509463651486,-0.0,-0.7761992536977926,-0.7967000854201323,0.0
2018-10-10,1.0,-0.44771021527122373,-1.4756640151004448,-0.0,-0.7768639611702844,-0.7939418453103232,0.0
2018-10-11,1.0,-0.3392280150205222,-1.4787354816173262,-0.0,-0.7405030128373068,-0.8079207056152301,0.0
2018-10-12,1.0,-0.337305855526395,-1.4734328615066903,-0.0,-0.7127307146237577,-0.7789011745471756,0.0
2018-10-15,1.0,-0.2964923606627932,-1.5183989670755327,-0.0,-0.7065633742199269,-0.7823972455347536,0.0
2018-10-16,1.0,-0.2975462763667671,-1.5173052087817478,-0.0,-0.7070598364184245,-0.7828669823504089,0.0
2018-10-17,1.0,-0.27140624339965363,-1.4720145313226038,-0.0,-0.6954336163561864,-0.7853672960756981,0.0
2018-10-18,1.0,-0.2704772381113556,-1.4704687764427145,-0.0,-0.7018954137755965,-0.7880352005415469,0.0
2018-10-19,1.0,-0.43468468468468463,-1.7032532532532532,-0.0,-0.8927427427427427,-0.9742742742742743,0.0
2018-10-22,1.0,-0.4350240096038416,-1.6959283713485396,-0.0,-0.8949079631852742,-0.976140456182473,0.0
2018-10-23,1.0,-0.4502262443438914,-1.7047762694821518,-0.0,-0.8939668174962293,-0.9786827551533435,0.0
2018-10-24,1.0,-0.4502271580010096,-1.7180716809692074,-0.0,-0.8981827359919233,-0.9814740030287733,0.0
2018-10-25,1.0,-0.3881137709893768,-1.6554560140989867,-0.0,-0.9156018994468106,-0.9363097860674597,0.0
2018-10-26,1.0,-0.3612628728907798,-1.632790214185563,-0.0,-0.9197891988589662,-0.9210462698834792,0.0
