Date,IWF,IWM,MTUM,SPY,VFF,VLUE,VXX
2019-10-21,-0.9582525526689932,-0.8735944164404809,-4.67338761793977,-3.6854077807935894,1.0,-1.7343931756494768,0.0
2019-10-22,-0.9414274631497284,-0.8674683216964054,-4.689552624773726,-3.698862167054564,1.0,-1.7326092578226016,0.0
2019-10-23,-0.8582400416558188,-0.8933871387659463,-4.635251236657121,-3.755141890132778,1.0,-1.8755532413434004,0.0
2019-10-24,-0.8602979613173026,-0.8929691583899634,-4.648196549921589,-3.7906429691583896,1.0,-1.8765028750653423,0.0
2019-10-25,-0.8691527210436159,-0.8796942943734353,-4.739227829753591,-3.8174990117275005,1.0,-1.871524575042825,0.0
2019-10-28,-0.9037341101694916,-0.9134004237288135,-4.778998940677966,-3.8783103813559316,1.0,-1.7670815677966103,0.0
2019-10-29,-0.8829519904774501,-0.9084777145880175,-4.791826477979104,-3.898426134109245,1.0,-1.7439492130670549,0.0
2019-10-30,-0.9202184336707513,-0.8814597762386789,-4.818726691529036,-3.9348694725626006,1.0,-1.763985082578583,0.0
2019-10-31,-0.9075775735783727,-0.8997203355972831,-4.7963776801171925,-3.9272872552936473,1.0,-1.7862564922093487,0.0
2019-11-01,-0.9273236431524203,-0.8933191092145618,-4.791438858514469,-3.953060408054407,1.0,-1.7698359781304174,0.0
2019-11-04,-0.9336253816540556,-0.8515863533784681,-4.816806053365194,-3.950882782424001,1.0,-1.7220230983671845,0.0
2019-11-05,-0.9382470119521912,-0.8564409030544489,-4.83691899070385,-3.9471447543160685,1.0,-1.701460823373174,0.0
2019-11-06,-0.9214525891055817,-0.8715534633490248,-4.8633490248823135,-4.021250840618696,1.0,-1.7722932078009415,0.0
2019-11-07,-0.9246095853527195,-0.8863758750673129,-4.855681206246635,-4.0242326332794836,1.0,-1.7716747442110932,0.0
2019-11-08,-0.9268658752899442,-0.8999863555737483,-4.960294719607041,-4.085550552599263,1.0,-1.7715923045435942,0.0
2019-11-11,-0.9318340550356196,-0.9038971923452996,-5.140522419332309,-4.1741863388741445,1.0,-1.8181310238860175,0.0
2019-11-12,-0.9240863552984339,-0.9017920135459291,-5.193593904331875,-4.2463665867080564,1.0,-1.844504021447721,0.0
2019-11-13,-0.9142775638282699,-0.9112822707174439,-5.254029382399087,-4.305091998288403,1.0,-1.878761945514192,0.0
2019-11-14,-0.9201789838337183,-0.9247979214780602,-5.252742494226329,-4.379618937644342,1.0,-1.9569861431870672,0.0
2019-11-15,-0.9101042269832078,-0.9295020266357846,-5.281991893456861,-4.387376954255935,1.0,-1.9669947886508397,0.0
2019-11-18,-0.8817806603773585,-0.984817216981132,-5.453272405660377,-4.473319575471699,1.0,-1.9475235849056602,0.0
2019-11-19,-0.8769026156346978,-0.9957144968228167,-5.465494310625093,-4.487069602482637,1.0,-1.9522683611644749,0.0
2019-11-20,-0.875277407900577,-1.009025003698772,-5.4867583962124575,-4.490309217339843,1.0,-1.9338659565024412,0.0
2019-11-21,-0.9144889438688726,-1.0624710066491416,-5.79155713623009,-4.748878923766815,1.0,-1.9457244471934434,0.0
2019-11-22,-0.9167313966133293,-1.0301382631660712,-5.779866397390089,-4.807052974988348,1.0,-2.0015535187199007,0.0
2019-11-25,-0.9778238672622845,-1.032865347798341,-5.963465220165922,-4.9545309508615185,1.0,-2.025366943203574,0.0
2019-11-26,-0.9869774919614148,-0.8469453376205788,-6.051607717041801,-5.078135048231511,1.0,-2.1133440514469455,0.0
2019-11-27,-0.9714562167392355,-0.8435736171585229,-6.098209966134494,-5.1086921464279955,1.0,-2.1044992743105952,0.0
2019-11-29,-0.9650993698497333,-0.8230731943771207,-6.1211827435773145,-5.1224753595088055,1.0,-2.1258684763289706,0.0
2019-12-02,-0.9671998707384067,-0.8109549200193892,-6.124252706414606,-5.13540151882372,1.0,-2.1198901276458235,0.0
2019-12-03,-0.905880472994567,-0.7898689677213168,-6.0410674336848835,-5.111697027804411,1.0,-2.1310322786832856,0.0
