Date,AMZN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5872025090707829,-0.4107680954430846,-0.38463194145501506,-0.44047106574011435,-0.2517372855297952,0.0
2018-09-25,1.0,-0.5899138991389914,-0.40900984009840097,-0.38865313653136535,-0.43874538745387454,-0.24867773677736776,0.0
2018-09-26,1.0,-0.5932469935245144,-0.4145235892691952,-0.3936170212765958,-0.4395312981806969,-0.24261486278137528,0.0
2018-09-27,1.0,-0.5943422390681335,-0.4109272441527225,-0.3945641120458537,-0.4393701272688053,-0.24239622815937872,0.0
2018-09-28,1.0,-0.5983138260090795,-0.41045674932830983,-0.393965597109416,-0.4413390568543282,-0.24415552330070106,0.0
2018-10-01,1.0,-0.599616858237548,-0.4095600049437647,-0.3935854653318502,-0.44252873563218387,-0.24456185885551848,0.0
2018-10-02,1.0,-0.5993015205835084,-0.4113302015082211,-0.39312646804302137,-0.44226727654839904,-0.24459142044752133,0.0
2018-10-03,1.0,-0.6004460828351043,-0.4200923143644869,-0.3940708156500728,-0.44137418295591835,-0.2418140701960906,0.0
2018-10-04,1.0,-0.6055560723033517,-0.4135119213716553,-0.3944129228288841,-0.4489504852261806,-0.23805537469382695,0.0
2018-10-05,1.0,-0.6061834612527853,-0.4108999752413964,-0.3928880911116613,-0.4491520178261946,-0.23573285466699678,0.0
2018-10-08,1.0,-0.6056943242240633,-0.40923704711264997,-0.3918325707926302,-0.4497650550265859,-0.23485223197724742,0.0
2018-10-09,1.0,-0.607931695848543,-0.4096083647837654,-0.3959970302542845,-0.4480913196807524,-0.23182577491802267,0.0
2018-10-10,1.0,-0.6088381729906918,-0.4085103751121007,-0.39700652503324363,-0.4483099854655657,-0.22976775829545104,0.0
2018-10-11,1.0,-0.6049651034651646,-0.40195298151095876,-0.38753520264478997,-0.4429411044447165,-0.22373576588710664,0.0
2018-10-12,1.0,-0.6129619515747315,-0.3938345773408581,-0.3891923053583349,-0.43142787790521275,-0.20674798228047822,0.0
2018-10-15,1.0,-0.6196048632218845,-0.38696048632218843,-0.39519756838905773,-0.43264437689969604,-0.2051367781155015,0.0
2018-10-16,1.0,-0.6207274054251307,-0.38359080403843815,-0.3980659287191339,-0.43291570368568294,-0.20569273810971903,0.0
2018-10-17,1.0,-0.6140250511863181,-0.3643863663735999,-0.3922377453932313,-0.43119956642177526,-0.20911116463928697,0.0
2018-10-18,1.0,-0.6129061399018338,-0.3625222078352254,-0.3932969978018007,-0.4331958204101298,-0.20931072901924178,0.0
2018-10-19,1.0,-0.6156413494497565,-0.36033435564375493,-0.39277767755126586,-0.43282819171327197,-0.20518371519634374,0.0
2018-10-22,1.0,-0.6164091155071852,-0.35731465335818646,-0.3893031086525163,-0.435542060008418,-0.2078648307377788,0.0
2018-10-23,1.0,-0.619322625278229,-0.3573662997052277,-0.39532575347410215,-0.4305781146604103,-0.2053179329844192,0.0
2018-10-24,1.0,-0.620414912808178,-0.35655441972339147,-0.39494888755261576,-0.43051713770294653,-0.20417919422730005,0.0
2018-10-25,1.0,-0.6166562416227326,-0.34405623566556465,-0.3956453102195217,-0.4290054508086856,-0.1932207428588449,0.0
2018-10-26,1.0,-0.6251701709272425,-0.3597942822568446,-0.402359703524429,-0.4317954923612161,-0.20614127968537288,0.0
2018-10-29,1.0,-0.6540685025175607,-0.36759495244607443,-0.40809349163921177,-0.46565549822838315,-0.21265618201031886,0.0
2018-10-30,1.0,-0.6901649203887182,-0.3829571713462695,-0.42182900193092965,-0.47712956221708713,-0.19337786078313443,0.0
2018-10-31,1.0,-0.697449317400763,-0.3615096005296844,-0.42239177728032284,-0.4798688400542296,-0.19166377652363084,0.0
2018-11-01,1.0,-0.706096364959347,-0.3538865512986808,-0.43025720522635963,-0.4808440633996646,-0.19254009933879593,0.0
