Date,IWF,IWM,MTUM,NEA,SPY,VLUE,VXX
2018-09-24,-0.11757466906139827,-0.2179704649770505,-0.0,1.0,-0.18120135701456797,-0.14627818798642986,0.0
2018-09-25,-0.11603020352374445,-0.21985898354808062,-0.0,1.0,-0.18260463720767423,-0.14838397813078194,0.0
2018-09-26,-0.11521844295794621,-0.2194772048642968,-0.0,1.0,-0.18301166029993163,-0.15043288237943517,0.0
2018-09-27,-0.1165124614486955,-0.21688755522213887,-0.0,1.0,-0.18321246978411268,-0.15048762190547638,0.0
2018-09-28,-0.11756265225080922,-0.21658824707177898,-0.0,1.0,-0.18356859211799648,-0.15079921246704708,0.0
2018-10-01,-0.11720773253579723,-0.2183589246629129,-0.0,1.0,-0.1837563282150674,-0.15149287397035974,0.0
2018-10-02,-0.11723307868474281,-0.2192708246268033,-0.0,1.0,-0.18369803246351615,-0.1514518312967018,0.0
2018-10-03,-0.11698056451478135,-0.21689867811962096,-0.0,1.0,-0.18442821571216098,-0.1528601748023864,0.0
2018-10-04,-0.1208813286900616,-0.21291521564425395,-0.0,1.0,-0.1899611572461827,-0.1504821859094562,0.0
2018-10-05,-0.12800445291547893,-0.2208241267056859,-0.0,1.0,-0.18983925649805183,-0.14802570546662844,0.0
2018-10-08,-0.12750648737909884,-0.22009907997169145,-0.0,1.0,-0.18981902739864523,-0.1476089374178546,0.0
2018-10-09,-0.13023750084339789,-0.22105458471088318,-0.0,1.0,-0.18941029620133593,-0.14611024897105457,0.0
2018-10-10,-0.1313233508700931,-0.22037299338999056,-0.0,1.0,-0.19000404694455686,-0.14452650748684742,0.0
2018-10-11,-0.11174507127941202,-0.2113718203791703,-0.0,1.0,-0.1791933176578917,-0.14196688425933537,0.0
2018-10-12,-0.11556925072980863,-0.20587090496269866,-0.0,1.0,-0.1695913071683425,-0.13078170613039247,0.0
2018-10-15,-0.1069932896758024,-0.2127091923356779,-0.0,1.0,-0.16715983507154983,-0.1300832726978737,0.0
2018-10-16,-0.10681715283616841,-0.21300368669555658,-0.0,1.0,-0.16711402884677576,-0.13003686695556563,0.0
2018-10-17,-0.10179966696554374,-0.20276674779044448,-0.0,1.0,-0.16523632637376712,-0.1313244524144998,0.0
2018-10-18,-0.10125892942947752,-0.20168497933818114,-0.0,1.0,-0.16700836082903547,-0.13173911650703143,0.0
2018-10-19,-0.09658765965558873,-0.1960030501366207,-0.0,1.0,-0.16624833195653554,-0.1297578954057317,0.0
2018-10-22,-0.09657791052364005,-0.19458566344687342,-0.0,1.0,-0.16702147941026946,-0.13052872394509404,0.0
