Date,BOTZ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25298799747315226,-0.3591661402400505,-0.1745041061276058,-0.3718003790271636,-0.36841440303221734,0.0
2018-09-25,1.0,-0.25415550952356897,-0.3580558783408276,-0.1764007477390997,-0.37076239074420253,-0.3667458192290204,0.0
2018-09-26,1.0,-0.2539161192521476,-0.3578575037897928,-0.1756189994946943,-0.37109651339060135,-0.3680141485598788,0.0
2018-09-27,1.0,-0.2549871218625322,-0.35478006161304987,-0.17648098580879754,-0.3710166153224585,-0.3678349578304126,0.0
2018-09-28,1.0,-0.25284858896945506,-0.3572926404082767,-0.17687779490159422,-0.37123872565119626,-0.36820696798969205,0.0
2018-10-01,1.0,-0.25238227636933497,-0.35851679599625913,-0.17710992594090438,-0.37107903849556406,-0.3685261481687436,0.0
2018-10-02,1.0,-0.25431274346132443,-0.3448677088076086,-0.18196994991652754,-0.3752719178428694,-0.3730459857337987,0.0
2018-10-03,1.0,-0.25430631086379163,-0.3445048691033262,-0.18196534716074367,-0.3753636018717592,-0.37323890223852285,0.0
2018-10-04,1.0,-0.2581094074186529,-0.3393046910581448,-0.18232882951267648,-0.3805222407772886,-0.36994585294266485,0.0
2018-10-05,1.0,-0.2559866626250379,-0.33762756390825505,-0.1802313832474487,-0.3813529352328988,-0.370794180054562,0.0
2018-10-08,1.0,-0.2559614024451854,-0.33770334444781247,-0.18015560270789127,-0.3813529352328988,-0.3708447004142669,0.0
2018-10-09,1.0,-0.25770902840966536,-0.33798402588211507,-0.1837781821858255,-0.37978970781518556,-0.3682893539581438,0.0
2018-10-10,1.0,-0.2568967701076631,-0.34135528815706145,-0.18143128562381255,-0.38064597846738446,-0.37291956934768844,0.0
2018-10-11,1.0,-0.25374981061562546,-0.3396798141508005,-0.17726377455684056,-0.38104136154739665,-0.37336498156658754,0.0
2018-10-12,1.0,-0.2562399759422614,-0.3344777465918204,-0.17717522052927023,-0.3734212109061748,-0.36470028067361665,0.0
2018-10-15,1.0,-0.26169609000276234,-0.3271640591647623,-0.18319479671530098,-0.37477712764621685,-0.36440571557720797,0.0
2018-10-16,1.0,-0.26118728341117975,-0.32908944804379486,-0.1817588267791673,-0.37481793983225353,-0.36432122947114653,0.0
2018-10-17,1.0,-0.25947259021812624,-0.32498560016027644,-0.1804612957351431,-0.37437078961208087,-0.36502967619143023,0.0
2018-10-18,1.0,-0.25877050206585706,-0.32385125829472894,-0.18104419681983225,-0.37533491924377116,-0.3650682358833104,0.0
2018-10-19,1.0,-0.26042320339365943,-0.3271417455257411,-0.18030071035919576,-0.3762644644694897,-0.3659730414920053,0.0
2018-10-22,1.0,-0.26015668156480687,-0.32847888314166623,-0.181665243810576,-0.3753326972329634,-0.36526389795610903,0.0
2018-10-23,1.0,-0.2619328596178472,-0.32814422376779573,-0.18557762322042837,-0.3718833956863434,-0.3633213649032063,0.0
2018-10-24,1.0,-0.26123906265714575,-0.33098662375540583,-0.18734285426933522,-0.37207080358040834,-0.3626923463743337,0.0
2018-10-25,1.0,-0.2591376284783154,-0.32797693657558286,-0.18653797944346956,-0.3722486838806719,-0.36101779894710456,0.0
2018-10-26,1.0,-0.2539824994390846,-0.32381023608306536,-0.17901927056066613,-0.37750853837907916,-0.3586617804701718,0.0
2018-10-29,1.0,-0.25049133019877107,-0.32507401049829593,-0.1763564445107844,-0.3758738214294599,-0.359952235241436,0.0
2018-10-30,1.0,-0.2561829095165749,-0.32514756793106026,-0.17964683320465244,-0.37538292944135887,-0.3542377524843715,0.0
2018-10-31,1.0,-0.2553212901927238,-0.34154380315000255,-0.17629446988376188,-0.38157298847682786,-0.36124389875710766,0.0
2018-11-01,1.0,-0.2647668131979182,-0.33303016522661816,-0.18470516901621947,-0.38226971855894093,-0.36165428730230914,0.0
2018-11-02,1.0,-0.2678270068764011,-0.3224352031434977,-0.18271580060955642,-0.38585929825445203,-0.35999093221833206,0.0
