Date,IWF,IWM,MTUM,PSF,SPY,VLUE,VXX
2018-09-24,-0.16726593967973277,-0.3204636997740446,-0.0,1.0,-0.2577659888004716,-0.21931427448668828,0.0
2018-09-25,-0.1672594368355898,-0.32052818769527025,-0.0,1.0,-0.25782554872177793,-0.21939046196773498,0.0
2018-09-26,-0.16607293983349405,-0.3202975850735106,-0.0,1.0,-0.2587730520183432,-0.22301167116062112,0.0
2018-09-27,-0.16604330708661416,-0.32055118110236225,-0.0,1.0,-0.2588188976377953,-0.22309055118110235,0.0
2018-09-28,-0.16493708524506231,-0.3219187523383809,-0.0,1.0,-0.25896461414252797,-0.22334245712147768,0.0
2018-10-01,-0.16531432172680008,-0.3215495509689617,-0.0,1.0,-0.2591972585473452,-0.2233732472034032,0.0
2018-10-02,-0.16702781498699867,-0.3152233866519581,-0.0,1.0,-0.2616815065794658,-0.2259475218658892,0.0
2018-10-03,-0.1674190305348026,-0.31699816672908987,-0.0,1.0,-0.26150722466439313,-0.22535433381300637,0.0
2018-10-04,-0.16794780826237776,-0.31610690633869437,-0.0,1.0,-0.26208215074109115,-0.2248502049826553,0.0
2018-10-05,-0.16843971631205673,-0.3174152876280536,-0.0,1.0,-0.261150512214342,-0.22302994483845545,0.0
2018-10-08,-0.16653555695405917,-0.31501730648206416,-0.0,1.0,-0.26282252989301447,-0.22227029578351162,0.0
2018-10-09,-0.16487384712198383,-0.3148217340858587,-0.0,1.0,-0.2633969833434937,-0.22341743525201077,0.0
2018-10-10,-0.16490062319381918,-0.31460475357304346,-0.0,1.0,-0.26337311026795374,-0.22305227357618893,0.0
2018-10-11,-0.1403824780592496,-0.3045261181159698,-0.0,1.0,-0.2506610968458974,-0.2206530487103821,0.0
2018-10-12,-0.1406463359126081,-0.2998027613412229,-0.0,1.0,-0.2435897435897436,-0.2125056895766955,0.0
2018-10-15,-0.12091286464355441,-0.3201091798244783,-0.0,1.0,-0.24061262012623919,-0.21386735409519117,0.0
