Date,IWF,IWM,LKFN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.13336300252188105,-0.6505958562033328,1.0,-0.07100825792414578,-0.30428225288038374,-0.3131830094446917,0.0
2018-09-25,-0.13200516693163752,-0.6566722972972973,1.0,-0.06587837837837839,-0.3096929650238474,-0.3198529411764706,0.0
2018-09-26,-0.1321228078891152,-0.6568880719360127,1.0,-0.06624770232003577,-0.30952854091112325,-0.3191663768691937,0.0
2018-09-27,-0.13100077308661062,-0.6657273248709444,1.0,-0.06429088007182224,-0.31157884236514627,-0.32122995585924835,0.0
2018-09-28,-0.12993814844373505,-0.666550279329609,1.0,-0.06464485235434957,-0.3115522745411014,-0.3213038707102953,0.0
2018-10-01,-0.13047165340583144,-0.6659267203751278,1.0,-0.06464968947197765,-0.31184994886887984,-0.3213029705933704,0.0
2018-10-02,-0.13047930664135673,-0.6742013637385419,1.0,-0.062292379548917254,-0.3107625446462023,-0.3199540425106776,0.0
2018-10-03,-0.13051622087360457,-0.6732349341924527,1.0,-0.062311131090632105,-0.31100621862590844,-0.320396593491671,0.0
2018-10-04,-0.12919715345294178,-0.679963917009121,1.0,-0.06204269820587351,-0.3093865891550566,-0.32517289766462865,0.0
2018-10-05,-0.11827876426662672,-0.6768312479708298,1.0,-0.05292075622486951,-0.31585125246622214,-0.33355810294448196,0.0
2018-10-08,-0.11728025541255113,-0.675646014167415,1.0,-0.051531477601516516,-0.31672154045694906,-0.3330839070138681,0.0
2018-10-09,-0.11491668540308277,-0.6777086612206151,1.0,-0.04416797821579355,-0.32174173724050065,-0.3396537510305029,0.0
2018-10-10,-0.11581497577301564,-0.6768320095908886,1.0,-0.04535691093461212,-0.3222688445976323,-0.33735451321244814,0.0
2018-10-11,-0.08217671781839507,-0.6851969504447268,1.0,-0.004129606099110547,-0.3179307985534161,-0.35411983188349133,0.0
2018-10-12,-0.0783797616436353,-0.6894543150300991,1.0,-0.0002924617971777437,-0.31641929272988717,-0.35263581194706445,0.0
2018-10-15,-0.05009638613015788,-0.7210414582367438,1.0,-0.0,-0.3131207144774407,-0.3558966350259877,0.0
2018-10-16,-0.04618802333813441,-0.7278763762419744,1.0,-0.0,-0.312232990747748,-0.35493005883358153,0.0
2018-10-17,-0.03362601312234658,-0.7067493245851022,1.0,-0.0,-0.3104496333461984,-0.3613469702817445,0.0
2018-10-18,-0.033187815055112035,-0.7060852367284919,1.0,-0.0,-0.31120812329659203,-0.3614239888087601,0.0
2018-10-19,-0.026592291601548412,-0.7073164867399196,1.0,-0.0,-0.31004303815729367,-0.3604145127551634,0.0
2018-10-22,-0.028439105579274912,-0.7162602214342572,1.0,-0.0,-0.30844007043442606,-0.359022601731915,0.0
2018-10-23,-0.02385854426547172,-0.719171611965605,1.0,-0.0,-0.31539299987889063,-0.36378830083565455,0.0
2018-10-24,-0.022223836153678556,-0.7199264047255912,1.0,-0.0,-0.3150555595903842,-0.3636671750550754,0.0
2018-10-25,-0.023273969260795318,-0.7309587704318127,1.0,-0.0,-0.3160282995852647,-0.36935838009270555,0.0
2018-10-26,-0.04422153505794806,-0.7547577745933579,1.0,-0.0,-0.32566558563994263,-0.3893958820423863,0.0
2018-10-29,-0.022925079635807272,-0.7692944392886704,1.0,-0.0,-0.31756502545837617,-0.3984549399282651,0.0
2018-10-30,-0.019985957169366565,-0.7692211244295101,1.0,-0.0,-0.3176187371483023,-0.40082250865138674,0.0
2018-10-31,-0.020312069526886564,-0.7670999574222956,1.0,-0.0,-0.3170786685701405,-0.4000801462669371,0.0
2018-11-01,-0.009358188414863005,-0.7756286750907043,1.0,-0.0,-0.31680220192668584,-0.40037532841236084,0.0
2018-11-02,-0.013925911163149897,-0.7555118208315686,1.0,-0.0,-0.3242320819112628,-0.3975735532248823,0.0
2018-11-05,-0.009721322099805573,-0.7684580487561694,1.0,-0.0,-0.3261628196819383,-0.38830450171992625,0.0
2018-11-06,-0.01408520928377334,-0.7717697504549648,1.0,-0.0,-0.32336150375190087,-0.3837160022935208,0.0
2018-11-07,-0.014918286770953072,-0.7729271827677545,1.0,-0.0,-0.3258533659853066,-0.3851766704982758,0.0
2018-11-08,-0.0,-0.7752259410070513,1.0,-0.0,-0.3180554176184328,-0.38958685072996324,0.0
2018-11-09,-0.0,-0.7755274471310356,1.0,-0.0,-0.31992246713550854,-0.3896026440694814,0.0
2018-11-12,-0.0,-0.7665419773577428,1.0,-0.0,-0.3230361433844477,-0.38766814477171946,0.0
