Date,IWF,IWM,KALU,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2769333861289635,-0.705034875574914,1.0,-0.06308062501903688,-0.48853217995187476,-0.5123511315524961,0.0
2018-09-25,-0.2778454418123135,-0.7039157176785823,1.0,-0.06470373302478534,-0.4875464344437002,-0.510870227148164,0.0
2018-09-26,-0.2779587735590537,-0.7041074201504126,1.0,-0.06500624181712998,-0.4874402460189386,-0.5102761623481411,0.0
2018-09-27,-0.2784879474068663,-0.7022461650840028,1.0,-0.06558923788653517,-0.4872473825176528,-0.5100438276113952,0.0
2018-09-28,-0.27671232876712326,-0.7038964992389649,1.0,-0.0661187214611872,-0.4872146118721461,-0.5101674277016742,0.0
2018-10-01,-0.27658538070447836,-0.7041434529789631,1.0,-0.06639875787743173,-0.48707644533747374,-0.510214022589582,0.0
2018-10-02,-0.27924056805022246,-0.6865362345340404,1.0,-0.07286524044615104,-0.4926860486377766,-0.5161821173889194,0.0
2018-10-03,-0.27901663315664416,-0.6832388959970755,1.0,-0.07259489429111071,-0.4935721684030951,-0.5179126302321331,0.0
2018-10-04,-0.27800323436975555,-0.6876087022854178,1.0,-0.07265126781191834,-0.492173435449913,-0.5208860952613431,0.0
2018-10-05,-0.2753512755646317,-0.6890487366271449,1.0,-0.06815203145478375,-0.49324880368191654,-0.5221737937760981,0.0
2018-10-08,-0.2763358778625954,-0.6917557251908397,1.0,-0.06876335877862595,-0.4932213740458015,-0.5233587786259541,0.0
2018-10-09,-0.2746571367482208,-0.6925990408992333,1.0,-0.06414368184733804,-0.4959528391215369,-0.5271083417331012,0.0
2018-10-10,-0.27398391388115845,-0.6950671274350898,1.0,-0.06229548304229487,-0.49652894583932233,-0.5303220281965809,0.0
2018-10-11,-0.2416033047955457,-0.696222235526552,1.0,-0.020056277315452314,-0.49048075196072555,-0.5451415913308986,0.0
2018-10-12,-0.24902228016117564,-0.6928182033657265,1.0,-0.0173026783598009,-0.47514221379473814,-0.5284723868215218,0.0
2018-10-15,-0.23043439637558852,-0.7215066181042906,1.0,-0.0,-0.47558556157650056,-0.5336235231411566,0.0
2018-10-16,-0.22423146473779385,-0.7331693000918982,1.0,-0.0,-0.47457978833782943,-0.5324756173479975,0.0
2018-10-17,-0.21762939409998233,-0.7213389860448683,1.0,-0.0,-0.4717070011187658,-0.5334452099157981,0.0
2018-10-18,-0.21650823640550276,-0.7197555647399185,1.0,-0.0,-0.4793056621597686,-0.5365176831788393,0.0
2018-10-19,-0.2640496399176955,-0.8246849279835392,1.0,-0.0,-0.533886316872428,-0.592431841563786,0.0
2018-10-22,-0.26392867488493355,-0.8127715729505295,1.0,-0.0,-0.5421159354984068,-0.5998261933116611,0.0
2018-10-23,-0.27455349933791945,-0.8172657688208507,1.0,-0.0,-0.5384814132997447,-0.5993928236927946,0.0
2018-10-24,-0.2729767246666882,-0.8129580010975885,1.0,-0.0,-0.5396584562740098,-0.6026406688833651,0.0
2018-10-25,-0.24798285426122038,-0.7810451336359052,1.0,-0.0,-0.5423915784165405,-0.5803706505295008,0.0
2018-10-26,-0.23839173967459323,-0.7720588235294118,1.0,-0.0,-0.5442428035043805,-0.574217772215269,0.0
2018-10-29,-0.23229010494752625,-0.7744565217391305,1.0,-0.0,-0.541947776111944,-0.5747751124437781,0.0
2018-10-30,-0.23757424195060955,-0.7749921850578305,1.0,-0.0,-0.5423257267896218,-0.5710847139731166,0.0
2018-10-31,-0.24432348367029547,-0.7540279937791602,1.0,-0.0,-0.5436702954898911,-0.568398133748056,0.0
