Date,CSTE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.43766079556699,-2.702552938848209,-0.5039580447259054,-2.100336433801702,-2.1506036018207006,0.0
2018-09-25,1.0,-1.4375988924050633,-2.7002571202531644,-0.5048457278481012,-2.0983979430379747,-2.1481408227848102,0.0
2018-09-26,1.0,-1.4373454653347837,-2.700524181584413,-0.503906636336663,-2.099001087924043,-2.1494412026505785,0.0
2018-09-27,1.0,-1.44456532489368,-2.6854910493521906,-0.5092473543665315,-2.1007813272673324,-2.1501335179507466,0.0
2018-09-28,1.0,-1.4866994065889094,-2.799467976263556,-0.5344792306118273,-2.1820135052179253,-2.2285655821567425,0.0
2018-10-01,1.0,-1.4909854538004508,-2.8003482892849827,-0.5351362425732432,-2.1862323294406885,-2.23120262241344,0.0
2018-10-02,1.0,-1.4923076923076921,-2.811897435897436,-0.5342564102564102,-2.1865641025641023,-2.2313846153846155,0.0
2018-10-03,1.0,-1.490929589013016,-2.794199036589115,-0.532130777903044,-2.191349800143487,-2.240442759044788,0.0
2018-10-04,1.0,-1.49396110542477,-2.7814738996929376,-0.5332650972364381,-2.194370522006141,-2.2324462640736953,0.0
2018-10-05,1.0,-1.455955397871262,-2.755600608210847,-0.4925494171312722,-2.19432336543335,-2.238520020273695,0.0
2018-10-08,1.0,-1.445430704054872,-2.7398628202541855,-0.4811377849505749,-2.1909421020778694,-2.2293726043978213,0.0
2018-10-09,1.0,-1.4425948345439872,-2.7416263115415656,-0.47326472962066185,-2.1954196933010492,-2.235774818401937,0.0
2018-10-10,1.0,-1.444096239385362,-2.75030327537404,-0.47017792155277,-2.2007682976142338,-2.2437323089365147,0.0
2018-10-11,1.0,-1.2844609085591732,-2.760187170988497,-0.23191655293429517,-2.171475921232209,-2.3004484304932733,0.0
2018-10-12,1.0,-1.3263773768893223,-2.787615797172111,-0.21267674305216966,-2.1529985372988785,-2.2715748415407115,0.0
2018-10-15,1.0,-1.283236434108527,-2.8360465116279068,-0.1522286821705426,-2.1445736434108524,-2.2737403100775193,0.0
2018-10-16,1.0,-1.2793490895001938,-2.847345989926385,-0.14316156528477333,-2.1436458736923676,-2.2726656334753974,0.0
2018-10-17,1.0,-1.2034293169322523,-2.7024508433510386,-0.08759668250861989,-2.084428291864691,-2.2408908768987046,0.0
2018-10-18,1.0,-1.2021613564374882,-2.7006707657909446,-0.08766536239985094,-2.0851499906838082,-2.2406372275013973,0.0
2018-10-19,1.0,-1.1612044432204167,-2.6634535940512256,-0.04452400624254108,-2.0793169925640322,-2.2317084366106674,0.0
2018-10-22,1.0,-1.1615299944964226,-2.6574023115024765,-0.043936892313337,-2.0787928820399926,-2.2309667950834706,0.0
2018-10-23,1.0,-1.164266715582867,-2.656333119324956,-0.050353113821883885,-2.073466018527011,-2.2273686141428963,0.0
2018-10-24,1.0,-1.162577810325888,-2.6500366166239475,-0.03469425119004028,-2.075338703771512,-2.2315086049066273,0.0
2018-10-25,1.0,-1.0314886314886313,-2.4599742599742602,-0.0,-2.001801801801802,-2.086743886743887,0.0
2018-10-26,1.0,-0.9759583053127101,-2.4033288500336245,-0.0,-1.9842804303967723,-2.042535305985205,0.0
2018-10-29,1.0,-0.9234425819364522,-2.4153114836127094,-0.0,-1.955383204069719,-2.045367358852473,0.0
2018-10-30,1.0,-0.9034597749062109,-2.4156731971654857,-0.0,-1.9560650270946227,-2.061525635681534,0.0
2018-10-31,1.0,-0.9006584362139918,-2.3567901234567903,-0.0,-1.936707818930041,-2.036378600823045,0.0
2018-11-01,1.0,-0.8597083779553505,-2.397067303731774,-0.0,-1.9389570804843892,-2.0422604827415767,0.0
2018-11-02,1.0,-0.8561320754716981,-2.3312459336369553,-0.0,-1.9299772283669485,-2.0153708523096943,0.0
2018-11-05,1.0,-0.8506213954999593,-2.3405084883437577,-0.0,-1.927706928762895,-2.0039801803265376,0.0
2018-11-06,1.0,-0.8577694744537405,-2.3463569165786695,-0.0,-1.9227520103972058,-1.9959385915035335,0.0
2018-11-07,1.0,-0.8556006493506494,-2.345535714285714,-0.0,-1.921103896103896,-1.994642857142857,0.0
2018-11-08,1.0,-0.8459715639810427,-2.589169738458838,-0.0,-2.109004739336493,-2.2324030191328768,0.0
2018-11-09,1.0,-0.8450333450333449,-2.5885398385398384,-0.0,-2.1098631098631095,-2.2315724815724813,0.0
2018-11-12,1.0,-0.839016307665475,-2.543472573471701,-0.0,-2.1179907560826723,-2.220197087293974,0.0
2018-11-13,1.0,-0.766833996884196,-2.541630604119785,-0.0,-2.1270555651722347,-2.2194910853384107,0.0
2018-11-14,1.0,-0.771344370286903,-2.5433821617404875,-0.0,-2.1312299557944003,-2.221808095692121,0.0
2018-11-15,1.0,-0.7669029915268891,-2.542452014525333,-0.0,-2.1328895037177933,-2.203786961784541,0.0
2018-11-16,1.0,-0.7560305605631384,-2.5143789166452057,-0.0,-2.1168340630097005,-2.197184307665894,0.0
2018-11-19,1.0,-0.7565874173890653,-2.5139473006608872,-0.0,-2.1157840528709984,-2.1967213114754096,0.0
2018-11-20,1.0,-0.6525769688722572,-2.4899642796393944,-0.0,-2.1198333049838407,-2.242473209729546,0.0
2018-11-21,1.0,-0.6523198254887155,-2.4647201946472017,-0.0,-2.100427888245658,-2.1724976927594595,0.0
2018-11-23,1.0,-0.6514429109159348,-2.4438310330405684,-0.0,-2.1006273525721455,-2.168883312421581,0.0
