Date,BB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5754533678756477,-0.9607755829015544,-0.41924384715025903,-0.5846421632124352,-0.5078125,0.0
2018-09-25,1.0,-0.5774693481163761,-0.9586857119734553,-0.42261158094929796,-0.5828106664508558,-0.5048759762068548,0.0
2018-09-26,1.0,-0.577428883583539,-0.9586857119734553,-0.42236879375227615,-0.5828915955165298,-0.5051187634038765,0.0
2018-09-27,1.0,-0.5788452207666182,-0.9535824033640626,-0.4237020863658418,-0.5825246644023937,-0.5046498463529031,0.0
2018-09-28,1.0,-0.5751012145748988,-0.9590688259109311,-0.424331983805668,-0.5837651821862349,-0.5062348178137652,0.0
2018-10-01,1.0,-0.6214345916692543,-1.1031362285410107,-0.42421150689792847,-0.6814088630617043,-0.6057756287982966,0.0
2018-10-02,1.0,-0.6258595119320479,-1.165925126960586,-0.40910520875466266,-0.6856321064221832,-0.6077479663835332,0.0
2018-10-03,1.0,-0.6313407846508893,-1.1906421105027378,-0.4117833386126069,-0.6871351644870809,-0.6041902348522558,0.0
2018-10-04,1.0,-0.6307399692056879,-1.193098451227244,-0.41196449596956797,-0.686441445521239,-0.6063309482836701,0.0
2018-10-05,1.0,-0.6217558113292712,-1.1909275558564658,-0.4030241480478447,-0.688873843376213,-0.6090724441435342,0.0
2018-10-08,1.0,-0.6205031106302408,-1.189207465512578,-0.4013163826526012,-0.6892074655125777,-0.6078802632765304,0.0
2018-10-09,1.0,-0.6198440247036019,-1.1896948113420185,-0.3996303475634495,-0.6899427489519001,-0.6088446107379526,0.0
2018-10-10,1.0,-0.619348434256836,-1.1925367746593267,-0.39788827723129677,-0.6905965165598772,-0.6119032578287158,0.0
2018-10-11,1.0,-0.5700852447490992,-1.1932507250197733,-0.3372879866420599,-0.6718955971526496,-0.6215396783548641,0.0
2018-10-12,1.0,-0.6101530454725885,-1.2133374498301945,-0.33537687998941473,-0.6554492127199752,-0.596259868566136,0.0
2018-10-15,1.0,-0.592770341669602,-1.2443201831630855,-0.31040859457555475,-0.6552923564635434,-0.6002113420218387,0.0
2018-10-16,1.0,-0.593016599885518,-1.2433622473691164,-0.3111267667650037,-0.6553212099863501,-0.6003258332966404,0.0
2018-10-17,1.0,-0.574691224268689,-1.2012134344528709,-0.29447453954496206,-0.6521776814734561,-0.6110942578548212,0.0
2018-10-18,1.0,-0.5738365542941328,-1.1998873385908657,-0.2951295606205044,-0.6532628477337724,-0.6110148193084323,0.0
