Date,IRWD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7964113551151579,-1.4424209962506693,-0.06325656132833422,-1.0687198714515265,-0.9853776111408676,0.0
2018-09-25,1.0,-0.8108093544562992,-1.446545964004742,-0.07743291302942128,-1.0713438948162517,-0.9823795667636599,0.0
2018-09-26,1.0,-0.8161379235799601,-1.4548451602442847,-0.08452683348646166,-1.0734475490461006,-0.9755715289412528,0.0
2018-09-27,1.0,-0.8221117475413379,-1.4419647681832917,-0.08867394358586404,-1.0747325191829677,-0.9761158543175186,0.0
2018-09-28,1.0,-0.8206818304608569,-1.4423793830028633,-0.08957804311416068,-1.074234156356367,-0.9759036144578314,0.0
2018-10-01,1.0,-0.8203825786231493,-1.4428833891710795,-0.09024100291797255,-1.0740300443099535,-0.9761158543175186,0.0
2018-10-02,1.0,-0.8202010376134888,-1.4444984868136619,-0.09079118028534369,-1.073227410289667,-0.9755728491137051,0.0
2018-10-03,1.0,-0.8235773240660296,-1.4269656820156387,-0.08698957428323198,-1.0916594265855777,-1.000868809730669,0.0
2018-10-04,1.0,-0.8227613970188228,-1.4332499183984333,-0.0879120879120879,-1.0907409422260907,-1.0054401044500054,0.0
2018-10-05,1.0,-0.8427052927245691,-1.4654954012226689,-0.08745938205650712,-1.1016137027041912,-1.0102990582144626,0.0
2018-10-08,1.0,-0.8397559232587544,-1.4603375295475785,-0.08053433016326755,-1.1071408938486065,-1.0094552251113187,0.0
2018-10-09,1.0,-0.8370928697183099,-1.4627530809859155,-0.07174295774647887,-1.113006161971831,-1.0171104753521127,0.0
2018-10-10,1.0,-0.8368763079634322,-1.4660204868377575,-0.06944597422623637,-1.114219627712303,-1.020596982046481,0.0
2018-10-11,1.0,-0.742243819084744,-1.462700913120094,-0.0,-1.0889624606183586,-1.0459763977145298,0.0
2018-10-12,1.0,-0.7421307506053268,-1.4483629855774292,-0.0,-1.05990104221497,-1.0133171912832928,0.0
2018-10-15,1.0,-0.7205164541017163,-1.4643363249881909,-0.0,-1.0531149950139085,-1.0105495197606675,0.0
2018-10-16,1.0,-0.7283151859449792,-1.4582084056598812,-0.0,-1.0581768449844826,-1.0154121298195782,0.0
2018-10-17,1.0,-0.7148577669145562,-1.4285194237869885,-0.0,-1.0466482916428312,-1.0105049664569141,0.0
2018-10-18,1.0,-0.7147909298939047,-1.4289577699188682,-0.0,-1.0464426877470356,-1.0105055127938423,0.0
2018-10-19,1.0,-0.6901212277534177,-1.4112458086149084,-0.0,-1.0486458602011866,-1.0085633221563064,0.0
2018-10-22,1.0,-0.6918508572608966,-1.4167010948151209,-0.0,-1.0476657715348068,-1.0079529022929146,0.0
2018-10-23,1.0,-0.698889175923534,-1.4180831826401445,-0.0,-1.0435546370446913,-1.0060966158615343,0.0
2018-10-24,1.0,-0.6968241673121611,-1.4177640072295379,-0.0,-1.0433772269558483,-1.0059901884843792,0.0
2018-10-25,1.0,-0.648410246187581,-1.3462573507425495,-0.0,-1.035732084122396,-0.9531545898534836,0.0
2018-10-26,1.0,-0.6344027640671274,-1.3286771964461994,-0.0,-1.0320335636722606,-0.940720631786772,0.0
2018-10-29,1.0,-0.5979325621461974,-1.3516613339896628,-0.0,-1.0180162441545655,-0.9548609401919764,0.0
