Date,HTD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.16673098405605769,-0.348776277038692,-0.0,-0.2976947293591957,-0.21787346399918758,0.0
2018-09-25,1.0,-0.1659519115465133,-0.3495050913599317,-0.0,-0.2982256458202069,-0.2187963659275218,0.0
2018-09-26,1.0,-0.1641898124423491,-0.35199344060674387,-0.0,-0.3031669570564723,-0.23046018243312494,0.0
2018-09-27,1.0,-0.17281405273900585,-0.34533946353833783,-0.0,-0.30874378904397665,-0.23483083520606973,0.0
2018-09-28,1.0,-0.17463102487356796,-0.34482402724739397,-0.0,-0.30936113117968833,-0.23535968624213024,0.0
2018-10-01,1.0,-0.17458449468359657,-0.3451842675751007,-0.0,-0.3093424176731702,-0.23553215649839992,0.0
2018-10-02,1.0,-0.1746008798199054,-0.3461451083252442,-0.0,-0.30913484375968114,-0.2354241103698961,0.0
2018-10-03,1.0,-0.17414766266255918,-0.3382264767300019,-0.0,-0.3131680691380487,-0.241983170343416,0.0
2018-10-04,1.0,-0.17664206413198535,-0.33461514606462817,-0.0,-0.31635965184312265,-0.23982302714548576,0.0
2018-10-05,1.0,-0.17265534860721937,-0.33202159222020766,-0.0,-0.31640431844404154,-0.23924509642327343,0.0
2018-10-08,1.0,-0.18123896038354784,-0.34929346454706034,-0.0,-0.3227983850618219,-0.2494532761376062,0.0
2018-10-09,1.0,-0.17649661799102345,-0.3501485555344839,-0.0,-0.3260214509977453,-0.25450407737530817,0.0
2018-10-10,1.0,-0.17938874944633104,-0.3496867815485858,-0.0,-0.32827824766404423,-0.2518824745312269,0.0
2018-10-11,1.0,-0.15026546487220646,-0.34024776721405936,-0.0,-0.3164588220767996,-0.25089517224348684,0.0
2018-10-12,1.0,-0.14507405558329173,-0.34812364786154104,-0.0,-0.3269262772507905,-0.2600890331169912,0.0
2018-10-15,1.0,-0.13661077446667222,-0.3543828339005562,-0.0,-0.32485266041338096,-0.2593591765584793,0.0
2018-10-16,1.0,-0.12934306569343065,-0.3713868613138686,-0.0,-0.3252554744525547,-0.25952033368091765,0.0
2018-10-17,1.0,-0.12642461231861493,-0.36602935376056134,-0.0,-0.32397085383321916,-0.25953374436901866,0.0
2018-10-18,1.0,-0.1274175435677744,-0.36902632782930583,-0.0,-0.3230046167283617,-0.2601588820030778,0.0
2018-10-19,1.0,-0.12080578512396695,-0.36365702479338846,-0.0,-0.32322314049586776,-0.25840909090909087,0.0
2018-10-22,1.0,-0.12080870917573872,-0.35417314670813893,-0.0,-0.33204769310523585,-0.26658372213582165,0.0
2018-10-23,1.0,-0.12011781543631123,-0.3543174794134119,-0.0,-0.3327663811163427,-0.26701375204828776,0.0
2018-10-24,1.0,-0.11910926980838944,-0.3520248575867426,-0.0,-0.3329052304505437,-0.2674469186949767,0.0
2018-10-25,1.0,-0.0998485307482581,-0.3271735837624962,-0.0,-0.34135110572553773,-0.25121680298899324,0.0
2018-10-26,1.0,-0.09029517263491174,-0.3209426286996774,-0.0,-0.3454702122116907,-0.24717952828487266,0.0
2018-10-29,1.0,-0.08219779342816672,-0.32306525946172415,-0.0,-0.3417393212696766,-0.24808969933962455,0.0
2018-10-30,1.0,-0.07699519278718608,-0.3232202341770889,-0.0,-0.34203019966888076,-0.2524285400833782,0.0
2018-10-31,1.0,-0.08059748864335166,-0.31090436611057115,-0.0,-0.34194917775882255,-0.2502430025192915,0.0
2018-11-01,1.0,-0.07742626070409132,-0.31309467174119887,-0.0,-0.3415992705359975,-0.25011893434823973,0.0
2018-11-02,1.0,-0.07942901143161761,-0.3029082509032755,-0.0,-0.34401468933246465,-0.24800094769886868,0.0
2018-11-05,1.0,-0.07865700807295263,-0.3049168031897045,-0.0,-0.3440775319266526,-0.24615597181374968,0.0
2018-11-06,1.0,-0.07730604342414603,-0.30406780330718924,-0.0,-0.345713890590118,-0.24853310152715488,0.0
2018-11-07,1.0,-0.07682281380835768,-0.30456592147878975,-0.0,-0.3449719567106406,-0.24853858914606206,0.0
2018-11-08,1.0,-0.07409158981634743,-0.3040710963978876,-0.0,-0.34407267281469217,-0.24830535193505163,0.0
2018-11-09,1.0,-0.07401131056769591,-0.304025695087588,-0.0,-0.3442038266763877,-0.2482413446570376,0.0
2018-11-12,1.0,-0.07373072768339389,-0.29704409309633706,-0.0,-0.3465972699597368,-0.2467052931356182,0.0
2018-11-13,1.0,-0.05791310110914018,-0.29498450322605796,-0.0,-0.35106528137853066,-0.24533634821933298,0.0
