Date,BXP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3372379277695117,-0.47555796023265257,-0.0,-0.5078317327201407,-0.38460706073312595,0.0
2018-09-25,1.0,-0.3335791543756146,-0.4865344695728177,-0.0,-0.5160876215448487,-0.3951436687424888,0.0
2018-09-26,1.0,-0.33475386548653224,-0.48765229743757854,-0.0,-0.5161448942796263,-0.39321422717587284,0.0
2018-09-27,1.0,-0.33300376259921455,-0.4988327703166626,-0.0,-0.5186619428194776,-0.3959243085880641,0.0
2018-09-28,1.0,-0.33275658454862544,-0.4991074125950949,-0.0,-0.5185520859081048,-0.39597923704375054,0.0
2018-10-01,1.0,-0.3327809081869407,-0.5078444370787758,-0.0,-0.521240746878798,-0.40023201856148494,0.0
2018-10-02,1.0,-0.3309376474179316,-0.5281238726864056,-0.0,-0.5185226295196603,-0.3973138718539279,0.0
2018-10-03,1.0,-0.33043960615725976,-0.5236444321175981,-0.0,-0.5196782693107752,-0.3997503813618084,0.0
2018-10-04,1.0,-0.3342209647443899,-0.5184322210202214,-0.0,-0.5245624254528307,-0.3966325483343042,0.0
2018-10-05,1.0,-0.3249813530760518,-0.5122517196607642,-0.0,-0.526782507804083,-0.3984916710406365,0.0
2018-10-08,1.0,-0.32273541982627885,-0.5092513442713361,-0.0,-0.5281952295601821,-0.39732524472632014,0.0
2018-10-09,1.0,-0.31837376831994696,-0.5095636333526538,-0.0,-0.5307057492202809,-0.4014241947503519,0.0
2018-10-10,1.0,-0.32059951972176987,-0.5086256866046537,-0.0,-0.5322531673521212,-0.3987689420077838,0.0
2018-10-11,1.0,-0.26897144545625484,-0.4972197598517205,-0.0,-0.5162919386466812,-0.40371235930910365,0.0
2018-10-12,1.0,-0.26461240101276734,-0.5005656413295265,-0.0,-0.5217637235360664,-0.4065883747239132,0.0
2018-10-15,1.0,-0.24811908856405848,-0.5144292777300087,-0.0,-0.5184060619088564,-0.40606190885640586,0.0
2018-10-16,1.0,-0.24136166545474136,-0.52848024561687,-0.0,-0.5178691659260456,-0.40545635722172846,0.0
2018-10-17,1.0,-0.2295465419169635,-0.5057679017596087,-0.0,-0.5141672425708362,-0.4085375578119186,0.0
2018-10-18,1.0,-0.22955874534821907,-0.5060340244550772,-0.0,-0.5140350877192983,-0.40853269537480064,0.0
2018-10-19,1.0,-0.21908155186064923,-0.4971760358933755,-0.0,-0.5159672736869887,-0.4070203219846925,0.0
2018-10-22,1.0,-0.21890258386339043,-0.49024782918525167,-0.0,-0.5195967167251708,-0.41051492517617255,0.0
2018-10-23,1.0,-0.21520662907367696,-0.4926534826463347,-0.0,-0.5251634765573293,-0.41439652661954307,0.0
