Date,IWF,IWM,MTUM,NEU,SPY,VLUE,VXX
2018-09-24,-0.2570942744048615,-0.6056196688409433,-0.0,1.0,-0.4857557005073312,-0.4390645035401684,0.0
2018-09-25,-0.25504930580774926,-0.6084029387937537,-0.0,1.0,-0.4878621113501131,-0.44221582814202304,0.0
2018-09-26,-0.25753508919085166,-0.6111111111111112,-0.0,1.0,-0.4883968014315272,-0.4389084605491249,0.0
2018-09-27,-0.25843952604515985,-0.6089313659736195,-0.0,1.0,-0.48834674714956405,-0.43879946344735077,0.0
2018-09-28,-0.2584746946874214,-0.6089763295419612,-0.0,1.0,-0.48830450213788673,-0.4388396724701674,0.0
2018-10-01,-0.25883799569628035,-0.608557136070201,-0.0,1.0,-0.4884162870636895,-0.4388117262387167,0.0
2018-10-02,-0.25783699059561127,-0.6177787729511868,-0.0,1.0,-0.48648119122257055,-0.4368282579489476,0.0
2018-10-03,-0.2573019247985676,-0.6124104744852283,-0.0,1.0,-0.48802596239928386,-0.4399059982094897,0.0
2018-10-04,-0.26083307690155816,-0.6072677427476432,-0.0,1.0,-0.4924888801857499,-0.4368198729963354,0.0
2018-10-05,-0.25262072041931527,-0.6036299765807963,-0.0,1.0,-0.4936154789784767,-0.43813427010148326,0.0
2018-10-08,-0.24986080178173717,-0.6004732739420935,-0.0,1.0,-0.49629732739420934,-0.43730512249443204,0.0
2018-10-09,-0.2471043546051899,-0.6003730927720237,-0.0,1.0,-0.49743846753536036,-0.43938634591825376,0.0
2018-10-10,-0.24548269068392908,-0.6130312412046158,-0.0,1.0,-0.5025612158739093,-0.4534477905994934,0.0
2018-10-11,-0.20347367263933164,-0.603385731559855,-0.0,1.0,-0.4869187644278334,-0.4543530834340992,0.0
2018-10-12,-0.21232224910954622,-0.5998259876559994,-0.0,1.0,-0.4714103156692678,-0.4353571331466326,0.0
2018-10-15,-0.18595614011250308,-0.6267561618522243,-0.0,1.0,-0.4675398788010544,-0.43721296774368873,0.0
2018-10-16,-0.18001959396941164,-0.6383551951232788,-0.0,1.0,-0.46671746584662277,-0.4362923855657758,0.0
2018-10-17,-0.1691360348490145,-0.6180322138266692,-0.0,1.0,-0.4629325875931055,-0.4388663314420931,0.0
2018-10-18,-0.16914513136311077,-0.6183612552773818,-0.0,1.0,-0.4627423561997473,-0.4388630435367199,0.0
2018-10-19,-0.15594541910331386,-0.6097893134663143,-0.0,1.0,-0.4654863948303026,-0.4390771449170872,0.0
2018-10-22,-0.15590795023759943,-0.6037962518020182,-0.0,1.0,-0.46828447861605,-0.44169469806182926,0.0
2018-10-23,-0.156634546085471,-0.6037156661239089,-0.0,1.0,-0.4676080399327336,-0.44128873822171205,0.0
2018-10-24,-0.15525479832358988,-0.5995301780518406,-0.0,1.0,-0.4696083927284376,-0.44502282373668617,0.0
2018-10-25,-0.14830216665783758,-0.5925464851406473,-0.0,1.0,-0.46866557185993535,-0.4391852518938391,0.0
2018-10-26,-0.14423558566871425,-0.587566897788089,-0.0,1.0,-0.4687195170177428,-0.4358176689251536,0.0
