Date,IWF,IWM,MTUM,NAC,SPY,VLUE,VXX
2018-09-24,-0.09717470104000812,-0.2517869846539517,-0.0,1.0,-0.18437277685558454,-0.16048985399234392,0.0
2018-09-25,-0.0956059628510306,-0.25372678189412207,-0.0,1.0,-0.18584671805494246,-0.16267105844001498,0.0
2018-09-26,-0.09474041974679241,-0.25337751720621976,-0.0,1.0,-0.18631999320248108,-0.16494179624437078,0.0
2018-09-27,-0.09759371919926589,-0.24893790572001498,-0.0,1.0,-0.18728545695544302,-0.16555075960982907,0.0
2018-09-28,-0.09723638588619213,-0.24940512611326401,-0.0,1.0,-0.18733428513155212,-0.1656638792575974,0.0
2018-10-01,-0.09699093367806902,-0.25052305703447925,-0.0,1.0,-0.18739900321488714,-0.16608549218391197,0.0
2018-10-02,-0.0970217835262083,-0.25154867256637164,-0.0,1.0,-0.187287270251872,-0.16598025867937374,0.0
2018-10-03,-0.09765824726454647,-0.2548317823908375,-0.0,1.0,-0.18698230902955312,-0.16486007430889318,0.0
2018-10-04,-0.1006276436075863,-0.251210942829854,-0.0,1.0,-0.19103902305908038,-0.16269272752080777,0.0
2018-10-05,-0.10536683968001097,-0.2570019014337838,-0.0,1.0,-0.1903489387943882,-0.1602685989345119,0.0
2018-10-08,-0.10430098332620778,-0.25552800342026505,-0.0,1.0,-0.19071398033347584,-0.15957246686618215,0.0
2018-10-09,-0.10508764429243266,-0.2556990166737922,-0.0,1.0,-0.1904232578024797,-0.15892261650277897,0.0
2018-10-10,-0.10645646672594214,-0.2550270159359825,-0.0,1.0,-0.19126598727857191,-0.15711989603994253,0.0
2018-10-11,-0.0741921556906114,-0.24760054465145628,-0.0,1.0,-0.17857261465909469,-0.16015741755504634,0.0
2018-10-12,-0.07596388602139965,-0.24255681725081518,-0.0,1.0,-0.16975536220485343,-0.15030559242327418,0.0
2018-10-15,-0.06994983742095717,-0.24671165503831638,-0.0,1.0,-0.16780771556020324,-0.14950736099083348,0.0
2018-10-16,-0.07234947643979059,-0.24401178010471206,-0.0,1.0,-0.16904450261780105,-0.15071989528795812,0.0
2018-10-17,-0.0649743075978412,-0.2298096500016159,-0.0,1.0,-0.16725915392819057,-0.1538312380829267,0.0
2018-10-18,-0.06458023654107153,-0.2290118270535772,-0.0,1.0,-0.16818005558068894,-0.15394558262780328,0.0
2018-10-19,-0.0594890861886599,-0.2237251193948524,-0.0,1.0,-0.16726497644155264,-0.15215231257412096,0.0
2018-10-22,-0.05934594421288874,-0.21950945815966655,-0.0,1.0,-0.16978198140429626,-0.1544565565886502,0.0
2018-10-23,-0.058388540446896904,-0.2197590670666175,-0.0,1.0,-0.1708346032306187,-0.15509857076402367,0.0
2018-10-24,-0.0577043294276051,-0.21656755413788129,-0.0,1.0,-0.17160626412553898,-0.15700386298427554,0.0
2018-10-25,-0.045421153816095905,-0.19856515419121898,-0.0,1.0,-0.17416652339048752,-0.14486003219806498,0.0
2018-10-26,-0.03998260950576836,-0.19450957253544088,-0.0,1.0,-0.1761098085492912,-0.14213623588963248,0.0
2018-10-29,-0.0340145511840215,-0.19569952268409102,-0.0,1.0,-0.17240527055625068,-0.142592335140646,0.0
2018-10-30,-0.038394901305612274,-0.1962285749644205,-0.0,1.0,-0.17276158653548668,-0.13956438339211683,0.0
